Time,ECG
2021-12-10 13:47:11.757961,-114
2021-12-10 13:47:11.757980,-110
2021-12-10 13:47:11.757990,-119
2021-12-10 13:47:11.757998,-119
2021-12-10 13:47:11.758007,-114
2021-12-10 13:47:11.758015,-112
2021-12-10 13:47:11.758024,-107
2021-12-10 13:47:11.758032,-114
2021-12-10 13:47:11.758041,-117
2021-12-10 13:47:11.758050,-107
2021-12-10 13:47:11.758058,-112
2021-12-10 13:47:11.758067,-114
2021-12-10 13:47:11.758075,-117
2021-12-10 13:47:11.758084,-122
2021-12-10 13:47:11.758092,-122
2021-12-10 13:47:11.758100,-117
2021-12-10 13:47:11.758108,-105
2021-12-10 13:47:11.758117,-97
2021-12-10 13:47:11.758126,-102
2021-12-10 13:47:11.758134,-90
2021-12-10 13:47:11.758142,-88
2021-12-10 13:47:11.758151,-95
2021-12-10 13:47:11.758159,-105
2021-12-10 13:47:11.758168,-119
2021-12-10 13:47:11.758176,-112
2021-12-10 13:47:11.758184,-112
2021-12-10 13:47:11.758193,-124
2021-12-10 13:47:11.758201,-117
2021-12-10 13:47:11.758210,-114
2021-12-10 13:47:11.758218,-114
2021-12-10 13:47:11.758296,-102
2021-12-10 13:47:11.758306,-66
2021-12-10 13:47:11.758315,12
2021-12-10 13:47:11.758324,195
2021-12-10 13:47:11.758332,369
2021-12-10 13:47:11.758341,163
2021-12-10 13:47:11.758350,-352
2021-12-10 13:47:11.758358,-599
2021-12-10 13:47:11.758366,-435
2021-12-10 13:47:11.758375,-220
2021-12-10 13:47:11.758383,-134
2021-12-10 13:47:11.758391,-102
2021-12-10 13:47:11.758400,-75
2021-12-10 13:47:11.758408,-66
2021-12-10 13:47:11.758416,-63
2021-12-10 13:47:11.758425,-44
2021-12-10 13:47:11.758433,-39
2021-12-10 13:47:11.758442,-36
2021-12-10 13:47:11.758450,-17
2021-12-10 13:47:11.758458,-14
2021-12-10 13:47:11.758467,-14
2021-12-10 13:47:11.758475,0
2021-12-10 13:47:11.758483,7
2021-12-10 13:47:11.758492,14
2021-12-10 13:47:11.758500,31
2021-12-10 13:47:11.758508,53
2021-12-10 13:47:11.758517,63
2021-12-10 13:47:11.758525,75
2021-12-10 13:47:11.758533,107
2021-12-10 13:47:11.758543,124
2021-12-10 13:47:11.879022,132
2021-12-10 13:47:11.879039,139
2021-12-10 13:47:11.879048,132
2021-12-10 13:47:11.879057,117
2021-12-10 13:47:11.879065,92
2021-12-10 13:47:11.879074,51
2021-12-10 13:47:11.879082,12
2021-12-10 13:47:11.879091,-53
2021-12-10 13:47:11.879099,-112
2021-12-10 13:47:11.879108,-127
2021-12-10 13:47:11.879116,-151
2021-12-10 13:47:11.879125,-183
2021-12-10 13:47:11.879133,-188
2021-12-10 13:47:11.879145,-190
2021-12-10 13:47:11.879154,-190
2021-12-10 13:47:11.879162,-190
2021-12-10 13:47:11.879170,-185
2021-12-10 13:47:11.879179,-171
2021-12-10 13:47:11.879187,-168
2021-12-10 13:47:11.879196,-166
2021-12-10 13:47:11.879204,-163
2021-12-10 13:47:11.879213,-154
2021-12-10 13:47:11.879221,-141
2021-12-10 13:47:11.879229,-141
2021-12-10 13:47:11.879238,-129
2021-12-10 13:47:11.879246,-119
2021-12-10 13:47:11.879255,-117
2021-12-10 13:47:11.879263,-100
2021-12-10 13:47:11.879271,-97
2021-12-10 13:47:11.879281,-105
2021-12-10 13:47:12.060540,-102
2021-12-10 13:47:12.060561,-105
2021-12-10 13:47:12.060571,-100
2021-12-10 13:47:12.060580,-102
2021-12-10 13:47:12.060589,-105
2021-12-10 13:47:12.060598,-95
2021-12-10 13:47:12.060607,-97
2021-12-10 13:47:12.060615,-102
2021-12-10 13:47:12.060624,-105
2021-12-10 13:47:12.060642,-114
2021-12-10 13:47:12.060651,-107
2021-12-10 13:47:12.060659,-100
2021-12-10 13:47:12.060668,-102
2021-12-10 13:47:12.060677,-100
2021-12-10 13:47:12.060685,-105
2021-12-10 13:47:12.060694,-105
2021-12-10 13:47:12.060702,-105
2021-12-10 13:47:12.060713,-105
2021-12-10 13:47:12.060722,-102
2021-12-10 13:47:12.060730,-110
2021-12-10 13:47:12.060739,-102
2021-12-10 13:47:12.060747,-90
2021-12-10 13:47:12.060756,-92
2021-12-10 13:47:12.060764,-95
2021-12-10 13:47:12.060773,-92
2021-12-10 13:47:12.060781,-92
2021-12-10 13:47:12.060790,-85
2021-12-10 13:47:12.060798,-85
2021-12-10 13:47:12.060807,-78
2021-12-10 13:47:12.060816,-75
2021-12-10 13:47:12.285397,-70
2021-12-10 13:47:12.285416,-56
2021-12-10 13:47:12.285425,-56
2021-12-10 13:47:12.285434,-68
2021-12-10 13:47:12.285443,-80
2021-12-10 13:47:12.285451,-90
2021-12-10 13:47:12.285460,-80
2021-12-10 13:47:12.285472,-80
2021-12-10 13:47:12.285480,-90
2021-12-10 13:47:12.285488,-88
2021-12-10 13:47:12.285497,-90
2021-12-10 13:47:12.285505,-83
2021-12-10 13:47:12.285514,-61
2021-12-10 13:47:12.285523,-12
2021-12-10 13:47:12.285531,114
2021-12-10 13:47:12.285539,332
2021-12-10 13:47:12.285548,320
2021-12-10 13:47:12.285556,-134
2021-12-10 13:47:12.285565,-564
2021-12-10 13:47:12.285573,-540
2021-12-10 13:47:12.285582,-278
2021-12-10 13:47:12.285590,-132
2021-12-10 13:47:12.285599,-83
2021-12-10 13:47:12.285607,-53
2021-12-10 13:47:12.285616,-41
2021-12-10 13:47:12.285624,-36
2021-12-10 13:47:12.285632,-29
2021-12-10 13:47:12.285641,-14
2021-12-10 13:47:12.285649,-7
2021-12-10 13:47:12.285658,-4
2021-12-10 13:47:12.599885,-2
2021-12-10 13:47:12.599904,-4
2021-12-10 13:47:12.599914,-4
2021-12-10 13:47:12.599923,0
2021-12-10 13:47:12.599931,9
2021-12-10 13:47:12.599940,31
2021-12-10 13:47:12.599949,46
2021-12-10 13:47:12.599957,68
2021-12-10 13:47:12.599965,95
2021-12-10 13:47:12.599974,110
2021-12-10 13:47:12.599982,127
2021-12-10 13:47:12.599991,139
2021-12-10 13:47:12.599999,158
2021-12-10 13:47:12.600008,168
2021-12-10 13:47:12.600016,144
2021-12-10 13:47:12.600025,127
2021-12-10 13:47:12.600033,105
2021-12-10 13:47:12.600041,58
2021-12-10 13:47:12.600050,7
2021-12-10 13:47:12.600059,-36
2021-12-10 13:47:12.600067,-70
2021-12-10 13:47:12.600075,-102
2021-12-10 13:47:12.600084,-136
2021-12-10 13:47:12.600092,-136
2021-12-10 13:47:12.600104,-134
2021-12-10 13:47:12.600113,-136
2021-12-10 13:47:12.600121,-129
2021-12-10 13:47:12.600129,-129
2021-12-10 13:47:12.600138,-112
2021-12-10 13:47:12.600146,-83
2021-12-10 13:47:12.735442,-78
2021-12-10 13:47:12.735461,-66
2021-12-10 13:47:12.735471,-51
2021-12-10 13:47:12.735480,-44
2021-12-10 13:47:12.735488,-31
2021-12-10 13:47:12.735497,-22
2021-12-10 13:47:12.735506,-12
2021-12-10 13:47:12.735514,-7
2021-12-10 13:47:12.735523,0
2021-12-10 13:47:12.735531,7
2021-12-10 13:47:12.735540,-7
2021-12-10 13:47:12.735548,-7
2021-12-10 13:47:12.735557,-2
2021-12-10 13:47:12.735565,-9
2021-12-10 13:47:12.735574,-4
2021-12-10 13:47:12.735582,-7
2021-12-10 13:47:12.735590,-17
2021-12-10 13:47:12.735599,-9
2021-12-10 13:47:12.735607,-2
2021-12-10 13:47:12.735615,-2
2021-12-10 13:47:12.735624,-2
2021-12-10 13:47:12.735632,0
2021-12-10 13:47:12.735642,2
2021-12-10 13:47:12.735651,-4
2021-12-10 13:47:12.735659,-2
2021-12-10 13:47:12.735667,4
2021-12-10 13:47:12.735676,0
2021-12-10 13:47:12.735684,4
2021-12-10 13:47:12.735692,4
2021-12-10 13:47:12.735701,7
2021-12-10 13:47:12.961089,24
2021-12-10 13:47:12.961109,29
2021-12-10 13:47:12.961119,22
2021-12-10 13:47:12.961127,9
2021-12-10 13:47:12.961135,9
2021-12-10 13:47:12.961143,24
2021-12-10 13:47:12.961151,29
2021-12-10 13:47:12.961159,36
2021-12-10 13:47:12.961167,46
2021-12-10 13:47:12.961175,41
2021-12-10 13:47:12.961183,53
2021-12-10 13:47:12.961190,48
2021-12-10 13:47:12.961198,22
2021-12-10 13:47:12.961206,12
2021-12-10 13:47:12.961214,14
2021-12-10 13:47:12.961222,12
2021-12-10 13:47:12.961229,4
2021-12-10 13:47:12.961237,-2
2021-12-10 13:47:12.961245,0
2021-12-10 13:47:12.961253,0
2021-12-10 13:47:12.961262,7
2021-12-10 13:47:12.961269,39
2021-12-10 13:47:12.961277,102
2021-12-10 13:47:12.961284,291
2021-12-10 13:47:12.961296,513
2021-12-10 13:47:12.961304,330
2021-12-10 13:47:12.961312,-310
2021-12-10 13:47:12.961320,-687
2021-12-10 13:47:12.961327,-442
2021-12-10 13:47:12.961335,-144
2021-12-10 13:47:13.275480,-97
2021-12-10 13:47:13.275500,-39
2021-12-10 13:47:13.275510,26
2021-12-10 13:47:13.275519,7
2021-12-10 13:47:13.275527,12
2021-12-10 13:47:13.275536,44
2021-12-10 13:47:13.275544,41
2021-12-10 13:47:13.275553,29
2021-12-10 13:47:13.275561,34
2021-12-10 13:47:13.275569,41
2021-12-10 13:47:13.275578,31
2021-12-10 13:47:13.275586,41
2021-12-10 13:47:13.275594,58
2021-12-10 13:47:13.275603,58
2021-12-10 13:47:13.275611,68
2021-12-10 13:47:13.275619,83
2021-12-10 13:47:13.275627,97
2021-12-10 13:47:13.275635,117
2021-12-10 13:47:13.275644,124
2021-12-10 13:47:13.275652,139
2021-12-10 13:47:13.275661,146
2021-12-10 13:47:13.275669,134
2021-12-10 13:47:13.275677,124
2021-12-10 13:47:13.275685,110
2021-12-10 13:47:13.275693,75
2021-12-10 13:47:13.275702,36
2021-12-10 13:47:13.275710,-12
2021-12-10 13:47:13.275718,-61
2021-12-10 13:47:13.275727,-114
2021-12-10 13:47:13.275735,-158
2021-12-10 13:47:13.455505,-178
2021-12-10 13:47:13.455525,-202
2021-12-10 13:47:13.455535,-224
2021-12-10 13:47:13.455543,-234
2021-12-10 13:47:13.455552,-237
2021-12-10 13:47:13.455561,-229
2021-12-10 13:47:13.455569,-224
2021-12-10 13:47:13.455578,-220
2021-12-10 13:47:13.455586,-220
2021-12-10 13:47:13.455595,-227
2021-12-10 13:47:13.455604,-207
2021-12-10 13:47:13.455612,-185
2021-12-10 13:47:13.455621,-183
2021-12-10 13:47:13.455629,-180
2021-12-10 13:47:13.455638,-183
2021-12-10 13:47:13.455647,-185
2021-12-10 13:47:13.455655,-178
2021-12-10 13:47:13.455663,-178
2021-12-10 13:47:13.455672,-168
2021-12-10 13:47:13.455680,-168
2021-12-10 13:47:13.455689,-193
2021-12-10 13:47:13.455698,-200
2021-12-10 13:47:13.455706,-193
2021-12-10 13:47:13.455714,-185
2021-12-10 13:47:13.455723,-190
2021-12-10 13:47:13.455731,-198
2021-12-10 13:47:13.455740,-193
2021-12-10 13:47:13.455748,-193
2021-12-10 13:47:13.455757,-195
2021-12-10 13:47:13.455765,-202
2021-12-10 13:47:13.680468,-210
2021-12-10 13:47:13.680488,-200
2021-12-10 13:47:13.680497,-205
2021-12-10 13:47:13.680506,-217
2021-12-10 13:47:13.680514,-200
2021-12-10 13:47:13.680523,-195
2021-12-10 13:47:13.680531,-200
2021-12-10 13:47:13.680540,-193
2021-12-10 13:47:13.680549,-190
2021-12-10 13:47:13.680557,-183
2021-12-10 13:47:13.680570,-178
2021-12-10 13:47:13.680579,-171
2021-12-10 13:47:13.680587,-176
2021-12-10 13:47:13.680596,-207
2021-12-10 13:47:13.680604,-217
2021-12-10 13:47:13.680613,-210
2021-12-10 13:47:13.680621,-212
2021-12-10 13:47:13.680630,-207
2021-12-10 13:47:13.680638,-205
2021-12-10 13:47:13.680647,-200
2021-12-10 13:47:13.680655,-195
2021-12-10 13:47:13.680663,-195
2021-12-10 13:47:13.680672,-166
2021-12-10 13:47:13.680680,-110
2021-12-10 13:47:13.680689,31
2021-12-10 13:47:13.680697,283
2021-12-10 13:47:13.680705,246
2021-12-10 13:47:13.680714,-349
2021-12-10 13:47:13.680722,-868
2021-12-10 13:47:13.680731,-718
2021-12-10 13:47:13.949048,-354
2021-12-10 13:47:13.949066,-266
2021-12-10 13:47:13.949076,-222
2021-12-10 13:47:13.949085,-119
2021-12-10 13:47:13.949093,-107
2021-12-10 13:47:13.949102,-114
2021-12-10 13:47:13.949111,-85
2021-12-10 13:47:13.949119,-80
2021-12-10 13:47:13.949127,-80
2021-12-10 13:47:13.949136,-75
2021-12-10 13:47:13.949145,-63
2021-12-10 13:47:13.949153,-44
2021-12-10 13:47:13.949162,-46
2021-12-10 13:47:13.949170,-41
2021-12-10 13:47:13.949178,-29
2021-12-10 13:47:13.949187,-17
2021-12-10 13:47:13.949195,0
2021-12-10 13:47:13.949204,19
2021-12-10 13:47:13.949212,48
2021-12-10 13:47:13.949221,58
2021-12-10 13:47:13.949229,51
2021-12-10 13:47:13.949238,61
2021-12-10 13:47:13.949246,63
2021-12-10 13:47:13.949254,53
2021-12-10 13:47:13.949263,39
2021-12-10 13:47:13.949275,12
2021-12-10 13:47:13.949283,-12
2021-12-10 13:47:13.949292,-48
2021-12-10 13:47:13.949300,-95
2021-12-10 13:47:13.949308,-136
2021-12-10 13:47:14.175399,-178
2021-12-10 13:47:14.175416,-200
2021-12-10 13:47:14.175426,-212
2021-12-10 13:47:14.175435,-234
2021-12-10 13:47:14.175444,-232
2021-12-10 13:47:14.175452,-224
2021-12-10 13:47:14.175461,-224
2021-12-10 13:47:14.175469,-212
2021-12-10 13:47:14.175478,-198
2021-12-10 13:47:14.175486,-190
2021-12-10 13:47:14.175495,-180
2021-12-10 13:47:14.175503,-168
2021-12-10 13:47:14.175512,-168
2021-12-10 13:47:14.175520,-168
2021-12-10 13:47:14.175529,-154
2021-12-10 13:47:14.175537,-141
2021-12-10 13:47:14.175545,-139
2021-12-10 13:47:14.175554,-124
2021-12-10 13:47:14.175562,-122
2021-12-10 13:47:14.175571,-117
2021-12-10 13:47:14.175579,-110
2021-12-10 13:47:14.175587,-112
2021-12-10 13:47:14.175596,-105
2021-12-10 13:47:14.175604,-97
2021-12-10 13:47:14.175613,-100
2021-12-10 13:47:14.175621,-102
2021-12-10 13:47:14.175629,-107
2021-12-10 13:47:14.175638,-97
2021-12-10 13:47:14.175646,-92
2021-12-10 13:47:14.175654,-102
2021-12-10 13:47:14.400534,-97
2021-12-10 13:47:14.400553,-97
