Time,ECG
2021-12-10 13:58:34.719470,-30
2021-12-10 13:58:34.719490,-38
2021-12-10 13:58:34.719500,-59
2021-12-10 13:58:34.719509,-66
2021-12-10 13:58:34.719518,-54
2021-12-10 13:58:34.719527,-33
2021-12-10 13:58:34.719535,-33
2021-12-10 13:58:34.719544,-54
2021-12-10 13:58:34.719552,-73
2021-12-10 13:58:34.719561,-64
2021-12-10 13:58:34.719569,-45
2021-12-10 13:58:34.719578,-35
2021-12-10 13:58:34.719586,-40
2021-12-10 13:58:34.719594,-54
2021-12-10 13:58:34.719603,-64
2021-12-10 13:58:34.719611,-57
2021-12-10 13:58:34.719620,-42
2021-12-10 13:58:34.719628,-28
2021-12-10 13:58:34.719637,-21
2021-12-10 13:58:34.719645,-28
2021-12-10 13:58:34.719654,-30
2021-12-10 13:58:34.719662,-21
2021-12-10 13:58:34.719670,-11
2021-12-10 13:58:34.719679,-2
2021-12-10 13:58:34.719687,2
2021-12-10 13:58:34.719695,-4
2021-12-10 13:58:34.719704,-4
2021-12-10 13:58:34.719713,19
2021-12-10 13:58:34.719721,52
2021-12-10 13:58:34.719730,30
2021-12-10 13:58:34.846258,-40
2021-12-10 13:58:34.846281,-61
2021-12-10 13:58:34.846291,-42
2021-12-10 13:58:34.846300,-81
2021-12-10 13:58:34.846309,-126
2021-12-10 13:58:34.846318,-114
2021-12-10 13:58:34.846327,-112
2021-12-10 13:58:34.846336,-138
2021-12-10 13:58:34.846344,-128
2021-12-10 13:58:34.846352,-107
2021-12-10 13:58:34.846361,-119
2021-12-10 13:58:34.846369,-164
2021-12-10 13:58:34.846377,-290
2021-12-10 13:58:34.846385,-312
2021-12-10 13:58:34.846394,97
2021-12-10 13:58:34.846402,941
2021-12-10 13:58:34.846411,1774
2021-12-10 13:58:34.846420,1735
2021-12-10 13:58:34.846429,610
2021-12-10 13:58:34.846437,-340
2021-12-10 13:58:34.846445,-324
2021-12-10 13:58:34.846454,-126
