Time,ECG
2021-12-23 14:49:05.900183,4951
2021-12-23 14:49:05.900209,4876
2021-12-23 14:49:05.900220,4836
2021-12-23 14:49:05.900230,4807
2021-12-23 14:49:05.900240,4744
2021-12-23 14:49:05.900251,4696
2021-12-23 14:49:05.900261,4658
2021-12-23 14:49:05.900271,4614
2021-12-23 14:49:05.900281,4583
2021-12-23 14:49:05.900292,4533
2021-12-23 14:49:05.900302,4472
2021-12-23 14:49:05.900312,4444
2021-12-23 14:49:05.900322,4427
2021-12-23 14:49:05.900332,4410
2021-12-23 14:49:05.900342,4398
2021-12-23 14:49:05.900352,4340
2021-12-23 14:49:05.900361,4275
2021-12-23 14:49:05.900372,4256
2021-12-23 14:49:05.900382,4213
2021-12-23 14:49:05.900392,4129
2021-12-23 14:49:05.900402,4032
2021-12-23 14:49:05.900411,3917
2021-12-23 14:49:05.900421,3804
2021-12-23 14:49:05.900431,3710
2021-12-23 14:49:05.900441,3621
2021-12-23 14:49:05.900451,3544
2021-12-23 14:49:05.900462,3482
2021-12-23 14:49:06.258467,3431
2021-12-23 14:49:06.258482,3407
2021-12-23 14:49:06.258487,3378
2021-12-23 14:49:06.258492,3330
2021-12-23 14:49:06.258496,3306
2021-12-23 14:49:06.258500,3282
2021-12-23 14:49:06.258505,3222
2021-12-23 14:49:06.258509,3181
2021-12-23 14:49:06.258514,3164
2021-12-23 14:49:06.258519,3126
2021-12-23 14:49:06.258523,3082
2021-12-23 14:49:06.258528,3034
2021-12-23 14:49:06.258532,2996
2021-12-23 14:49:06.258537,2993
2021-12-23 14:49:06.258541,2972
2021-12-23 14:49:06.258545,2909
2021-12-23 14:49:06.258550,2873
2021-12-23 14:49:06.258554,2854
2021-12-23 14:49:06.258559,2806
2021-12-23 14:49:06.258563,2763
2021-12-23 14:49:06.258572,2746
2021-12-23 14:49:06.258577,2722
2021-12-23 14:49:06.258582,2681
2021-12-23 14:49:06.258586,2635
2021-12-23 14:49:06.258590,2604
2021-12-23 14:49:06.258595,2587
2021-12-23 14:49:06.258599,2568
2021-12-23 14:49:06.258603,2544
2021-12-23 14:49:06.258608,2505
2021-12-23 14:49:06.258612,2462
2021-12-23 14:49:06.350209,2428
2021-12-23 14:49:06.350240,2402
2021-12-23 14:49:06.350269,2375
2021-12-23 14:49:06.350280,2347
2021-12-23 14:49:06.350290,2315
2021-12-23 14:49:06.350300,2303
2021-12-23 14:49:06.350310,2286
2021-12-23 14:49:06.350320,2253
2021-12-23 14:49:06.350329,2226
2021-12-23 14:49:06.350339,2202
2021-12-23 14:49:06.350349,2159
2021-12-23 14:49:06.350359,2113
2021-12-23 14:49:06.350369,2089
2021-12-23 14:49:06.350379,2080
2021-12-23 14:49:06.350388,2072
2021-12-23 14:49:06.350398,2065
2021-12-23 14:49:06.350412,2039
2021-12-23 14:49:06.350422,2007
2021-12-23 14:49:06.350432,1995
2021-12-23 14:49:06.350442,1991
2021-12-23 14:49:06.350451,1967
2021-12-23 14:49:06.350461,1935
2021-12-23 14:49:06.350471,1899
2021-12-23 14:49:06.350481,1863
2021-12-23 14:49:06.350491,1844
2021-12-23 14:49:06.350501,1832
2021-12-23 14:49:06.350510,1818
2021-12-23 14:49:06.350520,1796
2021-12-23 14:49:06.350530,1774
2021-12-23 14:49:06.350540,1765
2021-12-23 14:49:06.665180,1755
2021-12-23 14:49:06.665211,1729
2021-12-23 14:49:06.665226,1769
2021-12-23 14:49:06.665237,1947
2021-12-23 14:49:06.665246,2246
2021-12-23 14:49:06.665256,2573
2021-12-23 14:49:06.665266,2375
2021-12-23 14:49:06.665276,1507
2021-12-23 14:49:06.665286,1156
