HRV_MeanNN,HRV_SDNN,HRV_SDANN1,HRV_SDNNI1,HRV_SDANN2,HRV_SDNNI2,HRV_SDANN5,HRV_SDNNI5,HRV_RMSSD,HRV_SDSD,HRV_CVNN,HRV_CVSD,HRV_MedianNN,HRV_MadNN,HRV_MCVNN,HRV_IQRNN,HRV_pNN50,HRV_pNN20,HRV_HTI,HRV_TINN,HRV_ULF,HRV_VLF,HRV_LF,HRV_HF,HRV_VHF,HRV_LFHF,HRV_LFn,HRV_HFn,HRV_LnHF,Time,zcr_mean,energy_mean,energy_entropy_mean,spectral_centroid_mean,spectral_spread_mean,spectral_entropy_mean,spectral_flux_mean,spectral_rolloff_mean,mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,mfcc_6_mean,mfcc_7_mean,mfcc_8_mean,mfcc_9_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_13_mean,chroma_1_mean,chroma_2_mean,chroma_3_mean,chroma_4_mean,chroma_5_mean,chroma_6_mean,chroma_7_mean,chroma_8_mean,chroma_9_mean,chroma_10_mean,chroma_11_mean,chroma_12_mean,chroma_std_mean,delta zcr_mean,delta energy_mean,delta energy_entropy_mean,delta spectral_centroid_mean,delta spectral_spread_mean,delta spectral_entropy_mean,delta spectral_flux_mean,delta spectral_rolloff_mean,delta mfcc_1_mean,delta mfcc_2_mean,delta mfcc_3_mean,delta mfcc_4_mean,delta mfcc_5_mean,delta mfcc_6_mean,delta mfcc_7_mean,delta mfcc_8_mean,delta mfcc_9_mean,delta mfcc_10_mean,delta mfcc_11_mean,delta mfcc_12_mean,delta mfcc_13_mean,delta chroma_1_mean,delta chroma_2_mean,delta chroma_3_mean,delta chroma_4_mean,delta chroma_5_mean,delta chroma_6_mean,delta chroma_7_mean,delta chroma_8_mean,delta chroma_9_mean,delta chroma_10_mean,delta chroma_11_mean,delta chroma_12_mean,delta chroma_std_mean,zcr_std,energy_std,energy_entropy_std,spectral_centroid_std,spectral_spread_std,spectral_entropy_std,spectral_flux_std,spectral_rolloff_std,mfcc_1_std,mfcc_2_std,mfcc_3_std,mfcc_4_std,mfcc_5_std,mfcc_6_std,mfcc_7_std,mfcc_8_std,mfcc_9_std,mfcc_10_std,mfcc_11_std,mfcc_12_std,mfcc_13_std,chroma_1_std,chroma_2_std,chroma_3_std,chroma_4_std,chroma_5_std,chroma_6_std,chroma_7_std,chroma_8_std,chroma_9_std,chroma_10_std,chroma_11_std,chroma_12_std,chroma_std_std,delta zcr_std,delta energy_std,delta energy_entropy_std,delta spectral_centroid_std,delta spectral_spread_std,delta spectral_entropy_std,delta spectral_flux_std,delta spectral_rolloff_std,delta mfcc_1_std,delta mfcc_2_std,delta mfcc_3_std,delta mfcc_4_std,delta mfcc_5_std,delta mfcc_6_std,delta mfcc_7_std,delta mfcc_8_std,delta mfcc_9_std,delta mfcc_10_std,delta mfcc_11_std,delta mfcc_12_std,delta mfcc_13_std,delta chroma_1_std,delta chroma_2_std,delta chroma_3_std,delta chroma_4_std,delta chroma_5_std,delta chroma_6_std,delta chroma_7_std,delta chroma_8_std,delta chroma_9_std,delta chroma_10_std,delta chroma_11_std,delta chroma_12_std,delta chroma_std_std
713.9106403,62.71997224,,,,,,,19.60252354,19.6583191,0.087854094,0.027457951,700,57.02307692,0.081461538,84.61538462,1.19760479,32.33532934,9.823529412,46.875,,,0.009357084,0.000794024,8.84E-05,11.78438828,0.913822026,0.077545139,-7.138397224,2021/12/23 15:17,0,7.84E-09,3.317663084,0.000907441,6.81E-09,1.02E-08,0,0,-99.00180459,1.40E-07,6.45E-08,3.32E-08,1.99E-08,3.36E-08,4.04E-08,2.97E-08,2.56E-08,2.48E-08,9.10E-09,8.39E-09,3.16E-09,1.92E-34,4.25E-37,2.08E-34,4.55E-36,0.166666667,1.64E-34,7.16E-34,8.73E-37,1.81E-35,2.18E-36,5.31E-35,3.31E-36,0.046064233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.65E-24,4.44E-16,1.08E-19,8.27E-25,0,0,0,2.84E-14,2.65E-23,0,6.62E-24,0,0,0,3.31E-24,3.31E-24,3.31E-24,1.65E-24,1.65E-24,8.27E-25,4.28E-50,0,0,6.68E-52,2.78E-17,2.14E-50,8.55E-50,0,0,3.34E-52,1.07E-50,6.68E-52,6.94E-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
714.4578313,63.19333837,,,,,,,19.57958706,19.62666015,0.088449361,0.027404818,700,57.02307692,0.081461538,84.61538462,1.204819277,31.92771084,9.764705882,46.875,,,0.009525731,0.000818866,8.63E-05,11.63282883,0.91322328,0.078503973,-7.107589738,2021/12/23 15:17,0,7.84E-09,3.317663084,0.000907441,6.81E-09,1.02E-08,0,0,-99.00180459,1.40E-07,6.45E-08,3.32E-08,1.99E-08,3.36E-08,4.04E-08,2.97E-08,2.56E-08,2.48E-08,9.10E-09,8.39E-09,3.16E-09,1.92E-34,4.25E-37,2.08E-34,4.55E-36,0.166666667,1.64E-34,7.16E-34,8.73E-37,1.81E-35,2.18E-36,5.31E-35,3.31E-36,0.046064233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.65E-24,4.44E-16,1.08E-19,8.27E-25,0,0,0,2.84E-14,2.65E-23,0,6.62E-24,0,0,0,3.31E-24,3.31E-24,3.31E-24,1.65E-24,1.65E-24,8.27E-25,4.28E-50,0,0,6.68E-52,2.78E-17,2.14E-50,8.55E-50,0,0,3.34E-52,1.07E-50,6.68E-52,6.94E-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
715.2464302,63.14782207,,,,,,,19.74746099,19.79651983,0.088288203,0.027609311,700,57.02307692,0.081461538,92.30769231,1.19760479,32.33532934,9.823529412,46.875,,,0.009770628,0.000851462,8.56E-05,11.4751187,0.912489725,0.079518979,-7.06855561,2021/12/23 15:17,0,7.84E-09,3.317663084,0.000907441,6.81E-09,1.02E-08,0,0,-99.00180459,1.40E-07,6.45E-08,3.32E-08,1.99E-08,3.36E-08,4.04E-08,2.97E-08,2.56E-08,2.48E-08,9.10E-09,8.39E-09,3.16E-09,1.92E-34,4.25E-37,2.08E-34,4.55E-36,0.166666667,1.64E-34,7.16E-34,8.73E-37,1.81E-35,2.18E-36,5.31E-35,3.31E-36,0.046064233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.65E-24,4.44E-16,1.08E-19,8.27E-25,0,0,0,2.84E-14,2.65E-23,0,6.62E-24,0,0,0,3.31E-24,3.31E-24,3.31E-24,1.65E-24,1.65E-24,8.27E-25,4.28E-50,0,0,6.68E-52,2.78E-17,2.14E-50,8.55E-50,0,0,3.34E-52,1.07E-50,6.68E-52,6.94E-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
715.987025,63.12063392,,,,,,,19.93354568,19.9887573,0.088158908,0.027840652,703.8461538,62.72538462,0.089118033,90.38461538,1.204819277,33.13253012,10.375,46.875,,,0.010049279,0.000890813,8.52E-05,11.2810233,0.911476381,0.080797314,-7.023376355,2021/12/23 15:17,0,7.84E-09,3.317663084,0.000907441,6.81E-09,1.02E-08,0,0,-99.00180459,1.40E-07,6.45E-08,3.32E-08,1.99E-08,3.36E-08,4.04E-08,2.97E-08,2.56E-08,2.48E-08,9.10E-09,8.39E-09,3.16E-09,1.92E-34,4.25E-37,2.08E-34,4.55E-36,0.166666667,1.64E-34,7.16E-34,8.73E-37,1.81E-35,2.18E-36,5.31E-35,3.31E-36,0.046064233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.65E-24,4.44E-16,1.08E-19,8.27E-25,0,0,0,2.84E-14,2.65E-23,0,6.62E-24,0,0,0,3.31E-24,3.31E-24,3.31E-24,1.65E-24,1.65E-24,8.27E-25,4.28E-50,0,0,6.68E-52,2.78E-17,2.14E-50,8.55E-50,0,0,3.34E-52,1.07E-50,6.68E-52,6.94E-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
716.6357739,62.94035028,,,,,,,19.81626198,19.87609053,0.08782753,0.02765179,707.6923077,68.42769231,0.096691304,84.61538462,1.204819277,31.92771084,11.06666667,46.875,,,0.010464039,0.000951281,8.54E-05,10.9999444,0.909859803,0.082714946,-6.957700954,2021/12/23 15:17,0,7.84E-09,3.317663084,0.000907441,6.81E-09,1.02E-08,0,0,-99.00180459,1.40E-07,6.45E-08,3.32E-08,1.99E-08,3.36E-08,4.04E-08,2.97E-08,2.56E-08,2.48E-08,9.10E-09,8.39E-09,3.16E-09,1.92E-34,4.25E-37,2.08E-34,4.55E-36,0.166666667,1.64E-34,7.16E-34,8.73E-37,1.81E-35,2.18E-36,5.31E-35,3.31E-36,0.046064233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.65E-24,4.44E-16,1.08E-19,8.27E-25,0,0,0,2.84E-14,2.65E-23,0,6.62E-24,0,0,0,3.31E-24,3.31E-24,3.31E-24,1.65E-24,1.65E-24,8.27E-25,4.28E-50,0,0,6.68E-52,2.78E-17,2.14E-50,8.55E-50,0,0,3.34E-52,1.07E-50,6.68E-52,6.94E-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
716.8211307,62.95915677,,,,,,,19.5978943,19.65749755,0.087831056,0.027340006,707.6923077,68.42769231,0.096691304,84.61538462,1.204819277,31.3253012,11.06666667,46.875,,,0.010826061,0.001006582,8.62E-05,10.7552663,0.908318173,0.084453341,-6.901194533,2021/12/23 15:17,0,7.84E-09,3.317663084,0.000907441,6.81E-09,1.02E-08,0,0,-99.00180459,1.40E-07,6.45E-08,3.32E-08,1.99E-08,3.36E-08,4.04E-08,2.97E-08,2.56E-08,2.48E-08,9.10E-09,8.39E-09,3.16E-09,1.92E-34,4.25E-37,2.08E-34,4.55E-36,0.166666667,1.64E-34,7.16E-34,8.73E-37,1.81E-35,2.18E-36,5.31E-35,3.31E-36,0.046064233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.65E-24,4.44E-16,1.08E-19,8.27E-25,0,0,0,2.84E-14,2.65E-23,0,6.62E-24,0,0,0,3.31E-24,3.31E-24,3.31E-24,1.65E-24,1.65E-24,8.27E-25,4.28E-50,0,0,6.68E-52,2.78E-17,2.14E-50,8.55E-50,0,0,3.34E-52,1.07E-50,6.68E-52,6.94E-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
716.6821131,62.91946094,,,,,,,19.40480689,19.46028258,0.087792704,0.027075891,707.6923077,68.42769231,0.096691304,84.61538462,1.204819277,30.72289157,11.06666667,46.875,,,0.01122014,0.00106846,8.76E-05,10.50122841,0.906588966,0.086331706,-6.841537102,2021/12/23 15:17,0,7.84E-09,3.317663084,0.000907441,6.81E-09,1.02E-08,0,0,-99.00180459,1.40E-07,6.45E-08,3.32E-08,1.99E-08,3.36E-08,4.04E-08,2.97E-08,2.56E-08,2.48E-08,9.10E-09,8.39E-09,3.16E-09,1.92E-34,4.25E-37,2.08E-34,4.55E-36,0.166666667,1.64E-34,7.16E-34,8.73E-37,1.81E-35,2.18E-36,5.31E-35,3.31E-36,0.046064233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.65E-24,4.44E-16,1.08E-19,8.27E-25,0,0,0,2.84E-14,2.65E-23,0,6.62E-24,0,0,0,3.31E-24,3.31E-24,3.31E-24,1.65E-24,1.65E-24,8.27E-25,4.28E-50,0,0,6.68E-52,2.78E-17,2.14E-50,8.55E-50,0,0,3.34E-52,1.07E-50,6.68E-52,6.94E-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
715.523633,62.15006619,,,,,,,19.21911069,19.26309183,0.086859558,0.026860204,707.6923077,57.02307692,0.080576087,76.92307692,1.204819277,30.12048193,11.06666667,46.875,,,0.011799061,0.001159213,9.09E-05,10.17851177,0.904197165,0.088833926,-6.760014154,2021/12/23 15:17,0.098207804,0.00052114,3.171642221,0.164422899,0.146032098,1.107065806,0.034223777,0.172822142,-39.98334968,0.257834658,-0.243652311,-0.376499919,-0.244956307,-0.085960073,-0.226947555,-0.198686797,-0.475580473,-0.075134096,0.010127566,0.029721126,-0.010784333,0.002697568,0.002588584,0.007672357,0.019996504,0.036394577,0.008203867,0.008425089,0.011186059,0.011931963,0.003757105,0.004257686,0.002659029,0.016678302,0.002903811,0.00022941,-0.002432056,0.005814369,0.006018304,0.044856338,0.000228246,0.005127042,3.579595381,-0.003574684,0.014721065,-0.035941628,-0.0043353,-0.012110699,-0.03166972,-0.024253504,-0.069716203,0.008945081,0.044666874,0.057811128,0.002297649,6.21E-06,5.12E-06,0.000181985,8.49E-06,-0.007344716,7.57E-05,0.000553131,0.004850977,0.003814692,1.11E-05,3.16E-05,1.63E-06,-0.000717636,0.057012916,0.001243201,0.340640368,0.072112745,0.061851925,0.605249659,0.114479454,0.100786625,20.19021856,0.833836572,0.626779584,0.388554875,0.264636481,0.171824881,0.270950929,0.210759271,0.376093094,0.179536141,0.343115256,0.390626825,0.19047646,0.002048498,0.003223874,0.011438463,0.043129995,0.056928314,0.009501395,0.009008074,0.023064465,0.024532936,0.004448445,0.003824645,0.002490692,0.017926343,0.041071205,0.000531369,0.502100838,0.087739094,0.078059502,0.518860047,0.156328647,0.090924628,11.07504782,0.856515377,0.590463429,0.416227217,0.341638787,0.18618094,0.272465502,0.316009173,0.166334881,0.259821061,0.27928612,0.321758726,0.226152275,0.002102868,0.004192339,0.01412757,0.044507663,0.039593535,0.010369064,0.01189228,0.014948843,0.018618843,0.005240693,0.004390836,0.00245912,0.014568395
715.0139018,61.60722981,,,,,,,19.44173329,19.49530937,0.086162283,0.027190707,707.6923077,57.02307692,0.080576087,76.92307692,1.204819277,30.72289157,11.06666667,46.875,,,0.012380097,0.001247869,9.52E-05,9.920989085,0.902128037,0.09093126,-6.686317815,2021/12/23 15:17,0.069532668,0.002176622,2.864725405,0.130416044,0.15090202,0.623557887,0.008173258,0.110526316,-28.01151691,0.71004691,-1.137680493,-0.660206536,-0.23314282,-0.345741431,-0.112783558,-0.117723842,-0.201332529,-0.198712594,0.030463264,0.082462768,-0.266475887,0.014081752,0.007641161,0.018082103,0.007471226,0.006197677,0.012169506,0.014394059,0.018820612,0.01274432,0.011169278,0.016496547,0.010149119,0.015510473,0.002382033,-0.000212151,-0.005688897,0.001412609,0.001597695,0.013982951,1.45E-06,0.001678766,-0.055472937,0.002164838,-0.027175106,0.039959006,0.008551809,0.021367977,0.020770197,0.018863933,0.076617508,-0.042410635,-0.050080943,-0.046556252,-0.057463934,0.000928435,3.69E-05,0.00049836,6.74E-05,-0.000882983,0.000139268,-0.00044879,-0.004694306,-0.003612228,0.000229445,0.000567975,0.000542698,-0.001308241,0.038142185,0.003886097,0.399674583,0.035051326,0.0280564,0.433701909,0.005320762,0.071190815,1.954802444,0.846065401,0.883570796,0.44981301,0.364537477,0.267384031,0.31116854,0.30442096,0.410861467,0.259456025,0.396778984,0.408019973,0.416606148,0.027167265,0.010304998,0.014816593,0.006578808,0.006158807,0.012782615,0.019541803,0.02953967,0.012941197,0.012547048,0.033192866,0.011590791,0.009999631,0.049544716,0.004354067,0.55296637,0.042009865,0.037111194,0.481833998,0.006646291,0.093688297,1.718701192,0.738681573,0.732817521,0.475706238,0.366037714,0.276748687,0.410954013,0.420119368,0.414013238,0.328382641,0.343447659,0.434947234,0.40111223,0.037386861,0.014785199,0.021233818,0.007387453,0.00767452,0.01799583,0.026720718,0.029597774,0.021220274,0.016937388,0.041535603,0.014119364,0.010674025
714.6895273,61.21606862,,,,,,,19.37706591,19.43554626,0.085654073,0.027112564,707.6923077,57.02307692,0.080576087,76.92307692,1.204819277,30.72289157,11.06666667,46.875,,,0.013050745,0.001349581,0.000101055,9.670222058,0.899965654,0.093065666,-6.607961345,2021/12/23 15:17,0.054219601,0.000178303,3.064256628,0.086594029,0.090572114,0.43862388,0.053912432,0.079809437,-54.99469489,-0.153641675,-0.526680475,0.374271868,-0.158872652,-0.026094883,-0.408157485,-0.167885742,-0.124682773,-0.18912914,-0.041134239,-0.009862491,-0.212210233,0.011048345,0.005507298,0.008695363,0.005868006,0.063618043,0.002276501,0.008246311,0.001729836,0.003054378,0.003469143,0.006935502,0.004835876,0.021733316,-0.005285844,-1.73E-05,0.008120953,-0.007226979,-0.007615999,-0.05883929,-0.000229693,-0.006805808,-3.524122444,0.001409846,0.012454042,-0.004017378,-0.00421651,-0.009257278,0.010899523,0.005389571,-0.006901305,0.033465555,0.005414069,-0.011254876,0.055166284,-0.000934644,-4.20E-05,-0.000680345,-7.59E-05,0.008227699,-0.000214966,-0.000104342,-0.000156672,-0.000202465,-0.000240535,-0.000599544,-0.000544329,0.002025877,0.042264132,0.000387882,0.402426041,0.065866375,0.069879586,0.386743974,0.219946177,0.068318603,32.33340541,0.842008327,0.62431673,0.437445459,0.234682286,0.275340405,0.34915153,0.200092024,0.30454425,0.268254857,0.15745561,0.16843128,0.227648961,0.017102955,0.010730919,0.013314712,0.007898928,0.0761277,0.00276896,0.013391623,0.001835971,0.003698166,0.004204738,0.010818952,0.005684565,0.018335793,0.019797129,0.000348165,0.571575095,0.032378375,0.034478786,0.265224159,0.319119099,0.041900297,15.21000278,0.881492371,0.716146695,0.388278038,0.329550563,0.338718298,0.281757943,0.180497203,0.281281808,0.213932821,0.192712974,0.229887076,0.242400199,0.018789219,0.012475773,0.016984536,0.009510313,0.03706983,0.003136838,0.01423303,0.001951017,0.004002161,0.004188579,0.012492146,0.007155036,0.010140406
