Time,ECG
2021-12-23 14:58:59.845097,21
2021-12-23 14:58:59.845119,28
2021-12-23 14:58:59.845125,26
2021-12-23 14:58:59.845132,16
2021-12-23 14:58:59.845137,21
2021-12-23 14:58:59.845144,52
2021-12-23 14:58:59.845150,83
2021-12-23 14:58:59.845155,112
2021-12-23 14:58:59.845161,131
2021-12-23 14:58:59.845167,105
2021-12-23 14:58:59.845173,81
2021-12-23 14:58:59.845178,112
2021-12-23 14:58:59.845184,141
2021-12-23 14:58:59.845190,138
2021-12-23 14:58:59.845195,124
2021-12-23 14:58:59.845202,98
2021-12-23 14:58:59.845207,78
2021-12-23 14:58:59.845212,83
2021-12-23 14:58:59.845217,76
2021-12-23 14:58:59.845222,35
2021-12-23 14:58:59.845228,-26
2021-12-23 14:58:59.845232,-74
2021-12-23 14:58:59.845238,-102
2021-12-23 14:58:59.845243,-124
2021-12-23 14:58:59.845248,-117
2021-12-23 14:58:59.845253,-100
2021-12-23 14:58:59.845258,-112
2021-12-23 14:58:59.845263,-143
2021-12-23 14:58:59.845269,-162
2021-12-23 14:58:59.845274,-141
2021-12-23 14:59:00.159134,-102
2021-12-23 14:59:00.159164,-81
2021-12-23 14:59:00.159176,-93
2021-12-23 14:59:00.159187,-107
2021-12-23 14:59:00.159197,-90
2021-12-23 14:59:00.159207,-66
2021-12-23 14:59:00.159218,-59
2021-12-23 14:59:00.159228,-52
2021-12-23 14:59:00.159238,-57
2021-12-23 14:59:00.159248,-83
2021-12-23 14:59:00.159258,-71
2021-12-23 14:59:00.159268,-35
2021-12-23 14:59:00.159277,-33
2021-12-23 14:59:00.159287,-31
2021-12-23 14:59:00.159297,-38
2021-12-23 14:59:00.159307,-71
2021-12-23 14:59:00.159317,-50
2021-12-23 14:59:00.159328,9
2021-12-23 14:59:00.159338,28
2021-12-23 14:59:00.159348,11
2021-12-23 14:59:00.159358,-2
2021-12-23 14:59:00.159368,-16
2021-12-23 14:59:00.159378,-47
2021-12-23 14:59:00.159388,-76
2021-12-23 14:59:00.159398,-62
2021-12-23 14:59:00.159408,-40
2021-12-23 14:59:00.159418,-43
2021-12-23 14:59:00.159428,-45
2021-12-23 14:59:00.159438,-50
2021-12-23 14:59:00.159451,-66
2021-12-23 14:59:00.295183,-64
2021-12-23 14:59:00.295204,-50
2021-12-23 14:59:00.295211,-74
2021-12-23 14:59:00.295217,-45
2021-12-23 14:59:00.295223,222
2021-12-23 14:59:00.295229,576
2021-12-23 14:59:00.295235,571
2021-12-23 14:59:00.295241,165
2021-12-23 14:59:00.295247,-203
2021-12-23 14:59:00.295253,-210
2021-12-23 14:59:00.295258,-47
2021-12-23 14:59:00.295264,-9
2021-12-23 14:59:00.295269,-7
2021-12-23 14:59:00.295279,28
2021-12-23 14:59:00.295285,-14
2021-12-23 14:59:00.295290,-59
2021-12-23 14:59:00.295295,-31
2021-12-23 14:59:00.295301,4
2021-12-23 14:59:00.295306,23
2021-12-23 14:59:00.295311,23
2021-12-23 14:59:00.295316,-16
2021-12-23 14:59:00.295321,-14
2021-12-23 14:59:00.295327,43
2021-12-23 14:59:00.295332,76
2021-12-23 14:59:00.295337,76
2021-12-23 14:59:00.295342,74
2021-12-23 14:59:00.295347,100
2021-12-23 14:59:00.295352,136
2021-12-23 14:59:00.295357,155
2021-12-23 14:59:00.295364,155
2021-12-23 14:59:00.520530,169
2021-12-23 14:59:00.520561,186
2021-12-23 14:59:00.520573,153
2021-12-23 14:59:00.520583,129
2021-12-23 14:59:00.520593,157
2021-12-23 14:59:00.520603,155
2021-12-23 14:59:00.520613,98
2021-12-23 14:59:00.520623,2
2021-12-23 14:59:00.520633,-98
2021-12-23 14:59:00.520643,-143
2021-12-23 14:59:00.520653,-143
2021-12-23 14:59:00.520663,-160
2021-12-23 14:59:00.520673,-189
2021-12-23 14:59:00.520682,-208
2021-12-23 14:59:00.520693,-203
2021-12-23 14:59:00.520703,-167
2021-12-23 14:59:00.520712,-155
2021-12-23 14:59:00.520729,-177
2021-12-23 14:59:00.520739,-172
2021-12-23 14:59:00.520749,-148
2021-12-23 14:59:00.520759,-141
2021-12-23 14:59:00.520769,-126
2021-12-23 14:59:00.520778,-102
2021-12-23 14:59:00.520788,-90
2021-12-23 14:59:00.520798,-83
2021-12-23 14:59:00.520808,-90
2021-12-23 14:59:00.520817,-93
2021-12-23 14:59:00.520827,-88
2021-12-23 14:59:00.520837,-100
2021-12-23 14:59:00.520847,-110
2021-12-23 14:59:00.834667,-95
2021-12-23 14:59:00.834688,-83
2021-12-23 14:59:00.834695,-78
2021-12-23 14:59:00.834702,-90
2021-12-23 14:59:00.834708,-102
