HRV_MeanNN,HRV_SDNN,HRV_SDANN1,HRV_SDNNI1,HRV_SDANN2,HRV_SDNNI2,HRV_SDANN5,HRV_SDNNI5,HRV_RMSSD,HRV_SDSD,HRV_CVNN,HRV_CVSD,HRV_MedianNN,HRV_MadNN,HRV_MCVNN,HRV_IQRNN,HRV_pNN50,HRV_pNN20,HRV_HTI,HRV_TINN,HRV_ULF,HRV_VLF,HRV_LF,HRV_HF,HRV_VHF,HRV_LFHF,HRV_LFn,HRV_HFn,HRV_LnHF,Time,zcr_mean,energy_mean,energy_entropy_mean,spectral_centroid_mean,spectral_spread_mean,spectral_entropy_mean,spectral_flux_mean,spectral_rolloff_mean,mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,mfcc_6_mean,mfcc_7_mean,mfcc_8_mean,mfcc_9_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_13_mean,chroma_1_mean,chroma_2_mean,chroma_3_mean,chroma_4_mean,chroma_5_mean,chroma_6_mean,chroma_7_mean,chroma_8_mean,chroma_9_mean,chroma_10_mean,chroma_11_mean,chroma_12_mean,chroma_std_mean,delta zcr_mean,delta energy_mean,delta energy_entropy_mean,delta spectral_centroid_mean,delta spectral_spread_mean,delta spectral_entropy_mean,delta spectral_flux_mean,delta spectral_rolloff_mean,delta mfcc_1_mean,delta mfcc_2_mean,delta mfcc_3_mean,delta mfcc_4_mean,delta mfcc_5_mean,delta mfcc_6_mean,delta mfcc_7_mean,delta mfcc_8_mean,delta mfcc_9_mean,delta mfcc_10_mean,delta mfcc_11_mean,delta mfcc_12_mean,delta mfcc_13_mean,delta chroma_1_mean,delta chroma_2_mean,delta chroma_3_mean,delta chroma_4_mean,delta chroma_5_mean,delta chroma_6_mean,delta chroma_7_mean,delta chroma_8_mean,delta chroma_9_mean,delta chroma_10_mean,delta chroma_11_mean,delta chroma_12_mean,delta chroma_std_mean,zcr_std,energy_std,energy_entropy_std,spectral_centroid_std,spectral_spread_std,spectral_entropy_std,spectral_flux_std,spectral_rolloff_std,mfcc_1_std,mfcc_2_std,mfcc_3_std,mfcc_4_std,mfcc_5_std,mfcc_6_std,mfcc_7_std,mfcc_8_std,mfcc_9_std,mfcc_10_std,mfcc_11_std,mfcc_12_std,mfcc_13_std,chroma_1_std,chroma_2_std,chroma_3_std,chroma_4_std,chroma_5_std,chroma_6_std,chroma_7_std,chroma_8_std,chroma_9_std,chroma_10_std,chroma_11_std,chroma_12_std,chroma_std_std,delta zcr_std,delta energy_std,delta energy_entropy_std,delta spectral_centroid_std,delta spectral_spread_std,delta spectral_entropy_std,delta spectral_flux_std,delta spectral_rolloff_std,delta mfcc_1_std,delta mfcc_2_std,delta mfcc_3_std,delta mfcc_4_std,delta mfcc_5_std,delta mfcc_6_std,delta mfcc_7_std,delta mfcc_8_std,delta mfcc_9_std,delta mfcc_10_std,delta mfcc_11_std,delta mfcc_12_std,delta mfcc_13_std,delta chroma_1_std,delta chroma_2_std,delta chroma_3_std,delta chroma_4_std,delta chroma_5_std,delta chroma_6_std,delta chroma_7_std,delta chroma_8_std,delta chroma_9_std,delta chroma_10_std,delta chroma_11_std,delta chroma_12_std,delta chroma_std_std
824.3589744,83.31188259,,,,,,,90.35041643,90.66484387,0.101062626,0.109600816,838.4615385,91.23692308,0.108814679,123.0769231,48.61111111,73.61111111,18,179.6875,,,0.036557072,0.072451692,0.008952131,0.504571678,0.309908398,0.614200937,-2.624835254,2021/12/23 15:17,0.073480036,0.001723342,3.027075063,0.13515577,0.152233383,0.694091339,0.007362047,0.110299456,-28.6127802,1.99944646,0.293793448,-0.485939497,-0.18155369,0.019333876,-0.135264713,-0.046249143,-0.279253155,-0.073153739,-0.038222966,0.129480484,-0.017037821,0.0105664,0.003927648,0.007123138,0.007193524,0.036698571,0.029734981,0.041544177,0.001993273,0.009017237,0.011027502,0.012360334,0.014388719,0.020542826,-0.005626134,6.36E-06,0.057058021,-0.003287761,0.001441465,-0.065922763,0.000188344,-0.008303085,0.079949213,0.01718244,-0.081732976,0.039699204,0.027256806,0.038164734,-0.017952628,-0.01995306,-0.004599008,0.011305023,0.02219629,-0.012202839,-0.010978676,0.000377059,-0.000128403,0.000109265,0.001336177,-0.000261999,-0.000321447,0.000172194,0.000543896,0.000956728,0.000335323,-0.000228488,7.54E-05,0.000227646,0.054524006,0.002941196,0.382097601,0.04305161,0.024994109,0.608886955,0.007445001,0.095228779,2.122048985,0.529373971,0.833635261,0.388939869,0.238293476,0.260101206,0.258811686,0.259619676,0.289554635,0.260144155,0.187042488,0.200939663,0.181611007,0.009438203,0.003152837,0.006154904,0.007966943,0.038210331,0.035948043,0.046109507,0.002686448,0.007005196,0.009294303,0.007926247,0.020395107,0.013603017,0.058590129,0.002628478,0.577644647,0.045085915,0.027685893,0.624742578,0.006491008,0.106810963,1.217575294,0.538593616,0.660736066,0.311154388,0.30644332,0.224703812,0.347657429,0.223418851,0.262943624,0.350385219,0.211883852,0.243414718,0.229694431,0.011355897,0.002885931,0.007482318,0.008300984,0.043792929,0.048433387,0.055261713,0.002428162,0.00876612,0.008008599,0.008953549,0.01693689,0.013246381
821.9098143,84.23248171,,,,,,,90.51409166,90.82091143,0.102483849,0.110126549,838.4615385,91.23692308,0.108814679,138.4615385,48.96551724,73.10344828,18.125,179.6875,,,0.038649303,0.072140045,0.009225897,0.535753792,0.322036612,0.601090682,-2.629145974,2021/12/23 15:17,0.052994555,0.011356381,3.10281644,0.110251636,0.149810073,0.289572175,0.008950423,0.075952813,-26.29857526,1.853652098,-1.220436077,0.078111238,-0.440707259,0.357932772,0.092263073,-0.376989197,-0.229747525,0.150791445,-0.276912729,0.254451183,-0.195367613,0.006431774,0.003611156,0.026908139,0.006528803,0.007783629,0.008595485,0.024624348,0.022235194,0.023680091,0.016522128,0.017355893,0.004206123,0.016890561,0.000136116,-2.05E-05,-0.009842506,0.000889682,1.48E-05,0.001173207,0.000197717,-0.001678766,-0.23752111,0.031143503,0.040082701,-0.018152636,-0.009937963,-0.017610992,0.026225279,0.023636204,0.020207941,-0.010175463,-0.031654267,-0.008762926,0.006093443,0.00038131,1.65E-05,0.002111126,-0.001728384,-0.000536929,-7.53E-05,0.001348606,-0.000463937,-0.001111831,-0.000136505,0.000950718,-9.95E-06,0.000212539,0.040890917,0.012121427,0.151090323,0.038286766,0.033445486,0.466198883,0.004841397,0.058417004,3.252756692,0.522574527,0.837162127,0.310973346,0.378033203,0.255593232,0.198270427,0.207423859,0.252152528,0.253552765,0.181910359,0.202954931,0.201729037,0.007295221,0.003485599,0.032735474,0.00516396,0.008798586,0.011914875,0.019898553,0.019975122,0.026531272,0.012605937,0.019330655,0.005176608,0.007287838,0.04097051,0.010143,0.2363041,0.038929562,0.032433749,0.493500972,0.007055269,0.058831491,2.468043338,0.453297628,0.640980248,0.26127684,0.281646212,0.294596513,0.196227739,0.290883488,0.242169525,0.272422352,0.228594996,0.205409627,0.195888334,0.009937138,0.003874986,0.03638361,0.007882836,0.00967329,0.016959301,0.027244876,0.030246689,0.034934642,0.013135285,0.020979443,0.007610884,0.009911895
820.6896552,84.71011229,,,,,,,90.49593073,90.80110297,0.103218204,0.110268151,838.4615385,91.23692308,0.108814679,153.8461538,48.96551724,72.4137931,18.125,46.875,,,0.040668568,0.072496728,0.009407731,0.560971079,0.331790516,0.591457435,-2.624213854,2021/12/23 15:17,0.061683303,0.009973286,3.200069636,0.125642498,0.15416139,0.417759114,0.00463801,0.088883848,-30.00256303,1.052352152,-0.632706523,0.765198494,-0.214468848,0.245382022,-0.065296757,-0.249038589,-0.170676677,-0.050053678,-0.096545807,0.125392352,-0.053404557,0.006920791,0.003079516,0.014413312,0.003673287,0.007395809,0.012431939,0.020683934,0.010776436,0.017902024,0.017276653,0.042744095,0.005444797,0.017295193,-6.81E-05,0.002075339,0.00910689,-0.002871153,-0.003391934,-0.011121532,0.00072829,0.001497278,0.475004884,-0.083478299,-0.114393947,0.034422302,0.006693833,-0.00812696,-0.040511321,-0.018290861,-0.037061837,0.015097285,0.044622448,-0.005961194,0.016370429,-0.00080499,-3.12E-05,-0.001486538,-0.000109953,-0.000257783,-9.53E-05,-0.000285095,0.00405263,0.00062613,-0.000687172,-0.000993109,0.000719693,0.000413248,0.016692645,0.018162747,0.159952514,0.026499472,0.027598121,0.232983707,0.005243175,0.034346942,4.082623469,0.489976111,0.909348594,0.386323094,0.325164224,0.188699323,0.274100988,0.205593246,0.244854013,0.269443193,0.19688916,0.209108862,0.179010428,0.004620386,0.002694145,0.010917266,0.003020671,0.00614162,0.007926451,0.012292292,0.020161265,0.030999572,0.017866243,0.028308805,0.00489829,0.006712104,0.011964185,0.006562716,0.23017651,0.023090184,0.034926055,0.158943985,0.006068036,0.028339595,2.120485678,0.364060659,0.46707912,0.372114113,0.353803702,0.14419818,0.185968143,0.284551916,0.277092131,0.207806292,0.239653503,0.260142397,0.23786295,0.006303726,0.003784735,0.010858844,0.004573694,0.00747713,0.008772444,0.014619443,0.021665633,0.030906294,0.023215695,0.023787022,0.005221033,0.006935951
818.8092729,85.15157254,,,,,,,90.79440374,91.09006325,0.103994392,0.110885901,826.9230769,96.93923077,0.117228837,151.9230769,50,72.60273973,18.25,46.875,,,0.041919213,0.071575212,0.00931921,0.585666628,0.341323772,0.582795323,-2.637006472,2021/12/23 15:17,0.060208711,0.000613029,3.122126134,0.140014625,0.178335902,0.368014698,0.003726736,0.071823956,-32.79796762,1.927432697,-0.569031037,0.415306882,-0.041134123,0.190241175,0.100290291,-0.081877686,-0.178728094,0.003873697,-0.122999426,-0.05669152,-0.055948355,0.01062561,0.003659527,0.037945654,0.011098622,0.01855827,0.013047726,0.039836579,0.006486162,0.010151078,0.018484624,0.036255239,0.00475123,0.017393421,0.00176951,-0.00207666,-0.000451581,0.004500904,0.004483199,0.023408474,-0.00098381,0.001315789,-0.55533015,0.037305819,0.08755649,-0.008040935,-0.010437007,0.016510769,0.041938436,0.031275384,0.038138195,-0.002407505,-0.019970969,0.003880761,-0.003484303,0.000946935,0.000141651,0.001621057,0.000236598,0.000744401,0.000351482,0.001476583,-0.003853506,-0.000617971,0.000911777,0.000569696,-0.000128418,-0.000258508,0.017592482,0.002051056,0.171198798,0.040826269,0.032251425,0.243442939,0.002117365,0.028139854,3.222160609,0.342777603,1.069545258,0.263655821,0.204417293,0.123001395,0.257046907,0.191728961,0.311551956,0.136585198,0.228874214,0.216510612,0.159831376,0.005638331,0.003467921,0.024839668,0.009205056,0.008969018,0.015554821,0.019437305,0.009247484,0.007479212,0.008730268,0.027874032,0.003984575,0.006835986,0.009362377,0.007103364,0.202990379,0.021190169,0.033874647,0.128719166,0.002983671,0.033095451,0.881883892,0.373756498,0.298052116,0.313806086,0.230661192,0.180336114,0.224205479,0.234779882,0.198526298,0.147782864,0.22774933,0.274032654,0.193033732,0.008862333,0.004137978,0.022462641,0.011466364,0.014155129,0.021104514,0.024037586,0.012843416,0.008323997,0.01025898,0.035351643,0.006016497,0.004489309
816.8071654,85.75315796,,,,,,,90.77867145,91.07534664,0.104985805,0.111138437,823.0769231,91.23692308,0.110848598,146.1538462,50,72.60273973,18.25,70.3125,,,0.044050267,0.071635211,0.009224572,0.614924785,0.352655907,0.573494378,-2.636168554,2021/12/23 15:17,0.053289474,0.011111809,3.014698676,0.116023026,0.155759339,0.283719084,0.006392661,0.077903811,-27.4209446,1.331569871,-1.394146841,0.276085763,-0.216497042,0.383701295,-0.127117671,-0.430548581,-0.267616208,0.170152236,-0.084022501,0.060128964,0.081573327,0.007951156,0.003734484,0.015957764,0.003722724,0.010379899,0.025376232,0.031202784,0.006295927,0.017287063,0.02552458,0.015968695,0.004648609,0.017296327,-0.001270417,0.000167277,-0.021862826,-0.002982005,-0.00248111,-0.017352075,0.000171841,-0.000680581,0.426252772,-0.003596128,-0.069304153,0.019176686,0.006775,0.000455431,-0.0241176,-0.044238862,-0.002270209,0.009996464,-0.008034995,0.029776615,-0.013230243,-0.000321258,-0.000175378,-0.001913373,-0.000250172,-0.000607027,9.10E-05,-0.001540954,0.001309498,0.000646552,-5.46E-05,0.000212043,-0.000389114,-0.000377152,0.024164387,0.013305321,0.446975689,0.0413648,0.0405914,0.317962894,0.0037842,0.035212073,4.296581689,0.552909941,1.009540693,0.357635131,0.263880762,0.234431922,0.214963472,0.324296158,0.264594575,0.182917712,0.186805324,0.268753727,0.272424338,0.006562308,0.003150811,0.023025822,0.003408224,0.011197465,0.022287125,0.027099672,0.008826694,0.027225703,0.020513669,0.01777721,0.004716258,0.007451924,0.015075269,0.009129237,0.498731582,0.030701568,0.041575344,0.230090209,0.004029949,0.035114421,1.683811688,0.620971921,0.563303412,0.451946755,0.318894505,0.217898519,0.294068192,0.343275138,0.232118022,0.195821393,0.209606917,0.254648406,0.216519579,0.009105692,0.004136327,0.014713221,0.004412235,0.011878482,0.025766303,0.0379072,0.011240294,0.033069543,0.028542272,0.01404593,0.005800601,0.011483415
814.9631191,86.67510378,,,,,,,89.3651234,89.67330202,0.106354633,0.10965542,823.0769231,91.23692308,0.110848598,146.1538462,49.31506849,71.91780822,18.25,78.125,,,0.046224632,0.07262847,0.009166289,0.636453336,0.361075238,0.567323977,-2.622398285,2021/12/23 15:17,0.061184211,0.000393472,3.114821661,0.121995486,0.152137075,0.504352775,0.00481673,0.088384755,-31.37983335,1.578461017,-0.555389262,0.32118146,-0.120638606,-0.051275476,0.04681976,-0.164689932,-0.23975804,0.137694451,-0.104249565,0.136188587,-0.009406537,0.010201515,0.003874139,0.018226821,0.011116695,0.019434307,0.016640333,0.02887266,0.005462107,0.012525057,0.013134957,0.015507254,0.005246897,0.01305446,0.001519964,-0.000166633,0.023794547,0.001556899,0.000339313,0.032218852,-0.000203433,0.002586207,-0.31227524,-0.04256237,0.07438857,-0.016074043,0.004515341,-0.023228017,0.004461498,0.024091578,-0.015847656,-0.017596436,-0.002586863,-0.021476636,0.003513616,2.53E-05,8.21E-06,0.001138757,0.00037414,3.98E-05,-0.000356023,-0.0006681,-0.001012651,-6.91E-05,-0.000737683,-0.000226818,2.59E-05,-8.12E-05,0.02406442,0.000874591,0.207379842,0.029680975,0.023316962,0.364950599,0.003153635,0.040735309,2.581722376,0.876692939,0.639924539,0.288318389,0.369910793,0.205991783,0.303529188,0.201071117,0.272912308,0.203420469,0.154619691,0.192870137,0.187427273,0.008971279,0.003388349,0.011824099,0.010210922,0.01747545,0.020924717,0.025875924,0.004128168,0.010146732,0.009685781,0.007963676,0.007015525,0.006518609,0.017256462,0.000759821,0.203750431,0.019900569,0.027201919,0.187217088,0.002495666,0.020283438,1.120154346,0.435473128,0.528435432,0.26991676,0.317298283,0.189179599,0.235252564,0.202198212,0.318270485,0.188812852,0.200405154,0.221042484,0.23843603,0.011809127,0.005089781,0.014114961,0.013838224,0.025880406,0.023805897,0.028639454,0.005111509,0.014938,0.011014775,0.010904863,0.009474381,0.006806268
813.1717597,88.37307954,,,,,,,88.52782662,88.81514176,0.108677015,0.108867316,823.0769231,91.23692308,0.110848598,146.1538462,47.94520548,70.54794521,18.25,78.125,,,0.045553906,0.069438936,0.008514629,0.656028281,0.368835226,0.562224582,-2.667307526,2021/12/23 15:17,0.075476407,9.47E-05,3.066962297,0.127497674,0.151239776,0.454175093,0.005935733,0.097141561,-31.74897645,0.634626938,0.457905661,0.448007675,-0.510272813,0.342597058,-0.33544132,0.169892002,-0.086016591,-0.157022005,0.250360445,-0.264871556,-0.039520299,0.011493871,0.003987713,0.022077751,0.013809877,0.005558905,0.00517366,0.019430953,0.001797996,0.00392121,0.014163138,0.017233527,0.003951747,0.01217533,-0.00142922,3.78E-07,-0.007991722,-0.000434491,0.000359856,-0.02035909,6.41E-05,-0.001588022,-0.030405642,0.019506302,0.047181846,0.023654259,-0.001531902,0.038917515,0.018482351,0.017380902,-0.007467327,0.003036997,0.024283802,-0.005447784,0.000711351,-0.000475521,-8.91E-06,-0.000659557,-0.000336362,0.000132508,0.000243019,0.000742565,-0.000455258,-0.000715979,0.003159618,0.00288807,-0.000246908,0.000811548,0.016899658,0.000130398,0.234817333,0.015032116,0.01623771,0.199710229,0.003878651,0.009349175,0.859739394,0.633285912,0.527593159,0.208424324,0.294925983,0.237692877,0.339481553,0.277095478,0.189499346,0.310474828,0.290274329,0.283717676,0.28576623,0.013522339,0.005131722,0.030060336,0.011944706,0.003319893,0.0051228,0.019242632,0.001962572,0.004074667,0.016582005,0.01911971,0.003246465,0.007812209,0.017463982,0.000159034,0.30841916,0.017186694,0.020559827,0.249667371,0.005047336,0.008161296,0.900900742,0.727339158,0.348861742,0.313062067,0.313412424,0.226754797,0.31988528,0.249895979,0.242187783,0.271006047,0.303963575,0.249269578,0.239939669,0.015399861,0.004803706,0.037888073,0.016704714,0.003815318,0.006259954,0.020635872,0.002339764,0.004538595,0.015316354,0.016647989,0.003619742,0.009478274
809.9424385,90.27535662,,,,,,,88.22642508,88.50487025,0.111458978,0.108929253,823.0769231,91.23692308,0.110848598,153.8461538,47.61904762,70.06802721,18.375,93.75,,,0.044056177,0.064968203,0.007608379,0.678119069,0.377734159,0.557032203,-2.73385731,2021/12/23 15:17,0.052676951,0.009289641,3.026928848,0.108515055,0.14858465,0.255815683,0.006913293,0.078130672,-27.30394346,1.189920138,-0.825171974,0.191688408,-0.34253787,0.352036915,-0.290114334,-0.075215024,-0.313565309,0.033102392,0.148403152,-0.056642811,-0.068992128,0.006593106,0.004182214,0.011593504,0.007889074,0.007468665,0.018952701,0.032730391,0.008100267,0.01162214,0.01972371,0.018418737,0.005817006,0.015470551,2.27E-05,2.36E-06,0.006934622,0.000351514,0.000785656,0.001993897,0.000108289,-0.000272232,0.09098993,0.027436433,-0.045389206,-0.037677845,0.003555045,0.011353677,-0.027549412,-0.024618325,0.013356471,-0.00995937,-0.012160723,0.001301467,-0.009712077,0.000392937,0.000162826,-0.000220756,5.64E-05,0.000685672,0.000942899,0.002547051,0.000562982,0.000313218,-0.002943782,-0.003549116,0.000150318,-0.00015991,0.018744698,0.013132456,0.34672862,0.023837082,0.0292643,0.185564601,0.004046412,0.023593292,3.666263153,0.702071029,1.039639141,0.446365269,0.208764981,0.345142639,0.325568007,0.375143207,0.20364754,0.283765481,0.24006172,0.235590069,0.235845476,0.004266515,0.003875377,0.011180015,0.009673657,0.00622466,0.016962688,0.034935101,0.007479551,0.013004852,0.024279477,0.021969421,0.006787244,0.008189531,0.020494649,0.006432521,0.382736741,0.024354389,0.031678306,0.236308325,0.006579227,0.027589938,1.714363634,0.811352442,0.710231707,0.342439099,0.287842954,0.361188165,0.329891986,0.324779542,0.235798229,0.242023932,0.279304248,0.267114675,0.312678829,0.005585666,0.004877759,0.014406891,0.013239084,0.007296116,0.019679287,0.044879102,0.006882733,0.015649917,0.034023586,0.020844891,0.006528555,0.011544258
808.3725798,90.03131484,,,,,,,86.76968291,87.06823015,0.111373539,0.107338726,823.0769231,91.23692308,0.110848598,157.6923077,47.61904762,70.06802721,18.375,93.75,,,0.042865932,0.061772697,0.006931514,0.693930068,0.384206122,0.553666918,-2.784293804,2021/12/23 15:17,0.01991833,1.05E-05,3.196175721,0.034895704,0.040960422,0.118616331,0.051375674,0.026633394,-78.89368965,0.294256841,-0.115407673,0.14213916,-0.164128452,0.003774574,0.002818586,0.002477105,0.04913934,-0.024314024,0.007462811,0.018008936,-0.079965939,0.003262228,0.003064134,0.002551905,0.003020122,0.119656061,0.005001326,0.006461016,0.000786149,0.000833028,0.003871535,0.005094166,0.005640028,0.035698242,-0.002608893,-3.60E-06,0.003564073,-0.006397036,-0.008531412,-0.021843054,-0.000271378,-0.004310345,-3.431569871,-0.077440273,0.012545317,0.001578909,0.005557551,-0.040441127,0.010140384,0.010893753,0.00588477,0.010948321,-0.002465014,-0.002129774,0.013780178,-0.000606282,-0.000207648,-0.000796133,-0.000163359,0.007302774,-0.001337504,-0.004231096,-0.000717638,-0.000358688,-0.000424493,-8.51E-05,-0.000320499,0.00122489,0.033631954,2.42E-05,0.373597766,0.053529276,0.06286167,0.23086721,0.217453423,0.042297144,30.72154209,0.667533737,0.215386195,0.321779116,0.299898825,0.18019756,0.103163924,0.204649866,0.139308979,0.09255878,0.193870841,0.163898801,0.135369875,0.005840466,0.0066747,0.004449645,0.006344982,0.071909917,0.010812128,0.013876015,0.002272224,0.001642391,0.007619046,0.012378243,0.016431804,0.016155803,0.026422306,1.78E-05,0.516454995,0.034349621,0.032715575,0.213069851,0.315489046,0.026696161,14.14368625,0.323162702,0.104945563,0.305738647,0.327348053,0.163430673,0.147646765,0.21840266,0.174382111,0.12610536,0.184546331,0.166763635,0.095991106,0.004538104,0.007137718,0.004283935,0.006055149,0.036037411,0.009909944,0.010858949,0.002077525,0.002064255,0.007236616,0.011872183,0.020176556,0.010291025
811.0936682,93.64213365,,,,,,,93.079405,93.37933049,0.115451689,0.114757899,823.0769231,91.23692308,0.110848598,157.6923077,47.61904762,70.06802721,18.375,93.75,,,0.042193473,0.059547234,0.00638385,0.708571504,0.390230253,0.550728121,-2.820985437,2021/12/23 15:17,0.052608893,0.010278791,2.905666967,0.098475157,0.121787154,0.364068778,0.057976033,0.078493648,-38.7361836,1.123411437,-0.732275971,0.319485164,-0.397797238,0.007055234,-0.197886682,-0.21422367,-0.101466468,0.046608878,0.163487745,0.154213906,-0.08230429,0.008799094,0.006504164,0.012715453,0.006816941,0.031977231,0.012786543,0.018645776,0.004195653,0.00985624,0.015749863,0.01256173,0.004858901,0.017697599,0.002155172,9.04E-05,-0.033939813,0.006035366,0.008464686,0.009476766,0.000263301,0.001134301,3.576876311,0.14496311,0.017447416,-0.013832915,-0.067184238,-0.008075096,-0.014337009,0.007019691,0.017682806,0.004256479,-0.018764277,-0.0059943,-0.007124641,0.000752988,6.70E-05,0.000371001,0.001147717,-0.007995988,5.83E-05,0.000354429,9.94E-06,0.000219653,0.002730237,0.003199733,0.001312406,-0.001285111,0.037794258,0.01635429,0.753861615,0.054469109,0.061486717,0.42866649,0.215180883,0.065674222,25.64743603,1.096536767,0.967631912,0.441513981,0.420321306,0.377927555,0.295371593,0.374654652,0.293270138,0.279501837,0.32693655,0.345767542,0.180611907,0.008566853,0.008022495,0.014856833,0.00702554,0.056990042,0.026409519,0.019777639,0.003934943,0.010666837,0.019827953,0.015613038,0.005782185,0.01368557,0.02582179,0.015580942,1.116313241,0.040844676,0.04462507,0.378209188,0.314446032,0.055360503,13.7971347,0.525015472,0.52833422,0.405349461,0.373020351,0.331941299,0.302004794,0.272637448,0.31664323,0.266812918,0.206098164,0.278669019,0.247781501,0.011408662,0.009434255,0.016115629,0.007306977,0.035946153,0.036046424,0.021685314,0.004491969,0.01314401,0.02094814,0.013448868,0.005229671,0.012081265
