Time,ECG
2021-12-23 17:58:05.500006,177
2021-12-23 17:58:05.500024,167
2021-12-23 17:58:05.500031,170
2021-12-23 17:58:05.500036,209
2021-12-23 17:58:05.500041,256
2021-12-23 17:58:05.500047,300
2021-12-23 17:58:05.500053,331
2021-12-23 17:58:05.500058,333
2021-12-23 17:58:05.500063,342
2021-12-23 17:58:05.500069,366
2021-12-23 17:58:05.500075,373
2021-12-23 17:58:05.500080,354
2021-12-23 17:58:05.500085,293
2021-12-23 17:58:05.500090,195
2021-12-23 17:58:05.500096,114
2021-12-23 17:58:05.500101,39
2021-12-23 17:58:05.500106,-55
2021-12-23 17:58:05.500112,-132
2021-12-23 17:58:05.500118,-179
2021-12-23 17:58:05.500123,-233
2021-12-23 17:58:05.500128,-275
2021-12-23 17:58:05.500133,-272
2021-12-23 17:58:05.500139,-263
2021-12-23 17:58:05.500144,-254
2021-12-23 17:58:05.500149,-240
2021-12-23 17:58:05.500155,-226
2021-12-23 17:58:05.500161,-209
2021-12-23 17:58:05.500166,-191
2021-12-23 17:58:05.500171,-163
2021-12-23 17:58:05.500176,-146
2021-12-23 17:58:05.770908,-137
2021-12-23 17:58:05.770929,-104
2021-12-23 17:58:05.770937,-81
2021-12-23 17:58:05.770944,-86
2021-12-23 17:58:05.770950,-69
2021-12-23 17:58:05.770957,-55
2021-12-23 17:58:05.770964,-83
2021-12-23 17:58:05.770971,-86
2021-12-23 17:58:05.770978,-53
2021-12-23 17:58:05.770984,-53
2021-12-23 17:58:05.770991,-53
2021-12-23 17:58:05.770997,-46
2021-12-23 17:58:05.771003,-69
2021-12-23 17:58:05.771010,-69
2021-12-23 17:58:05.771016,-37
2021-12-23 17:58:05.771023,-41
2021-12-23 17:58:05.771029,-51
2021-12-23 17:58:05.771037,-32
2021-12-23 17:58:05.771043,-27
2021-12-23 17:58:05.771050,-25
2021-12-23 17:58:05.771056,-13
2021-12-23 17:58:05.771063,-23
2021-12-23 17:58:05.771069,-44
2021-12-23 17:58:05.771075,-41
2021-12-23 17:58:05.771082,-32
2021-12-23 17:58:05.771088,-11
2021-12-23 17:58:05.771095,-2
2021-12-23 17:58:05.771101,-37
2021-12-23 17:58:05.771108,-67
2021-12-23 17:58:05.771116,-55
2021-12-23 17:58:05.995379,-51
2021-12-23 17:58:05.995410,-46
2021-12-23 17:58:05.995422,-27
2021-12-23 17:58:05.995432,-18
2021-12-23 17:58:05.995442,-4
2021-12-23 17:58:05.995452,20
2021-12-23 17:58:05.995462,30
2021-12-23 17:58:05.995472,34
2021-12-23 17:58:05.995482,48
2021-12-23 17:58:05.995492,46
2021-12-23 17:58:05.995502,20
2021-12-23 17:58:05.995511,6
2021-12-23 17:58:05.995522,23
2021-12-23 17:58:05.995538,41
2021-12-23 17:58:05.995548,39
2021-12-23 17:58:05.995558,37
2021-12-23 17:58:05.995568,41
2021-12-23 17:58:05.995578,25
2021-12-23 17:58:05.995588,13
2021-12-23 17:58:05.995598,51
2021-12-23 17:58:05.995608,107
2021-12-23 17:58:05.995618,149
2021-12-23 17:58:05.995628,270
2021-12-23 17:58:05.995638,468
2021-12-23 17:58:05.995648,466
2021-12-23 17:58:05.995658,76
2021-12-23 17:58:05.995668,-484
2021-12-23 17:58:05.995678,-613
2021-12-23 17:58:05.995688,-198
2021-12-23 17:58:05.995700,39
2021-12-23 17:58:06.264032,-16
2021-12-23 17:58:06.264063,74
2021-12-23 17:58:06.264075,198
2021-12-23 17:58:06.264086,165
2021-12-23 17:58:06.264096,135
2021-12-23 17:58:06.264106,170
2021-12-23 17:58:06.264115,195
2021-12-23 17:58:06.264125,207
2021-12-23 17:58:06.264135,216
2021-12-23 17:58:06.264145,219
2021-12-23 17:58:06.264154,209
2021-12-23 17:58:06.264164,207
2021-12-23 17:58:06.264174,237
2021-12-23 17:58:06.264183,282
2021-12-23 17:58:06.264193,305
2021-12-23 17:58:06.264203,328
2021-12-23 17:58:06.264212,338
2021-12-23 17:58:06.264227,349
2021-12-23 17:58:06.264237,401
2021-12-23 17:58:06.264247,447
2021-12-23 17:58:06.264257,452
2021-12-23 17:58:06.264266,426
2021-12-23 17:58:06.264276,380
2021-12-23 17:58:06.264286,331
2021-12-23 17:58:06.264295,270
2021-12-23 17:58:06.264305,177
2021-12-23 17:58:06.264315,62
2021-12-23 17:58:06.264325,-39
2021-12-23 17:58:06.264335,-111
2021-12-23 17:58:06.264344,-153
2021-12-23 17:58:06.400803,-172
2021-12-23 17:58:06.400836,-191
2021-12-23 17:58:06.400848,-216
2021-12-23 17:58:06.400858,-256
2021-12-23 17:58:06.400869,-279
2021-12-23 17:58:06.400879,-256
2021-12-23 17:58:06.400888,-223
2021-12-23 17:58:06.400906,-207
2021-12-23 17:58:06.400916,-195
2021-12-23 17:58:06.400926,-205
2021-12-23 17:58:06.400936,-212
2021-12-23 17:58:06.400946,-181
2021-12-23 17:58:06.400956,-153
2021-12-23 17:58:06.400966,-137
2021-12-23 17:58:06.400976,-123
2021-12-23 17:58:06.400986,-139
2021-12-23 17:58:06.400996,-153
2021-12-23 17:58:06.401006,-132
2021-12-23 17:58:06.401016,-109
2021-12-23 17:58:06.401026,-95
2021-12-23 17:58:06.401036,-86
2021-12-23 17:58:06.401045,-90
2021-12-23 17:58:06.401055,-95
2021-12-23 17:58:06.401065,-81
2021-12-23 17:58:06.401075,-58
2021-12-23 17:58:06.401085,-39
2021-12-23 17:58:06.401095,-46
2021-12-23 17:58:06.401105,-76
2021-12-23 17:58:06.401115,-88
2021-12-23 17:58:06.401126,-60
