HRV_MeanNN,HRV_SDNN,HRV_SDANN1,HRV_SDNNI1,HRV_SDANN2,HRV_SDNNI2,HRV_SDANN5,HRV_SDNNI5,HRV_RMSSD,HRV_SDSD,HRV_CVNN,HRV_CVSD,HRV_MedianNN,HRV_MadNN,HRV_MCVNN,HRV_IQRNN,HRV_pNN50,HRV_pNN20,HRV_HTI,HRV_TINN,HRV_ULF,HRV_VLF,HRV_LF,HRV_HF,HRV_VHF,HRV_LFHF,HRV_LFn,HRV_HFn,HRV_LnHF,Time,zcr_mean,energy_mean,energy_entropy_mean,spectral_centroid_mean,spectral_spread_mean,spectral_entropy_mean,spectral_flux_mean,spectral_rolloff_mean,mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,mfcc_6_mean,mfcc_7_mean,mfcc_8_mean,mfcc_9_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_13_mean,chroma_1_mean,chroma_2_mean,chroma_3_mean,chroma_4_mean,chroma_5_mean,chroma_6_mean,chroma_7_mean,chroma_8_mean,chroma_9_mean,chroma_10_mean,chroma_11_mean,chroma_12_mean,chroma_std_mean,delta zcr_mean,delta energy_mean,delta energy_entropy_mean,delta spectral_centroid_mean,delta spectral_spread_mean,delta spectral_entropy_mean,delta spectral_flux_mean,delta spectral_rolloff_mean,delta mfcc_1_mean,delta mfcc_2_mean,delta mfcc_3_mean,delta mfcc_4_mean,delta mfcc_5_mean,delta mfcc_6_mean,delta mfcc_7_mean,delta mfcc_8_mean,delta mfcc_9_mean,delta mfcc_10_mean,delta mfcc_11_mean,delta mfcc_12_mean,delta mfcc_13_mean,delta chroma_1_mean,delta chroma_2_mean,delta chroma_3_mean,delta chroma_4_mean,delta chroma_5_mean,delta chroma_6_mean,delta chroma_7_mean,delta chroma_8_mean,delta chroma_9_mean,delta chroma_10_mean,delta chroma_11_mean,delta chroma_12_mean,delta chroma_std_mean,zcr_std,energy_std,energy_entropy_std,spectral_centroid_std,spectral_spread_std,spectral_entropy_std,spectral_flux_std,spectral_rolloff_std,mfcc_1_std,mfcc_2_std,mfcc_3_std,mfcc_4_std,mfcc_5_std,mfcc_6_std,mfcc_7_std,mfcc_8_std,mfcc_9_std,mfcc_10_std,mfcc_11_std,mfcc_12_std,mfcc_13_std,chroma_1_std,chroma_2_std,chroma_3_std,chroma_4_std,chroma_5_std,chroma_6_std,chroma_7_std,chroma_8_std,chroma_9_std,chroma_10_std,chroma_11_std,chroma_12_std,chroma_std_std,delta zcr_std,delta energy_std,delta energy_entropy_std,delta spectral_centroid_std,delta spectral_spread_std,delta spectral_entropy_std,delta spectral_flux_std,delta spectral_rolloff_std,delta mfcc_1_std,delta mfcc_2_std,delta mfcc_3_std,delta mfcc_4_std,delta mfcc_5_std,delta mfcc_6_std,delta mfcc_7_std,delta mfcc_8_std,delta mfcc_9_std,delta mfcc_10_std,delta mfcc_11_std,delta mfcc_12_std,delta mfcc_13_std,delta chroma_1_std,delta chroma_2_std,delta chroma_3_std,delta chroma_4_std,delta chroma_5_std,delta chroma_6_std,delta chroma_7_std,delta chroma_8_std,delta chroma_9_std,delta chroma_10_std,delta chroma_11_std,delta chroma_12_std,delta chroma_std_std
735.8499525,49.54987642,,,,,,,37.6990838,37.81424983,0.06733693,0.051232026,726.9230769,51.32076923,0.0706,76.92307692,16.04938272,56.17283951,11.57142857,62.5,,,0.031832864,0.017996904,0.001165287,1.768796676,0.624234329,0.352914689,-4.017555521,2021/12/23 17:34,0.134323956,0.000197122,3.043361128,0.164843266,0.143536148,1.273711357,0.002860455,0.205127042,-30.04821101,1.01982127,-0.128084687,0.164660685,0.057757716,0.095213653,0.159780639,0.017248162,0.129055418,-0.024814935,-0.092483615,-0.02984184,-0.083025508,0.010346028,0.003550161,0.010923569,0.007479732,0.010207282,0.00680215,0.009662892,0.005232423,0.005059642,0.016511667,0.019005976,0.005010595,0.007771028,-0.006556261,1.74E-05,0.04225301,-0.004936467,-0.001516957,-0.073062743,0.000200615,-0.010934664,0.212269306,0.040236101,-0.064985633,-0.018910979,0.003897944,-0.013079328,-0.039689673,-0.008134717,0.002183853,-0.000206883,0.021819406,-0.008829951,-0.00984374,0.000180413,0.000151195,-0.000466756,0.000593505,-0.000181802,-7.44E-05,-0.000393143,0.00227016,0.000699954,0.001259219,0.000623797,0.000237824,0.000398229,0.065159932,0.000241948,0.467703167,0.043018167,0.012337646,0.688743806,0.002593688,0.10508836,1.425568329,0.990384619,0.418358598,0.242818198,0.236755375,0.149137743,0.214521507,0.205691025,0.182415842,0.153490711,0.146605552,0.183486098,0.171770466,0.00589291,0.001690505,0.010014317,0.00501241,0.006209881,0.008989751,0.004582562,0.010376457,0.004032308,0.020931618,0.026744603,0.004084298,0.007843901,0.024659397,0.00028124,0.500127675,0.022752595,0.016042338,0.293751264,0.002142378,0.045359776,1.347080755,0.775469601,0.332157797,0.228378152,0.198489103,0.207087442,0.21933377,0.259722277,0.245292866,0.166339489,0.178791133,0.235927488,0.192522354,0.008235257,0.002312138,0.015437464,0.005903849,0.008344784,0.010940168,0.004366511,0.010305109,0.004529247,0.01831528,0.02955026,0.005576299,0.005271599
736.693741,49.5187524,,,,,,,37.70898375,37.82587311,0.067217555,0.051186784,730.7692308,57.02307692,0.078031579,76.92307692,16.14906832,55.90062112,11.5,62.5,,,0.031493715,0.018137998,0.001206759,1.736339134,0.619485868,0.356777001,-4.009746231,2021/12/23 17:34,0.074546279,0.003547482,2.984117722,0.137191901,0.155116528,0.658155557,0.00422691,0.138520871,-28.55993718,1.677022966,-0.623072194,0.280336896,-0.161707766,0.015007231,0.155445039,-0.044045338,-0.001463939,-0.094719002,-0.171500099,-0.085666393,-0.19822506,0.022524916,0.005551814,0.021853571,0.011003261,0.012885129,0.010753913,0.011856247,0.00372971,0.007489268,0.01703682,0.040275529,0.005775336,0.014179677,0.004423775,0.001071757,0.003717985,0.004088498,0.00089385,0.046636907,-0.000106995,0.011161525,0.274260965,-0.074649826,0.016951426,0.047360413,-0.020968637,-0.016395324,0.018710632,-0.02083337,-0.011757748,-0.022024958,-0.023835527,0.009955891,0.004817696,-0.000850101,-0.00021427,0.00019863,-0.000669907,0.000168019,0.000276415,-0.000152341,-0.002006094,-0.000211923,-0.001090817,-0.000865524,1.17E-05,-0.000499751,0.039178733,0.008538971,0.493028459,0.042281267,0.017401918,0.551053592,0.001900439,0.113583299,3.011865355,0.793005146,0.413821298,0.439717342,0.250335007,0.259925595,0.165782506,0.248621616,0.223649455,0.275142541,0.22132099,0.211714882,0.159369246,0.019940721,0.005494665,0.020198907,0.012032601,0.00627105,0.007375691,0.006312121,0.003730582,0.005765582,0.010707554,0.036528864,0.005175428,0.009395642,0.028776354,0.006775395,0.748191073,0.040400445,0.025992566,0.579481058,0.001842747,0.12591806,1.835204489,0.685464498,0.507923606,0.376911957,0.300750988,0.306554885,0.220202089,0.263835508,0.219629719,0.244020872,0.175073029,0.213011667,0.213826421,0.018995763,0.008340578,0.029235917,0.017099157,0.008318707,0.012662349,0.007894542,0.011101565,0.007517632,0.016089223,0.034109165,0.007344398,0.006541627
737.4643875,49.85287545,,,,,,,37.91780011,38.03176027,0.067600384,0.051416449,730.7692308,57.02307692,0.078031579,76.92307692,16.66666667,56.17283951,11.57142857,62.5,,,0.031221872,0.018275083,0.001241861,1.708439388,0.615344907,0.360179537,-4.002216733,2021/12/23 17:34,0.06392922,0.008343679,2.884272814,0.134912618,0.168284962,0.336896515,0.007089693,0.07345735,-29.41522386,1.459488327,-1.377908004,0.100034482,-0.420825776,0.115681738,-0.164043926,-0.025671209,0.130008736,-0.160048253,-0.110073236,0.011897179,0.020931532,0.028726059,0.010079924,0.006432501,0.005234915,0.011016343,0.021355491,0.012639774,0.004472992,0.008848696,0.007442587,0.012285471,0.012213233,0.012549907,-0.002495463,-0.00037794,0.00221035,-0.002435806,-0.000318843,-0.032225991,6.87E-05,-0.009210526,-0.013355719,0.00552018,-0.005581354,-0.031935428,-0.021469616,0.025639932,-0.01522489,0.02259333,0.016521277,0.002903639,-0.00102228,-0.003321094,-0.004169222,0.000556935,0.000782347,-0.000158365,0.000515262,-0.000203048,0.000130833,-5.17E-05,-0.000401668,-0.00014261,-6.73E-06,-6.65E-06,-0.000140794,6.78E-05,0.033227988,0.014612475,0.488782089,0.045989171,0.052712471,0.280075229,0.005233444,0.053515541,6.548908981,0.962354387,0.599491875,0.335730057,0.459596956,0.317342798,0.356543877,0.295169638,0.225371084,0.236457604,0.194544032,0.180520576,0.224319983,0.027912515,0.017840508,0.005087326,0.005510254,0.010331363,0.022690095,0.015274163,0.003933574,0.009424038,0.004995816,0.009795139,0.011669649,0.008209343,0.028478869,0.015617052,0.695883083,0.042393665,0.042353259,0.222394147,0.006340552,0.040770543,3.417716121,1.021832645,0.540347049,0.441789549,0.362466538,0.310390023,0.316638577,0.397804449,0.272094716,0.223265472,0.303736652,0.220635522,0.283166118,0.027646836,0.025484648,0.005535692,0.007862447,0.013501103,0.022540025,0.011537225,0.004304691,0.011157707,0.004979248,0.014539818,0.016573923,0.007135626
737.7926421,50.36399537,,,,,,,37.84115039,37.95947101,0.068263076,0.051289683,730.7692308,57.02307692,0.078031579,76.92307692,16.77018634,55.90062112,11.5,62.5,,,0.030905083,0.01841834,0.001276582,1.677951604,0.610772327,0.363998774,-3.994408375,2021/12/23 17:34,0.075680581,0.006589107,3.018909224,0.1315899,0.149018768,0.643853564,0.005459291,0.12654265,-29.082748,0.479411232,0.14585577,0.581438985,-0.502030574,0.103006381,0.093566603,-0.140373244,0.046512302,-0.130530808,-0.324949308,-0.153213481,-0.377451598,0.02172942,0.004753682,0.027330462,0.006616546,0.005964977,0.003182001,0.0064549,0.002326524,0.003244022,0.01204271,0.033603757,0.009844698,0.014742801,0.004854809,-0.000709851,-0.006165752,0.005220445,0.00191811,0.069926724,6.69E-05,0.016016334,-0.410676262,-0.054424001,0.038026011,0.018597064,0.03475451,-0.033401899,0.012181195,0.011979745,-0.019424901,-0.009756229,0.024310383,0.023772084,0.005811374,-0.00050051,-0.000750396,0.000278648,-0.000189118,-0.000102543,-0.000121469,3.03E-06,1.85E-05,-0.000229749,-0.000297013,9.51E-05,-4.25E-05,-8.78E-05,0.031892259,0.016400798,0.200757049,0.037621571,0.030592457,0.355501964,0.00424694,0.084974705,4.034684169,0.659119647,0.458407121,0.383221972,0.399071712,0.415355454,0.193411007,0.192547515,0.263980935,0.208639016,0.270881438,0.295741701,0.316433823,0.02393431,0.003748803,0.040874101,0.008076997,0.004170313,0.00185743,0.0031597,0.001891712,0.001902329,0.007804903,0.027156853,0.007112979,0.011173535,0.029497103,0.016257559,0.288798628,0.03321139,0.0239023,0.407398681,0.005042264,0.100043993,1.970547496,0.707660717,0.499546393,0.292891302,0.523827217,0.402901703,0.254114108,0.273816731,0.288206711,0.236736945,0.255671714,0.343587493,0.268950143,0.033741668,0.005818591,0.057693045,0.011210513,0.004785613,0.002696402,0.004696892,0.002487684,0.002524999,0.011186189,0.030012536,0.011776997,0.013917359
737.6493072,50.24056393,,,,,,,38.06040823,38.17914594,0.06810901,0.051596887,730.7692308,57.02307692,0.078031579,76.92307692,17.39130435,56.52173913,11.5,62.5,,,0.030683558,0.018751811,0.00132874,1.636298382,0.604434091,0.369391119,-3.97646496,2021/12/23 17:34,0.069600726,0.002644394,3.001337632,0.102701496,0.096115784,0.705054327,0.102971838,0.105671506,-49.48722187,0.006470487,0.170963496,-0.069469879,-0.547304363,-0.214025227,-0.171269878,-0.038460215,0.004015554,-0.080226124,-0.192979641,0.00816288,-0.066367192,0.012237386,0.003689556,0.017657408,0.005587865,0.054082907,0.004512298,0.004819948,0.001362115,0.002779787,0.003602812,0.007981083,0.005238038,0.021120192,-0.005558076,-1.78E-06,-0.054632944,-0.00504919,4.58E-05,-0.073908055,0.049891975,-0.01637931,-0.070105719,0.069667065,-0.016486242,0.010298975,0.025329036,0.003029145,0.00124876,0.00141117,0.011933383,0.002876308,0.001955332,-0.050040236,0.006521617,0.00021784,-4.62E-05,-9.74E-05,0.000425965,0.001307086,-0.000147946,-1.74E-05,-1.87E-05,-0.000142745,0.000534531,0.000494071,6.31E-05,0.000259891,0.053889392,0.006122933,0.426204441,0.069389934,0.065613965,0.591271198,0.300076245,0.083899523,32.49327117,0.714525175,0.392350814,0.425078834,0.487323563,0.22323654,0.241223053,0.197458972,0.167583278,0.145684986,0.255501819,0.3363178,0.190711546,0.02306624,0.004205353,0.040160436,0.006269968,0.07391691,0.006625757,0.007522754,0.001333711,0.002855556,0.003808593,0.011588389,0.006266745,0.019414372,0.04634192,0.005500025,0.575041031,0.05601884,0.052664775,0.503299997,0.385066478,0.092345879,21.50728716,0.626803828,0.385208862,0.302165113,0.34520616,0.208377805,0.222960431,0.203360134,0.197594906,0.159132109,0.310504569,0.392974844,0.199207758,0.021962258,0.003464819,0.040473893,0.005193221,0.04759289,0.009168265,0.010314052,0.001524667,0.002778211,0.005202147,0.013405233,0.008313947,0.016657159
737.4104157,49.99627867,,,,,,,37.88510347,38.00402168,0.0677998,0.051375872,730.7692308,57.02307692,0.078031579,76.92307692,17.39130435,55.90062112,11.5,62.5,,,0.030620457,0.019131952,0.001376367,1.600487859,0.598888912,0.374191475,-3.95639547,2021/12/23 17:34,0.049047187,0.021528563,2.916710944,0.097382804,0.115507095,0.416359541,0.060113523,0.075362976,-37.82411704,1.402856647,-0.158962719,-0.158509629,-0.248755054,0.003092264,0.140913919,-0.001209276,-0.159726364,0.003362842,-0.010787821,-0.011777107,0.054721158,0.006595861,0.011240809,0.011424981,0.006544993,0.042963517,0.009997045,0.021482007,0.003380792,0.008254962,0.01951243,0.024407786,0.003612746,0.022089069,-0.003470962,-6.38E-07,0.068330296,-0.006767647,-0.009475918,-0.020861304,-0.050121208,-0.004083485,-3.327198269,-0.044574905,0.032016449,-0.027576662,-0.007392349,0.019521093,-0.008287706,-0.010943138,0.000303354,0.01133476,-0.009480343,0.025651116,0.000942311,-0.000386882,-9.10E-05,-0.000437097,-0.000891228,0.006872087,-0.000204732,-0.000247705,-9.12E-05,-0.000146357,-0.000628431,-0.000839922,-0.000203553,0.001903988,0.042542413,0.02882838,0.630440823,0.069931084,0.061292582,0.518434909,0.215810261,0.090879425,26.03930139,0.98504603,0.694216079,0.393223436,0.512129711,0.279063266,0.287948298,0.200834296,0.217131465,0.214473219,0.197493916,0.288036348,0.248721566,0.005425518,0.028276842,0.013285056,0.008202527,0.0556664,0.014143502,0.027486127,0.004905172,0.009571486,0.029550909,0.027011455,0.005681792,0.013819065,0.036171308,0.027040819,0.846582148,0.059296387,0.046103343,0.561876116,0.382803332,0.111831751,16.55459756,1.12596343,0.674032346,0.391977138,0.589960768,0.268597177,0.326092501,0.298876494,0.286251142,0.214270992,0.215516745,0.342964279,0.218390692,0.008450873,0.03291977,0.017743644,0.012004774,0.035982608,0.020691303,0.036168843,0.005340977,0.013738462,0.044033648,0.023783476,0.008604891,0.015476291
737.7018044,49.96385828,,,,,,,37.75753203,37.8753102,0.067729072,0.051182648,730.7692308,57.02307692,0.078031579,76.92307692,17.28395062,55.55555556,11.57142857,62.5,,,0.030391573,0.019455478,0.001417503,1.56210875,0.592837944,0.379511314,-3.939626593,2021/12/23 17:34,0.014972777,0.004444236,3.113748446,0.046220133,0.05489952,0.147041071,0.048788059,0.045961887,-75.10835741,0.582613496,-0.31554518,0.021658947,0.049670133,0.037982048,0.046431234,0.02405187,-0.012099011,-0.022841134,-0.026353074,0.00888478,-0.009036214,0.002807531,0.00138464,0.006946942,0.004000115,0.121479276,0.002955649,0.005671727,0.001264193,0.004098631,0.003644491,0.004414776,0.002296428,0.035170886,0.0021098,0.002483944,-0.00745455,0.003402531,0.005170438,0.006566868,0.000858999,0.002450091,3.800552898,0.084942165,-0.091288091,-0.02650558,0.055266265,-0.050259447,-0.013875566,-0.007033836,0.001872567,0.003751476,0.033529925,0.004850392,-0.012686027,9.07E-05,0.000335245,6.32E-05,5.33E-05,-0.007691965,0.000104232,0.000282737,5.59E-05,0.002567853,0.000121003,0.000356017,0.001490977,-0.001571418,0.021216468,0.013378564,0.449979557,0.086717013,0.083360621,0.37780452,0.200161922,0.118383071,32.85417314,0.893515057,0.595180519,0.308091484,0.524024594,0.447022759,0.161517171,0.239647941,0.157098395,0.107133463,0.274062053,0.047982012,0.11523203,0.005876274,0.002387716,0.012152904,0.009011932,0.064447407,0.005898882,0.011653787,0.003245572,0.011308036,0.009520198,0.008079398,0.006449173,0.015256424,0.010722861,0.008642457,0.55718285,0.10745686,0.079392916,0.49974228,0.289400082,0.159030197,11.80113142,0.363919096,0.300029557,0.362622867,0.440556264,0.335582114,0.138395752,0.264745175,0.220266528,0.166883682,0.271298631,0.063789795,0.158210378,0.004955306,0.002224476,0.008503211,0.010863576,0.02761135,0.004969716,0.009486152,0.004360197,0.009696527,0.011842462,0.00645542,0.006062702,0.006400924
737.8881988,50.12966025,,,,,,,37.53696403,37.6503721,0.067936661,0.050870801,730.7692308,57.02307692,0.078031579,76.92307692,16.77018634,54.65838509,11.5,62.5,,,0.030188518,0.019962731,0.001472003,1.512243887,0.584785287,0.386700381,-3.913888188,2021/12/23 17:34,0.052472777,0.00145671,3.117876445,0.131227097,0.167042542,0.386104193,0.005083886,0.067785844,-31.32919981,1.756418013,-0.408584821,0.408710857,0.291788695,0.102141473,-0.003866901,0.051281081,-0.020939161,0.2004512,0.129009798,-0.018109132,-0.088317921,0.012308271,0.003084685,0.018590102,0.009267376,0.038769773,0.009477369,0.035044762,0.011456794,0.009163198,0.012045809,0.028752971,0.006382282,0.016489058,0.000362976,-0.002458516,-0.00350339,0.001472644,0.002361519,-0.002079444,-0.000580631,0.000589837,-0.274553494,-0.023777454,0.01433462,0.080335603,-0.052721219,0.038647187,0.017238756,-0.007147814,-0.006736092,0.004578434,-0.008569825,-0.00412171,0.009315367,-2.39E-05,-0.00016626,5.05E-05,4.26E-06,-6.17E-06,0.00025454,4.32E-05,-2.69E-05,-0.001599563,-5.09E-05,-0.000239128,-0.000915714,-0.000448559,0.014529881,0.004527813,0.139150849,0.034920214,0.040949651,0.218493311,0.005752706,0.025536203,2.892550299,0.450961902,0.824415573,0.37097526,0.263892734,0.343619464,0.209948324,0.247959058,0.215754421,0.132791373,0.248106474,0.15528416,0.142348188,0.010400001,0.002442351,0.014088784,0.008541189,0.023976843,0.009580056,0.021472979,0.01792642,0.011272499,0.010023059,0.017155149,0.003936627,0.005876159,0.013719026,0.006947182,0.150598242,0.023024439,0.032904693,0.229261931,0.00483448,0.030332531,1.333472199,0.502891994,0.498100485,0.242286377,0.248080735,0.347593613,0.283610913,0.299621384,0.220762167,0.188959119,0.293018955,0.20890007,0.184809821,0.01487058,0.002660117,0.01499429,0.008868426,0.021039268,0.011878602,0.025603407,0.015716113,0.018618879,0.012817926,0.018293292,0.007682849,0.00498225
737.7018044,50.08875123,,,,,,,37.88871088,38.00692867,0.067898372,0.051360469,730.7692308,57.02307692,0.078031579,76.92307692,17.28395062,55.55555556,11.57142857,62.5,,,0.029852962,0.020287573,0.001505396,1.471490076,0.578031253,0.392820355,-3.897746749,2021/12/23 17:34,0.042196007,0.01333346,3.072919192,0.109543557,0.144337526,0.266017826,0.053794802,0.076088929,-35.56548083,1.628205973,-0.529936736,0.267866553,-0.06705073,0.153959272,-0.041944333,0.032860726,0.065509018,-0.189443451,0.079468308,-0.079774557,-0.034336661,0.0053093,0.002539858,0.008665017,0.01858283,0.031885955,0.00533569,0.012736995,0.001044118,0.014989482,0.024826599,0.015998497,0.004322493,0.018372396,-0.002472777,-2.54E-05,0.01095794,-0.004875174,-0.007531956,-0.004487424,-0.000278368,-0.003039927,-3.525999404,-0.061164711,0.076953471,-0.053830023,-0.002545045,0.01161226,-0.00336319,0.014181651,0.004863525,-0.00832991,-0.0249601,-0.000728682,0.00337066,-6.68E-05,-0.000168985,-0.000113773,-5.75E-05,0.007698137,-0.000358772,-0.000325973,-2.90E-05,-0.00096829,-7.01E-05,-0.000116889,-0.000575263,0.002019976,0.024518546,0.02572175,0.313526616,0.077332337,0.061584135,0.443859206,0.200653932,0.109650373,21.89481094,1.026026737,0.498953155,0.46131095,0.365932809,0.350488395,0.417233149,0.271879011,0.220753329,0.182825625,0.231748349,0.1602832,0.23325782,0.006425748,0.003359352,0.006779812,0.021259873,0.049675055,0.0074184,0.016612928,0.001069639,0.019925273,0.026901323,0.017321561,0.004541604,0.011476275,0.026989497,0.019521161,0.481049449,0.107698424,0.073133281,0.602200989,0.2922568,0.159346558,11.565062,0.62523487,0.301262238,0.303268613,0.348743531,0.371964273,0.344105677,0.327789045,0.221958949,0.258715323,0.27631222,0.194449009,0.252811696,0.008881707,0.004554835,0.005303548,0.019481352,0.028565557,0.009818737,0.024180021,0.001441725,0.026229934,0.030747274,0.019965783,0.006833547,0.010415999
738.0315337,50.0905131,,,,,,,38.02638449,38.14565493,0.067870424,0.051524065,730.7692308,57.02307692,0.078031579,76.92307692,17.39130435,56.52173913,11.5,62.5,,,0.029440342,0.020567154,0.00153133,1.431425152,0.571226475,0.399061365,-3.884059933,2021/12/23 17:34,0.040335753,0.004321578,3.1082879,0.092525399,0.113464742,0.292935566,0.04156294,0.051270417,-50.19977384,1.260393205,-0.231988524,0.052659148,0.001442882,0.126132894,-0.115830989,-0.162240125,0.024236641,0.089458404,0.062430788,0.114416991,-0.071988716,0.004884337,0.002641146,0.00633924,0.005501159,0.075849748,0.004502108,0.014613206,0.015283842,0.006763268,0.007314059,0.016832557,0.007909,0.025209381,0.002790381,0.001319372,-0.040027227,0.005052721,0.006531435,0.028742829,0.000310984,0.005580762,3.840290205,0.044590246,-0.013906861,-0.02041041,-0.01451673,0.025683173,-0.017991576,-0.035217975,-0.001491316,-3.88E-05,-0.013020476,0.023348588,-0.031197561,0.000369404,6.03E-05,0.000380417,0.000173319,-0.008215202,0.000220665,0.000833024,0.003079434,0.000540043,0.000586416,0.000788971,0.000363988,-0.001526485,0.040044504,0.008144313,0.311263241,0.085908975,0.084308584,0.388161114,0.158105874,0.051701447,32.49227005,1.224660118,0.562193605,0.463708672,0.415157887,0.260063392,0.168059666,0.230742709,0.156309558,0.106125667,0.160434687,0.174732949,0.204175039,0.005466442,0.004139696,0.006353783,0.005884205,0.069816401,0.005858267,0.01278096,0.02507722,0.009611864,0.008136889,0.020900333,0.013509182,0.016354228,0.035711659,0.007526176,0.426404565,0.100873602,0.073665093,0.241896275,0.226784944,0.031003788,11.0697509,0.663729957,0.384159478,0.527504053,0.308794147,0.246109276,0.20024785,0.211901965,0.231943577,0.121695463,0.110246997,0.207257858,0.184340969,0.005408767,0.005499836,0.007245367,0.005681337,0.037411827,0.006128874,0.011625708,0.02829994,0.009393609,0.007087802,0.019684954,0.014907971,0.009108946
