Time,ECG
2021-12-23 17:42:30.365594,-59
2021-12-23 17:42:30.365608,-52
2021-12-23 17:42:30.365613,-47
2021-12-23 17:42:30.365618,-47
2021-12-23 17:42:30.365622,-52
2021-12-23 17:42:30.365627,-54
2021-12-23 17:42:30.365632,-42
2021-12-23 17:42:30.365637,-33
2021-12-23 17:42:30.365645,-30
2021-12-23 17:42:30.365650,-33
2021-12-23 17:42:30.365654,-33
2021-12-23 17:42:30.365658,-30
2021-12-23 17:42:30.365663,-26
2021-12-23 17:42:30.365667,-23
2021-12-23 17:42:30.365672,-21
2021-12-23 17:42:30.365676,-16
2021-12-23 17:42:30.365681,-14
2021-12-23 17:42:30.365685,-11
2021-12-23 17:42:30.365690,-9
2021-12-23 17:42:30.365707,-2
2021-12-23 17:42:30.365711,-2
2021-12-23 17:42:30.365716,-4
2021-12-23 17:42:30.365720,7
2021-12-23 17:42:30.365724,19
2021-12-23 17:42:30.365728,16
2021-12-23 17:42:30.365732,9
2021-12-23 17:42:30.365737,11
2021-12-23 17:42:30.365741,14
2021-12-23 17:42:30.365745,11
2021-12-23 17:42:30.365749,7
2021-12-23 17:42:30.469416,7
2021-12-23 17:42:30.469446,9
2021-12-23 17:42:30.469458,14
2021-12-23 17:42:30.469468,28
2021-12-23 17:42:30.469478,38
2021-12-23 17:42:30.469488,45
2021-12-23 17:42:30.469499,57
2021-12-23 17:42:30.469508,42
2021-12-23 17:42:30.469518,16
2021-12-23 17:42:30.469528,11
2021-12-23 17:42:30.469537,16
2021-12-23 17:42:30.469547,11
2021-12-23 17:42:30.469557,16
2021-12-23 17:42:30.469566,26
2021-12-23 17:42:30.469576,21
2021-12-23 17:42:30.469586,-9
2021-12-23 17:42:30.469595,-11
2021-12-23 17:42:30.469606,199
2021-12-23 17:42:30.469616,857
2021-12-23 17:42:30.469626,1805
2021-12-23 17:42:30.469636,2407
2021-12-23 17:42:30.469645,1920
2021-12-23 17:42:30.469655,365
2021-12-23 17:42:30.469664,-617
2021-12-23 17:42:30.469674,-175
2021-12-23 17:42:30.469684,161
2021-12-23 17:42:30.469693,-147
2021-12-23 17:42:30.469703,-173
2021-12-23 17:42:30.469712,-19
2021-12-23 17:42:30.469725,-73
2021-12-23 17:42:30.694212,-99
2021-12-23 17:42:30.694243,-28
2021-12-23 17:42:30.694255,-14
2021-12-23 17:42:30.694266,-21
2021-12-23 17:42:30.694275,9
2021-12-23 17:42:30.694285,35
2021-12-23 17:42:30.694295,52
2021-12-23 17:42:30.694305,76
2021-12-23 17:42:30.694314,97
2021-12-23 17:42:30.694324,116
2021-12-23 17:42:30.694334,147
2021-12-23 17:42:30.694343,185
2021-12-23 17:42:30.694353,218
2021-12-23 17:42:30.694369,259
2021-12-23 17:42:30.694378,301
2021-12-23 17:42:30.694388,339
2021-12-23 17:42:30.694398,375
2021-12-23 17:42:30.694407,413
2021-12-23 17:42:30.694417,449
2021-12-23 17:42:30.694427,480
2021-12-23 17:42:30.694436,487
2021-12-23 17:42:30.694446,463
2021-12-23 17:42:30.694456,427
2021-12-23 17:42:30.694465,373
2021-12-23 17:42:30.694475,289
2021-12-23 17:42:30.694484,180
2021-12-23 17:42:30.694494,73
2021-12-23 17:42:30.694504,-14
2021-12-23 17:42:30.694513,-92
2021-12-23 17:42:30.694525,-156
2021-12-23 17:42:30.919176,-197
2021-12-23 17:42:30.919199,-225
2021-12-23 17:42:30.919207,-244
2021-12-23 17:42:30.919214,-251
2021-12-23 17:42:30.919220,-242
2021-12-23 17:42:30.919226,-225
2021-12-23 17:42:30.919233,-220
2021-12-23 17:42:30.919239,-223
2021-12-23 17:42:30.919245,-218
2021-12-23 17:42:30.919252,-206
2021-12-23 17:42:30.919258,-192
2021-12-23 17:42:30.919264,-171
2021-12-23 17:42:30.919271,-156
2021-12-23 17:42:30.919277,-154
2021-12-23 17:42:30.919284,-149
2021-12-23 17:42:30.919290,-142
2021-12-23 17:42:30.919296,-140
2021-12-23 17:42:30.919308,-137
2021-12-23 17:42:30.919314,-133
2021-12-23 17:42:30.919320,-130
2021-12-23 17:42:30.919327,-125
2021-12-23 17:42:30.919333,-118
2021-12-23 17:42:30.919340,-114
2021-12-23 17:42:30.919346,-116
2021-12-23 17:42:30.919353,-118
2021-12-23 17:42:30.919359,-116
2021-12-23 17:42:30.919365,-106
2021-12-23 17:42:30.919372,-106
2021-12-23 17:42:30.919378,-111
2021-12-23 17:42:30.919384,-104
