Time,ECG
2021-12-24 14:54:06.341384,-414
2021-12-24 14:54:06.341405,106
2021-12-24 14:54:06.341414,54
2021-12-24 14:54:06.341421,2
2021-12-24 14:54:06.341427,108
2021-12-24 14:54:06.341434,101
2021-12-24 14:54:06.341441,63
2021-12-24 14:54:06.341447,92
2021-12-24 14:54:06.341454,99
2021-12-24 14:54:06.341461,82
2021-12-24 14:54:06.341467,87
2021-12-24 14:54:06.341474,99
2021-12-24 14:54:06.341480,92
2021-12-24 14:54:06.341487,89
2021-12-24 14:54:06.341493,94
2021-12-24 14:54:06.341500,94
2021-12-24 14:54:06.341506,99
2021-12-24 14:54:06.341513,111
2021-12-24 14:54:06.341520,120
2021-12-24 14:54:06.341526,130
2021-12-24 14:54:06.341533,142
2021-12-24 14:54:06.341539,139
2021-12-24 14:54:06.341546,134
2021-12-24 14:54:06.341552,139
2021-12-24 14:54:06.341559,151
2021-12-24 14:54:06.341565,144
2021-12-24 14:54:06.341573,127
2021-12-24 14:54:06.341580,125
2021-12-24 14:54:06.341586,116
2021-12-24 14:54:06.341593,99
2021-12-24 14:54:06.521572,94
2021-12-24 14:54:06.521603,80
2021-12-24 14:54:06.521615,59
2021-12-24 14:54:06.521625,42
2021-12-24 14:54:06.521635,35
2021-12-24 14:54:06.521645,33
2021-12-24 14:54:06.521656,33
2021-12-24 14:54:06.521666,33
2021-12-24 14:54:06.521676,28
2021-12-24 14:54:06.521686,23
2021-12-24 14:54:06.521696,28
2021-12-24 14:54:06.521706,37
2021-12-24 14:54:06.521716,42
2021-12-24 14:54:06.521726,44
2021-12-24 14:54:06.521735,44
2021-12-24 14:54:06.521745,44
2021-12-24 14:54:06.521755,49
2021-12-24 14:54:06.521768,54
2021-12-24 14:54:06.521778,54
2021-12-24 14:54:06.521788,59
2021-12-24 14:54:06.521798,63
2021-12-24 14:54:06.521808,63
2021-12-24 14:54:06.521818,59
2021-12-24 14:54:06.521828,56
2021-12-24 14:54:06.521838,61
2021-12-24 14:54:06.521848,71
2021-12-24 14:54:06.521858,78
2021-12-24 14:54:06.521868,89
2021-12-24 14:54:06.521878,99
2021-12-24 14:54:06.521891,85
2021-12-24 14:54:06.791624,54
2021-12-24 14:54:06.791654,35
2021-12-24 14:54:06.791666,40
2021-12-24 14:54:06.791676,33
2021-12-24 14:54:06.791686,23
2021-12-24 14:54:06.791696,30
2021-12-24 14:54:06.791706,33
2021-12-24 14:54:06.791716,26
2021-12-24 14:54:06.791726,23
2021-12-24 14:54:06.791736,21
2021-12-24 14:54:06.791746,18
2021-12-24 14:54:06.791755,63
2021-12-24 14:54:06.791765,203
2021-12-24 14:54:06.791781,400
2021-12-24 14:54:06.791791,483
2021-12-24 14:54:06.791801,144
2021-12-24 14:54:06.791811,-589
2021-12-24 14:54:06.791821,-866
2021-12-24 14:54:06.791831,-322
2021-12-24 14:54:06.791841,89
2021-12-24 14:54:06.791851,2
2021-12-24 14:54:06.791861,-16
2021-12-24 14:54:06.791870,73
2021-12-24 14:54:06.791880,54
2021-12-24 14:54:06.791890,33
