HRV_MeanNN,HRV_SDNN,HRV_SDANN1,HRV_SDNNI1,HRV_SDANN2,HRV_SDNNI2,HRV_SDANN5,HRV_SDNNI5,HRV_RMSSD,HRV_SDSD,HRV_CVNN,HRV_CVSD,HRV_MedianNN,HRV_MadNN,HRV_MCVNN,HRV_IQRNN,HRV_pNN50,HRV_pNN20,HRV_HTI,HRV_TINN,HRV_ULF,HRV_VLF,HRV_LF,HRV_HF,HRV_VHF,HRV_LFHF,HRV_LFn,HRV_HFn,HRV_LnHF,Time,zcr_mean,energy_mean,energy_entropy_mean,spectral_centroid_mean,spectral_spread_mean,spectral_entropy_mean,spectral_flux_mean,spectral_rolloff_mean,mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,mfcc_6_mean,mfcc_7_mean,mfcc_8_mean,mfcc_9_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_13_mean,chroma_1_mean,chroma_2_mean,chroma_3_mean,chroma_4_mean,chroma_5_mean,chroma_6_mean,chroma_7_mean,chroma_8_mean,chroma_9_mean,chroma_10_mean,chroma_11_mean,chroma_12_mean,chroma_std_mean,delta zcr_mean,delta energy_mean,delta energy_entropy_mean,delta spectral_centroid_mean,delta spectral_spread_mean,delta spectral_entropy_mean,delta spectral_flux_mean,delta spectral_rolloff_mean,delta mfcc_1_mean,delta mfcc_2_mean,delta mfcc_3_mean,delta mfcc_4_mean,delta mfcc_5_mean,delta mfcc_6_mean,delta mfcc_7_mean,delta mfcc_8_mean,delta mfcc_9_mean,delta mfcc_10_mean,delta mfcc_11_mean,delta mfcc_12_mean,delta mfcc_13_mean,delta chroma_1_mean,delta chroma_2_mean,delta chroma_3_mean,delta chroma_4_mean,delta chroma_5_mean,delta chroma_6_mean,delta chroma_7_mean,delta chroma_8_mean,delta chroma_9_mean,delta chroma_10_mean,delta chroma_11_mean,delta chroma_12_mean,delta chroma_std_mean,zcr_std,energy_std,energy_entropy_std,spectral_centroid_std,spectral_spread_std,spectral_entropy_std,spectral_flux_std,spectral_rolloff_std,mfcc_1_std,mfcc_2_std,mfcc_3_std,mfcc_4_std,mfcc_5_std,mfcc_6_std,mfcc_7_std,mfcc_8_std,mfcc_9_std,mfcc_10_std,mfcc_11_std,mfcc_12_std,mfcc_13_std,chroma_1_std,chroma_2_std,chroma_3_std,chroma_4_std,chroma_5_std,chroma_6_std,chroma_7_std,chroma_8_std,chroma_9_std,chroma_10_std,chroma_11_std,chroma_12_std,chroma_std_std,delta zcr_std,delta energy_std,delta energy_entropy_std,delta spectral_centroid_std,delta spectral_spread_std,delta spectral_entropy_std,delta spectral_flux_std,delta spectral_rolloff_std,delta mfcc_1_std,delta mfcc_2_std,delta mfcc_3_std,delta mfcc_4_std,delta mfcc_5_std,delta mfcc_6_std,delta mfcc_7_std,delta mfcc_8_std,delta mfcc_9_std,delta mfcc_10_std,delta mfcc_11_std,delta mfcc_12_std,delta mfcc_13_std,delta chroma_1_std,delta chroma_2_std,delta chroma_3_std,delta chroma_4_std,delta chroma_5_std,delta chroma_6_std,delta chroma_7_std,delta chroma_8_std,delta chroma_9_std,delta chroma_10_std,delta chroma_11_std,delta chroma_12_std,delta chroma_std_std
649.0802676,55.16422442,,,,,,,33.92306596,34.0158985,0.084988294,0.052263283,646.1538462,57.02307692,0.08825,76.92307692,12.5,55.97826087,13.14285714,132.8125,,,0.040066568,0.030815175,0.000609055,1.300221998,0.560443713,0.431036941,-3.479748031,2021/12/24 14:51,0.067990018,0.002262582,3.155053614,0.127801051,0.146607391,0.617064222,0.010257112,0.113974592,-27.52234889,1.436344185,-0.103031933,-0.821963165,-0.237209395,-0.014199147,-0.090671167,-0.151544348,-0.132820016,-0.483438434,-0.593831855,-0.433802327,-0.128467511,0.009445413,0.003769407,0.037845856,0.074166627,0.017807253,0.003677689,0.002984805,0.002152296,0.002544279,0.018914519,0.008914125,0.008558206,0.028382452,-0.000771325,8.60E-05,0.043516445,0.001738952,0.00339472,-0.010534091,0.000363481,-0.000816697,0.096682469,-0.007850653,-0.031562674,-0.015611911,-0.05898801,-0.001714036,0.039813217,0.004339355,0.045967247,0.001194532,0.027212496,0.042722006,0.031440879,0.000480655,0.000213382,-0.00163112,-0.001353419,0.000586555,0.000266205,5.59E-05,3.48E-05,-4.16E-05,-0.000542057,-2.16E-06,0.000381567,-0.000382667,0.059246287,0.002021767,0.214939409,0.046779155,0.029442906,0.540998667,0.007257121,0.086070386,1.052018771,0.604932092,0.620122963,0.474228808,0.513959343,0.363862463,0.417493069,0.29133738,0.292119415,0.369401879,0.361569011,0.319496142,0.493361369,0.02116244,0.00494927,0.036821333,0.06364426,0.016721304,0.002560316,0.001974205,0.004092316,0.00260439,0.032552366,0.01810175,0.01708256,0.015006982,0.077431908,0.002273842,0.202703997,0.063685752,0.038848482,0.698870964,0.010666689,0.114142193,1.257048121,0.716682245,0.545031259,0.395827404,0.458744666,0.480529141,0.380410455,0.327698652,0.287501718,0.377144979,0.323226895,0.302931576,0.421822342,0.028489444,0.00612951,0.040335755,0.074783546,0.013634551,0.002709842,0.00240536,0.00598553,0.003545984,0.034515509,0.019735031,0.014082551,0.018494964
648.4531773,55.76233751,,,,,,,33.85150326,33.94060591,0.085992851,0.052203466,646.1538462,57.02307692,0.08825,76.92307692,12.5,55.43478261,13.14285714,132.8125,,,0.037953135,0.03002351,0.00057648,1.264113829,0.55363099,0.43795976,-3.505774524,2021/12/24 14:51,0.077245917,0.001216699,3.070562484,0.133553594,0.14243521,0.554693448,0.00903848,0.10508167,-28.82561663,0.912992633,-0.610952453,-0.668775746,-0.552638905,-0.003058343,-0.115547877,-0.329231491,-0.078806727,-0.227118571,-0.191409233,-0.209514755,-0.52309989,0.031274633,0.014153873,0.01700859,0.009635292,0.007019013,0.024202471,0.01100067,0.009318001,0.0017043,0.003333768,0.019408044,0.02766188,0.022392608,0.00850726,-8.50E-05,0.002148721,0.005318329,-0.001499392,0.051099114,-1.73E-05,0.009346642,-0.188947525,-0.026060857,0.027841097,0.039688145,0.037286512,-0.007893531,0.010674618,-0.002526216,-0.047750575,0.024461054,-0.013948903,-0.023300904,-0.021098146,-0.000560769,-0.000346589,-0.000373036,-0.000912645,-0.001317361,0.000317081,3.38E-05,-8.83E-05,9.29E-06,-0.00027332,-6.38E-05,-0.000452402,-0.000189487,0.0518535,0.001217771,0.293244758,0.045410677,0.027011424,0.458582004,0.003701648,0.082863129,2.051689952,0.793642702,0.793662247,0.643241222,0.385969501,0.508074372,0.290297732,0.334903146,0.353301633,0.324146218,0.244663114,0.269792516,0.312737113,0.036056347,0.032677804,0.022582842,0.018792582,0.014170159,0.030825376,0.011962855,0.026371517,0.001321067,0.004410722,0.023751347,0.031139381,0.010882722,0.066368606,0.001124859,0.375356701,0.057061506,0.033106791,0.632550272,0.004028873,0.115568625,1.578615585,0.910258222,0.683217597,0.824207518,0.459676506,0.516655229,0.347620803,0.351327981,0.343185027,0.406688816,0.270234993,0.293243151,0.291987716,0.043844077,0.047118178,0.02540421,0.026544528,0.018553679,0.036585865,0.01183539,0.037979686,0.00169193,0.005763539,0.023868448,0.04330809,0.016087415
647.9613283,55.86394492,,,,,,,34.02091209,34.11097185,0.086214937,0.052504541,646.1538462,57.02307692,0.08825,76.92307692,12.56830601,55.73770492,13.07142857,132.8125,,,0.035983438,0.029239193,0.000550094,1.230657709,0.547087537,0.444548905,-3.532245238,2021/12/24 14:51,0.070825771,0.000439333,3.032750532,0.139934679,0.160789252,0.584133383,0.007123852,0.09800363,-30.06090884,1.361721574,-0.273874561,-0.71205903,-0.490306431,0.099750049,-0.100803648,-0.342123986,-0.18910634,-0.253568254,-0.20282453,-0.035782682,-0.39543258,0.028569055,0.003818948,0.013660272,0.01019675,0.020051668,0.020764574,0.019683238,0.003324654,0.003139584,0.007087896,0.022444475,0.015755185,0.017695741,-0.00553539,-2.35E-05,-0.002273504,-0.003060299,0.001208599,-0.005300339,-2.65E-05,-0.006261343,-0.18326033,0.011796325,0.044853117,-0.011460407,-0.009416781,0.01646137,-0.033286508,0.000618996,-0.012886849,-0.014444563,-0.021391578,-0.002746249,-0.005482503,0.000608141,2.25E-05,0.00137308,0.000772092,0.000190247,-0.000269595,0.000286637,0.000167524,-7.91E-05,0.000110749,0.001454364,8.94E-05,0.000301186,0.061836446,0.000487725,0.245119852,0.043475943,0.023350002,0.545823789,0.004249147,0.096186608,1.828984816,0.772337072,0.728673134,0.35096233,0.333759556,0.275288396,0.296972486,0.172596928,0.294715728,0.238432403,0.237543094,0.275686416,0.250343704,0.022382133,0.005147579,0.013642386,0.011608349,0.040499214,0.035109647,0.016382239,0.004644847,0.003348222,0.007454381,0.02183697,0.016125337,0.011345709,0.062279747,0.000455409,0.333084381,0.051390931,0.035226749,0.53850527,0.005075345,0.098707269,1.524452807,0.965683878,0.384260923,0.539498238,0.48375848,0.350773183,0.274126277,0.215667867,0.322938576,0.28580396,0.257023034,0.248563881,0.23085267,0.027181564,0.007374012,0.015582716,0.016543401,0.04286175,0.038353338,0.022756392,0.005105866,0.00363905,0.007267756,0.022451252,0.015929109,0.014125122
648.4237074,56.70489352,,,,,,,36.1746132,36.26546632,0.087450371,0.055788542,646.1538462,57.02307692,0.08825,76.92307692,12.56830601,55.73770492,13.07142857,132.8125,,,0.033616417,0.028132718,0.000520315,1.194922481,0.539854086,0.451790049,-3.570822041,2021/12/24 14:51,0.105490018,5.84E-05,3.089436672,0.186587346,0.194689689,0.978356741,0.002038622,0.145825771,-34.29745277,0.749646899,-0.217598327,0.050564784,-0.701970372,0.054364936,-0.180033259,-0.195392035,-0.076984836,-0.092596871,-0.272922084,-0.073187296,-0.232861537,0.023378836,0.007392895,0.010955707,0.011984171,0.010649702,0.00618094,0.009769093,0.003664268,0.011370106,0.009536862,0.012940213,0.008613342,0.007664109,0.000544465,-2.29E-07,0.005138466,0.001650204,0.002245365,-0.019726032,-0.000189901,-0.000998185,-0.094246597,0.010820653,-0.039817139,0.02542962,-0.012613498,-0.011472783,0.012455949,0.003538499,0.030946278,0.003542956,0.011037018,-0.004690388,0.003921382,7.24E-05,0.001291466,-0.000491635,-0.000500716,0.000117905,0.000119323,-0.00023702,-8.59E-05,0.000444682,0.000169898,-0.000907601,7.07E-05,-0.000133034,0.014018789,0.000236263,0.518229566,0.014978788,0.025070866,0.271631669,0.000449588,0.044169266,1.754569508,0.605127253,0.364010069,0.264157503,0.227610902,0.182626662,0.166853727,0.160749277,0.210276313,0.144100101,0.14974053,0.154148917,0.113444247,0.022131363,0.005677083,0.008318638,0.007125744,0.005810694,0.005122686,0.00608167,0.002895076,0.007326613,0.005215455,0.006366268,0.004837614,0.005457158,0.019022527,0.000338197,0.747219865,0.011695099,0.025080897,0.311442729,0.000970417,0.057372882,1.678620851,0.7547557,0.323793247,0.318763788,0.326481073,0.225390848,0.2547479,0.215049331,0.21942817,0.174841108,0.224616346,0.242732301,0.1452234,0.023565735,0.005758205,0.013843037,0.01010417,0.007587774,0.00807734,0.008384428,0.004267531,0.007871291,0.006216297,0.010283841,0.00590462,0.006509357
649.9789828,58.35418758,,,,,,,36.03503797,36.13086587,0.089778576,0.055440313,646.1538462,57.02307692,0.08825,76.92307692,12.56830601,55.73770492,13.07142857,132.8125,,,0.032019484,0.027793581,0.000505384,1.152045995,0.530840639,0.460780769,-3.582950177,2021/12/24 14:51,0.106510889,5.67E-06,3.071171018,0.180059148,0.185933474,1.135878513,0.001833283,0.154491833,-34.18946571,0.408186793,-0.249516486,-0.097031054,-0.62370756,0.036191223,-0.433341994,-0.054880113,-0.213420125,-0.082497991,-0.215621985,0.044438322,-0.201754838,0.011267879,0.006953091,0.008246696,0.010361008,0.012095414,0.010398771,0.01033392,0.004004112,0.006428071,0.008391796,0.008309295,0.005430801,0.004900691,-0.000544465,1.57E-08,-0.003968144,-0.000980563,-0.000519872,-0.003055037,-2.79E-05,-0.000408348,0.01542044,0.024578047,0.021403638,-0.014914295,0.000579948,-0.01615042,-0.010013237,0.002766506,-0.021651216,0.002094824,0.001128781,0.013526999,0.013466492,2.93E-05,-0.001345007,0.000260471,0.000960934,-0.00011528,0.001472463,0.001089756,-8.19E-05,-0.000467886,0.000350577,-0.00039696,5.75E-05,0.000270717,0.011168231,9.96E-06,0.429128898,0.010424995,0.019108647,0.263803158,0.000319556,0.044835186,0.967179786,0.491304787,0.271040064,0.169571539,0.266455889,0.130668032,0.207205962,0.195895698,0.156459318,0.162558434,0.16363694,0.131310081,0.159890988,0.00656624,0.005706493,0.005303441,0.006137499,0.006106696,0.00869556,0.006343049,0.002072526,0.00409265,0.003440387,0.003478922,0.00277699,0.002413579,0.01562644,1.44E-05,0.590540213,0.009743596,0.020505476,0.316642895,0.000495338,0.052468201,1.169640406,0.562302301,0.394441313,0.239855641,0.297075753,0.130770111,0.19785415,0.200459773,0.22229476,0.232135416,0.291289578,0.179536016,0.165623118,0.009415638,0.009118549,0.006025425,0.00822398,0.00840303,0.009535786,0.007693483,0.00308074,0.004853578,0.004588514,0.004661738,0.004345444,0.002937478
650.0210172,58.37646921,,,,,,,36.55903234,36.65986053,0.089807049,0.056242847,646.1538462,57.02307692,0.08825,76.92307692,13.1147541,56.28415301,13.07142857,132.8125,,,0.030070739,0.026841232,0.000483512,1.120318877,0.523921696,0.467654082,-3.617816048,2021/12/24 14:51,0.103901996,3.55E-06,3.092775061,0.195155317,0.207980929,0.914165418,0.001885024,0.132667877,-35.10413163,0.86278228,-0.325162533,0.077653335,-0.614661496,-0.049675263,-0.251865621,-0.119709162,-0.076479253,-0.144404269,-0.183636364,-0.142646148,-0.254483116,0.020699852,0.00887353,0.009680136,0.017149837,0.012421624,0.012129384,0.008744762,0.004017162,0.008473355,0.010825839,0.012586079,0.011223343,0.007697439,-0.000431034,2.12E-06,-0.134645259,-0.000328183,-0.003687305,0.047870402,5.78E-05,0.005353902,0.184310534,-0.119108433,-0.021203697,-0.017582139,0.033303965,0.009688766,0.005141577,0.013858007,-0.009590351,0.012772688,0.002887272,-0.018917786,-0.013489978,-0.000722851,9.18E-05,-0.000997749,-0.000996099,7.25E-05,-0.001799065,-0.001138547,0.000150863,0.00022252,-0.000453136,-9.73E-05,-0.000260207,-0.000534036,0.011474734,9.30E-06,0.598428593,0.008227287,0.020609,0.291715469,0.000403413,0.040549111,0.931182551,0.563461231,0.160553273,0.213464883,0.163641821,0.153568775,0.162015868,0.217452738,0.197057097,0.121712422,0.155058901,0.192999468,0.124494385,0.013166026,0.00529693,0.004223548,0.012533611,0.005806939,0.006866537,0.003795849,0.001839738,0.004263779,0.00676493,0.009352982,0.008771243,0.0030344,0.013318436,9.38E-06,0.602774134,0.009631252,0.022781001,0.364446457,0.000478698,0.053313917,0.979436752,0.65647822,0.241115241,0.25936788,0.24102447,0.24437101,0.243794825,0.25149987,0.21018089,0.200214687,0.246529683,0.226769282,0.170253388,0.018002657,0.007987332,0.006502717,0.017465796,0.006677955,0.008451547,0.007442726,0.003382366,0.005428591,0.008748734,0.013817865,0.013731649,0.004692012
650,58.18967339,,,,,,,36.52988771,36.6295008,0.089522574,0.056199827,646.1538462,57.02307692,0.08825,76.92307692,13.04347826,56.52173913,13.14285714,132.8125,,,0.028320036,0.025893571,0.000463678,1.093709203,0.517948846,0.473570895,-3.653760583,2021/12/24 14:51,0.097118875,1.19E-05,3.078821934,0.166903002,0.184577995,0.738111092,0.003139732,0.125408348,-33.87370644,0.531134378,-0.595098981,0.241188393,-0.569129498,0.217487283,-0.543544601,-0.109004543,-0.116105728,-0.149862088,0.014709605,-0.041497495,-0.134887057,0.013579939,0.010955822,0.007307464,0.009400666,0.009059841,0.008888388,0.006825509,0.004001357,0.007353835,0.010834978,0.008052227,0.009913204,0.006892633,-0.000930127,-1.97E-07,0.114995723,-0.002435221,0.001209984,-0.068471454,8.05E-05,-0.006624319,-0.060403981,0.034655444,-0.010931025,0.020411024,-0.036351052,0.040606316,-0.044752457,-0.015212978,0.018850093,-0.032989633,0.016700392,0.017003156,-0.002113552,0.001944204,2.06E-05,-0.00012692,-0.000106598,-0.00020833,5.14E-06,-0.000121405,-0.00015739,-0.000230275,-0.000179412,3.66E-05,-3.95E-05,0.000459866,0.017319692,1.66E-05,0.236822109,0.030578301,0.022412813,0.295142191,0.001609,0.037487969,1.122719016,0.552077241,0.550525692,0.348525983,0.17468061,0.232908882,0.332793879,0.155819413,0.128946428,0.187490366,0.205999044,0.114221039,0.131958195,0.011062374,0.0097746,0.004666177,0.007085261,0.006708777,0.007984691,0.005262387,0.003660602,0.005914148,0.007592832,0.006008903,0.009802655,0.002501127,0.012591439,2.06E-05,0.646152258,0.01750013,0.020435536,0.239088718,0.001369874,0.025918682,1.002208293,0.617408798,0.42231396,0.384733941,0.186562513,0.239239202,0.183735999,0.182199795,0.189379186,0.246525349,0.22339871,0.175485979,0.184714878,0.016115252,0.012664217,0.005176478,0.007561948,0.00787587,0.009408051,0.005278548,0.004971059,0.008138904,0.009125479,0.007567503,0.013140553,0.003810567
649.9369483,58.56549047,,,,,,,37.01418739,37.11387587,0.090109495,0.056950428,646.1538462,57.02307692,0.08825,76.92307692,13.66120219,56.83060109,13.07142857,132.8125,,,0.026626103,0.024781283,0.000442355,1.074444059,0.513524311,0.477944204,-3.697666613,2021/12/24 14:51,0.105240472,6.92E-06,3.157375288,0.190439429,0.20162818,0.900055502,0.002414211,0.140471869,-34.65585794,0.913655157,-0.208233642,0.00303988,-0.666823716,0.056281933,-0.385782002,-0.188520496,-0.130055816,-0.225743707,-0.108518804,-0.014752909,-0.151714276,0.012825205,0.008065444,0.008245294,0.016223067,0.021375336,0.020594056,0.011160925,0.003342531,0.009671682,0.00856283,0.008456074,0.009010876,0.009529468,0.00142922,-1.92E-06,0.023159639,0.00327491,0.002308843,0.027008918,-0.000137581,0.002087114,-0.12198087,0.072836778,0.017151581,0.003200823,0.005816363,-0.040416428,0.029871361,-0.005317964,0.008932791,0.024297573,-0.007104981,0.002664982,0.008733306,-0.00126275,0.000884971,0.000166258,0.000829356,0.000572508,0.000163997,0.000292502,-1.28E-05,0.000734667,0.000531275,3.72E-05,0.000310804,-0.00023029,0.034514825,1.61E-05,0.207711236,0.021931637,0.014883805,0.463854422,0.001031558,0.076862236,0.809398461,0.693407566,0.32913423,0.160740265,0.185273345,0.26464143,0.186949433,0.190910105,0.176240755,0.112866435,0.127724068,0.140066822,0.143362691,0.009090124,0.00707978,0.003891911,0.011367909,0.018091207,0.022073608,0.008676234,0.002425916,0.007616993,0.006158753,0.005879399,0.004901215,0.005461438,0.039016079,1.43E-05,0.221741652,0.021107398,0.016196363,0.481450135,0.001071472,0.084018503,0.528123223,0.446242348,0.432934332,0.195761663,0.174725741,0.276896744,0.167906354,0.181153289,0.20861798,0.187361721,0.184366879,0.216438262,0.197826854,0.014655127,0.008911999,0.00650948,0.013716154,0.025759895,0.02078596,0.010803911,0.002905061,0.011107454,0.00816353,0.00910985,0.006286349,0.005705408
650.8617066,60.42271911,,,,,,,37.48550232,37.57017389,0.092834958,0.057593652,646.1538462,57.02307692,0.08825,76.92307692,14.20765027,56.83060109,13.07142857,132.8125,,,0.024513468,0.023057046,0.000410705,1.063166003,0.510897144,0.480543153,-3.769783859,2021/12/24 14:51,0.108098911,0.000151709,3.081779282,0.178178805,0.182996711,0.921875623,0.003197015,0.166833031,-32.97638715,0.830177046,-0.652886075,0.064191082,-0.682996058,-0.114012644,-0.273906208,-0.370047564,-0.127704333,-0.206681629,-0.159609168,0.055685361,-0.135025945,0.010933667,0.00644509,0.012671821,0.009889612,0.011565879,0.015304781,0.016569638,0.004822817,0.011703785,0.008605542,0.009784345,0.006751458,0.008305811,-0.000544465,6.27E-06,-0.040651323,-0.003500277,-0.003585323,-0.022950699,5.21E-05,-0.001860254,0.20611371,-0.125256741,-0.051598576,0.020979919,-0.007014312,0.015302049,-0.005153334,0.00721957,-0.006322426,-0.004477603,0.010210048,0.004080215,-0.000985888,-0.000128172,-0.00084398,-1.73E-05,-0.000800643,-0.000606601,-0.000241679,-0.000158221,-1.97E-05,-0.000690713,-0.00055887,-1.33E-05,-0.000129357,-0.000153633,0.036559816,0.000309898,0.333936441,0.042910532,0.029777527,0.536777626,0.002635759,0.081759517,2.864319594,0.791755256,0.499257776,0.311829971,0.285193562,0.33127916,0.301001498,0.332311288,0.231817877,0.237357828,0.219623712,0.16235292,0.181112456,0.007955028,0.004839962,0.01598642,0.010344889,0.012666665,0.008937753,0.017243735,0.003916742,0.010777735,0.005140704,0.005974507,0.004424976,0.005274601,0.025104975,0.000241335,0.405615216,0.030531593,0.028222357,0.408926798,0.002612742,0.065265436,1.739707499,0.446148519,0.339841572,0.359220922,0.253299814,0.375468781,0.304241104,0.267862977,0.231517176,0.377949871,0.321261934,0.234488655,0.234725804,0.010745967,0.006899435,0.018856437,0.01249377,0.019585904,0.011202674,0.017856749,0.005210144,0.011550688,0.00654239,0.008331513,0.007405752,0.004772507
652.0807062,61.5816645,,,,,,,38.44885674,38.55489946,0.094438716,0.058963341,646.1538462,57.02307692,0.08825,76.92307692,14.75409836,57.37704918,13.07142857,132.8125,,,0.022737781,0.021313279,0.000380019,1.066836378,0.51175397,0.479693026,-3.848424981,2021/12/24 14:51,0.112908348,1.18E-05,3.122077424,0.176655621,0.177591622,1.024102226,0.002617184,0.15907441,-34.30958992,0.003319655,-0.383994755,0.04127038,-0.608269817,0.095382878,-0.486612783,-0.168821977,-0.153670956,-0.224007133,-0.042753152,-0.106588798,-0.152962101,0.014616009,0.006841283,0.011355636,0.011732898,0.007432464,0.006100853,0.008090096,0.003525889,0.008165507,0.004246889,0.005850274,0.008334628,0.006232352,0.001111615,-6.33E-06,0.041359357,0.004411209,0.004881079,0.024338734,-7.53E-05,0.001905626,-0.307911062,0.129842678,0.066520433,-0.038710756,0.009696671,0.00332993,0.025669842,-0.009710252,-0.005388161,-0.001766741,-0.021347424,-0.011760602,0.005577377,0.000343603,-6.65E-05,0.000857461,0.002391398,0.001170816,4.51E-05,0.000512596,0.000304642,-1.57E-05,0.000169633,0.000179915,7.86E-05,0.000535239,0.017697005,1.98E-05,0.194542324,0.028971914,0.029585111,0.339142485,0.00171716,0.046773369,1.561163102,0.639579563,0.440575421,0.210558188,0.265390606,0.287393519,0.236100127,0.18239028,0.161006804,0.166674944,0.205561959,0.179887854,0.157649461,0.009573538,0.0067349,0.008349528,0.011754309,0.00578175,0.003138507,0.00614415,0.002883752,0.007956547,0.003258458,0.003191028,0.004993939,0.003144222,0.014075925,2.91E-05,0.218984652,0.023388293,0.026980831,0.261878211,0.001922939,0.03085553,1.12488396,0.509116501,0.276275294,0.23263684,0.279846348,0.260147397,0.218275802,0.241785954,0.232991923,0.225922853,0.225213826,0.244238028,0.232889888,0.011897229,0.009697803,0.01114989,0.006590716,0.006046356,0.004508741,0.00600957,0.002549811,0.012151614,0.004501837,0.003536292,0.006060717,0.003420025
