Time,ECG
2021-12-24 14:42:42.483035,158
2021-12-24 14:42:42.483049,37
2021-12-24 14:42:42.483056,0
2021-12-24 14:42:42.483064,139
2021-12-24 14:42:42.483071,100
2021-12-24 14:42:42.483076,62
2021-12-24 14:42:42.483081,128
2021-12-24 14:42:42.483085,144
2021-12-24 14:42:42.483089,100
2021-12-24 14:42:42.483094,67
2021-12-24 14:42:42.483098,69
2021-12-24 14:42:42.483102,81
2021-12-24 14:42:42.483107,90
2021-12-24 14:42:42.483111,95
2021-12-24 14:42:42.483115,72
2021-12-24 14:42:42.483120,53
2021-12-24 14:42:42.483124,90
2021-12-24 14:42:42.483129,141
2021-12-24 14:42:42.483133,169
2021-12-24 14:42:42.483137,190
2021-12-24 14:42:42.483142,195
2021-12-24 14:42:42.483146,174
2021-12-24 14:42:42.483150,167
2021-12-24 14:42:42.483154,174
2021-12-24 14:42:42.483159,162
2021-12-24 14:42:42.483177,137
2021-12-24 14:42:42.483181,107
2021-12-24 14:42:42.483185,65
2021-12-24 14:42:42.483189,32
2021-12-24 14:42:42.483193,4
2021-12-24 14:42:42.550705,-25
2021-12-24 14:42:42.550726,-58
2021-12-24 14:42:42.550734,-93
2021-12-24 14:42:42.550740,-121
2021-12-24 14:42:42.550747,-121
2021-12-24 14:42:42.550753,-102
2021-12-24 14:42:42.550761,-88
2021-12-24 14:42:42.550767,-88
2021-12-24 14:42:42.550773,-100
2021-12-24 14:42:42.550779,-102
2021-12-24 14:42:42.550788,-81
2021-12-24 14:42:42.550794,-60
2021-12-24 14:42:42.550800,-65
2021-12-24 14:42:42.550807,-116
2021-12-24 14:42:42.550813,-167
2021-12-24 14:42:42.550819,-160
2021-12-24 14:42:42.550826,-144
2021-12-24 14:42:42.550833,-141
2021-12-24 14:42:42.550839,-123
2021-12-24 14:42:42.550845,-125
2021-12-24 14:42:42.550852,-155
2021-12-24 14:42:42.550858,-151
2021-12-24 14:42:42.550864,-118
2021-12-24 14:42:42.550871,-102
2021-12-24 14:42:42.550877,-90
2021-12-24 14:42:42.550884,-79
2021-12-24 14:42:42.550890,-76
2021-12-24 14:42:42.550896,-72
2021-12-24 14:42:42.550903,-53
2021-12-24 14:42:42.550912,-25
2021-12-24 14:42:42.730524,-4
2021-12-24 14:42:42.730543,-6
2021-12-24 14:42:42.730551,-6
2021-12-24 14:42:42.730557,2
2021-12-24 14:42:42.730563,16
2021-12-24 14:42:42.730569,34
2021-12-24 14:42:42.730576,39
2021-12-24 14:42:42.730582,18
2021-12-24 14:42:42.730588,-6
2021-12-24 14:42:42.730594,6
2021-12-24 14:42:42.730600,51
2021-12-24 14:42:42.730607,79
2021-12-24 14:42:42.730613,81
2021-12-24 14:42:42.730623,60
2021-12-24 14:42:42.730630,41
2021-12-24 14:42:42.730636,39
2021-12-24 14:42:42.730642,34
2021-12-24 14:42:42.730648,25
2021-12-24 14:42:42.730654,13
2021-12-24 14:42:42.730661,6
2021-12-24 14:42:42.730667,13
2021-12-24 14:42:42.730673,23
2021-12-24 14:42:42.730679,32
2021-12-24 14:42:42.730686,51
2021-12-24 14:42:42.730692,60
2021-12-24 14:42:42.730698,51
2021-12-24 14:42:42.730704,25
2021-12-24 14:42:42.730710,34
2021-12-24 14:42:42.730716,230
2021-12-24 14:42:42.730724,672
2021-12-24 14:42:42.956507,1010
2021-12-24 14:42:42.956536,565
2021-12-24 14:42:42.956547,-542
2021-12-24 14:42:42.956557,-919
2021-12-24 14:42:42.956566,-267
2021-12-24 14:42:42.956576,60
2021-12-24 14:42:42.956585,-128
2021-12-24 14:42:42.956595,-88
2021-12-24 14:42:42.956604,48
2021-12-24 14:42:42.956614,6
2021-12-24 14:42:42.956623,0
2021-12-24 14:42:42.956632,60
2021-12-24 14:42:42.956642,44
2021-12-24 14:42:42.956651,16
2021-12-24 14:42:42.956660,53
2021-12-24 14:42:42.956670,83
2021-12-24 14:42:42.956679,93
2021-12-24 14:42:42.956693,121
2021-12-24 14:42:42.956702,137
2021-12-24 14:42:42.956712,111
2021-12-24 14:42:42.956721,88
2021-12-24 14:42:42.956731,116
2021-12-24 14:42:42.956740,162
2021-12-24 14:42:42.956749,188
2021-12-24 14:42:42.956759,204
2021-12-24 14:42:42.956768,218
2021-12-24 14:42:42.956778,223
2021-12-24 14:42:42.956787,211
2021-12-24 14:42:42.956796,195
2021-12-24 14:42:42.956806,183
2021-12-24 14:42:43.181124,155
2021-12-24 14:42:43.181144,118
2021-12-24 14:42:43.181152,83
2021-12-24 14:42:43.181159,46
2021-12-24 14:42:43.181166,6
2021-12-24 14:42:43.181172,-51
2021-12-24 14:42:43.181178,-111
2021-12-24 14:42:43.181190,-125
2021-12-24 14:42:43.181196,-118
2021-12-24 14:42:43.181203,-130
2021-12-24 14:42:43.181209,-128
2021-12-24 14:42:43.181215,-128
2021-12-24 14:42:43.181221,-144
2021-12-24 14:42:43.181227,-128
2021-12-24 14:42:43.181233,-97
2021-12-24 14:42:43.181240,-100
2021-12-24 14:42:43.181246,-93
2021-12-24 14:42:43.181252,-76
2021-12-24 14:42:43.181258,-67
2021-12-24 14:42:43.181264,-55
2021-12-24 14:42:43.181270,-39
2021-12-24 14:42:43.181276,-53
2021-12-24 14:42:43.181282,-81
2021-12-24 14:42:43.181289,-88
2021-12-24 14:42:43.181295,-76
2021-12-24 14:42:43.181301,-60
2021-12-24 14:42:43.181307,-48
2021-12-24 14:42:43.181313,-46
2021-12-24 14:42:43.181319,-44
2021-12-24 14:42:43.181326,-39
2021-12-24 14:42:43.406456,-32
2021-12-24 14:42:43.406486,-16
2021-12-24 14:42:43.406497,-9
2021-12-24 14:42:43.406507,-9
2021-12-24 14:42:43.406517,-13
2021-12-24 14:42:43.406527,-34
2021-12-24 14:42:43.406536,-39
2021-12-24 14:42:43.406546,-11
2021-12-24 14:42:43.406556,2
2021-12-24 14:42:43.406566,-4
2021-12-24 14:42:43.406575,-13
2021-12-24 14:42:43.406585,-32
2021-12-24 14:42:43.406595,-39
2021-12-24 14:42:43.406605,-9
2021-12-24 14:42:43.406614,25
2021-12-24 14:42:43.406624,39
2021-12-24 14:42:43.406634,39
2021-12-24 14:42:43.406644,37
2021-12-24 14:42:43.406653,34
2021-12-24 14:42:43.406663,20
2021-12-24 14:42:43.406673,2
2021-12-24 14:42:43.406683,-2
2021-12-24 14:42:43.406692,-6
2021-12-24 14:42:43.406702,-39
2021-12-24 14:42:43.406719,-102
2021-12-24 14:42:43.406729,-155
2021-12-24 14:42:43.406739,-165
2021-12-24 14:42:43.406749,-165
2021-12-24 14:42:43.406759,-172
2021-12-24 14:42:43.406769,-167
2021-12-24 14:42:43.630986,-160
2021-12-24 14:42:43.631016,-93
2021-12-24 14:42:43.631028,165
2021-12-24 14:42:43.631038,605
2021-12-24 14:42:43.631048,821
2021-12-24 14:42:43.631058,209
2021-12-24 14:42:43.631068,-819
2021-12-24 14:42:43.631077,-907
2021-12-24 14:42:43.631087,-214
2021-12-24 14:42:43.631097,-48
2021-12-24 14:42:43.631106,-242
2021-12-24 14:42:43.631116,-130
2021-12-24 14:42:43.631125,-11
2021-12-24 14:42:43.631135,-55
2021-12-24 14:42:43.631144,-34
2021-12-24 14:42:43.631154,16
2021-12-24 14:42:43.631163,2
2021-12-24 14:42:43.631173,13
2021-12-24 14:42:43.631182,58
2021-12-24 14:42:43.631192,86
2021-12-24 14:42:43.631201,107
2021-12-24 14:42:43.631211,130
2021-12-24 14:42:43.631223,151
2021-12-24 14:42:43.631232,188
2021-12-24 14:42:43.631242,235
2021-12-24 14:42:43.631252,265
2021-12-24 14:42:43.631261,265
2021-12-24 14:42:43.631271,267
2021-12-24 14:42:43.631280,283
2021-12-24 14:42:43.631290,297
2021-12-24 14:42:43.900703,302
2021-12-24 14:42:43.900726,300
2021-12-24 14:42:43.900733,276
2021-12-24 14:42:43.900740,228
2021-12-24 14:42:43.900746,165
2021-12-24 14:42:43.900752,130
2021-12-24 14:42:43.900759,107
2021-12-24 14:42:43.900765,65
2021-12-24 14:42:43.900771,16
2021-12-24 14:42:43.900777,-53
2021-12-24 14:42:43.900783,-107
2021-12-24 14:42:43.900790,-107
2021-12-24 14:42:43.900796,-102
2021-12-24 14:42:43.900802,-100
2021-12-24 14:42:43.900808,-93
2021-12-24 14:42:43.900814,-102
2021-12-24 14:42:43.900820,-104
2021-12-24 14:42:43.900827,-81
2021-12-24 14:42:43.900833,-58
2021-12-24 14:42:43.900839,-51
2021-12-24 14:42:43.900845,-46
2021-12-24 14:42:43.900852,-44
2021-12-24 14:42:43.900858,-41
2021-12-24 14:42:43.900864,-23
2021-12-24 14:42:43.900876,-6
2021-12-24 14:42:43.900882,-2
2021-12-24 14:42:43.900888,4
2021-12-24 14:42:43.900894,-2
2021-12-24 14:42:43.900901,-25
2021-12-24 14:42:43.900907,-39
2021-12-24 14:42:44.126058,-55
2021-12-24 14:42:44.126087,-81
2021-12-24 14:42:44.126099,-83
2021-12-24 14:42:44.126109,-83
2021-12-24 14:42:44.126119,-76
2021-12-24 14:42:44.126129,-51
2021-12-24 14:42:44.126138,-30
2021-12-24 14:42:44.126148,-20
2021-12-24 14:42:44.126157,-34
2021-12-24 14:42:44.126167,-65
2021-12-24 14:42:44.126177,-58
2021-12-24 14:42:44.126186,-27
2021-12-24 14:42:44.126196,-25
2021-12-24 14:42:44.126205,-51
2021-12-24 14:42:44.126215,-81
2021-12-24 14:42:44.126224,-111
2021-12-24 14:42:44.126234,-118
2021-12-24 14:42:44.126243,-104
2021-12-24 14:42:44.126253,-86
2021-12-24 14:42:44.126262,-79
2021-12-24 14:42:44.126272,-102
2021-12-24 14:42:44.126282,-132
2021-12-24 14:42:44.126291,-123
2021-12-24 14:42:44.126301,-111
2021-12-24 14:42:44.126311,-114
2021-12-24 14:42:44.126320,-102
2021-12-24 14:42:44.126330,-100
2021-12-24 14:42:44.126340,-114
2021-12-24 14:42:44.126349,-104
2021-12-24 14:42:44.126359,-88
2021-12-24 14:42:44.394414,-102
2021-12-24 14:42:44.394429,-114
2021-12-24 14:42:44.394434,-107
2021-12-24 14:42:44.394439,-116
2021-12-24 14:42:44.394443,-125
2021-12-24 14:42:44.394448,-37
2021-12-24 14:42:44.394452,246
2021-12-24 14:42:44.394457,695
2021-12-24 14:42:44.394462,886
2021-12-24 14:42:44.394467,225
2021-12-24 14:42:44.394471,-800
2021-12-24 14:42:44.394475,-840
2021-12-24 14:42:44.394480,-141
2021-12-24 14:42:44.394484,-2
2021-12-24 14:42:44.394488,-186
2021-12-24 14:42:44.394493,-60
2021-12-24 14:42:44.394497,39
2021-12-24 14:42:44.394501,-11
2021-12-24 14:42:44.394505,23
2021-12-24 14:42:44.394510,76
2021-12-24 14:42:44.394514,55
2021-12-24 14:42:44.394518,58
2021-12-24 14:42:44.394523,104
2021-12-24 14:42:44.394527,132
2021-12-24 14:42:44.394531,151
2021-12-24 14:42:44.394536,176
2021-12-24 14:42:44.394540,200
2021-12-24 14:42:44.394544,223
2021-12-24 14:42:44.394549,263
2021-12-24 14:42:44.394553,311
2021-12-24 14:42:44.576160,353
2021-12-24 14:42:44.576180,374
2021-12-24 14:42:44.576188,360
2021-12-24 14:42:44.576194,342
2021-12-24 14:42:44.576201,344
2021-12-24 14:42:44.576207,325
2021-12-24 14:42:44.576214,253
2021-12-24 14:42:44.576220,172
2021-12-24 14:42:44.576226,123
2021-12-24 14:42:44.576232,95
2021-12-24 14:42:44.576243,55
2021-12-24 14:42:44.576250,16
2021-12-24 14:42:44.576256,-25
2021-12-24 14:42:44.576262,-93
2021-12-24 14:42:44.576269,-146
2021-12-24 14:42:44.576275,-158
2021-12-24 14:42:44.576281,-151
2021-12-24 14:42:44.576288,-139
2021-12-24 14:42:44.576294,-130
2021-12-24 14:42:44.576300,-130
2021-12-24 14:42:44.576306,-125
2021-12-24 14:42:44.576312,-107
2021-12-24 14:42:44.576319,-81
2021-12-24 14:42:44.576325,-67
2021-12-24 14:42:44.576331,-62
2021-12-24 14:42:44.576337,-58
2021-12-24 14:42:44.576343,-46
2021-12-24 14:42:44.576350,-37
