HRV_MeanNN,HRV_SDNN,HRV_SDANN1,HRV_SDNNI1,HRV_SDANN2,HRV_SDNNI2,HRV_SDANN5,HRV_SDNNI5,HRV_RMSSD,HRV_SDSD,HRV_CVNN,HRV_CVSD,HRV_MedianNN,HRV_MadNN,HRV_MCVNN,HRV_IQRNN,HRV_pNN50,HRV_pNN20,HRV_HTI,HRV_TINN,HRV_ULF,HRV_VLF,HRV_LF,HRV_HF,HRV_VHF,HRV_LFHF,HRV_LFn,HRV_HFn,HRV_LnHF,Time,zcr_mean,energy_mean,energy_entropy_mean,spectral_centroid_mean,spectral_spread_mean,spectral_entropy_mean,spectral_flux_mean,spectral_rolloff_mean,mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,mfcc_6_mean,mfcc_7_mean,mfcc_8_mean,mfcc_9_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_13_mean,chroma_1_mean,chroma_2_mean,chroma_3_mean,chroma_4_mean,chroma_5_mean,chroma_6_mean,chroma_7_mean,chroma_8_mean,chroma_9_mean,chroma_10_mean,chroma_11_mean,chroma_12_mean,chroma_std_mean,delta zcr_mean,delta energy_mean,delta energy_entropy_mean,delta spectral_centroid_mean,delta spectral_spread_mean,delta spectral_entropy_mean,delta spectral_flux_mean,delta spectral_rolloff_mean,delta mfcc_1_mean,delta mfcc_2_mean,delta mfcc_3_mean,delta mfcc_4_mean,delta mfcc_5_mean,delta mfcc_6_mean,delta mfcc_7_mean,delta mfcc_8_mean,delta mfcc_9_mean,delta mfcc_10_mean,delta mfcc_11_mean,delta mfcc_12_mean,delta mfcc_13_mean,delta chroma_1_mean,delta chroma_2_mean,delta chroma_3_mean,delta chroma_4_mean,delta chroma_5_mean,delta chroma_6_mean,delta chroma_7_mean,delta chroma_8_mean,delta chroma_9_mean,delta chroma_10_mean,delta chroma_11_mean,delta chroma_12_mean,delta chroma_std_mean,zcr_std,energy_std,energy_entropy_std,spectral_centroid_std,spectral_spread_std,spectral_entropy_std,spectral_flux_std,spectral_rolloff_std,mfcc_1_std,mfcc_2_std,mfcc_3_std,mfcc_4_std,mfcc_5_std,mfcc_6_std,mfcc_7_std,mfcc_8_std,mfcc_9_std,mfcc_10_std,mfcc_11_std,mfcc_12_std,mfcc_13_std,chroma_1_std,chroma_2_std,chroma_3_std,chroma_4_std,chroma_5_std,chroma_6_std,chroma_7_std,chroma_8_std,chroma_9_std,chroma_10_std,chroma_11_std,chroma_12_std,chroma_std_std,delta zcr_std,delta energy_std,delta energy_entropy_std,delta spectral_centroid_std,delta spectral_spread_std,delta spectral_entropy_std,delta spectral_flux_std,delta spectral_rolloff_std,delta mfcc_1_std,delta mfcc_2_std,delta mfcc_3_std,delta mfcc_4_std,delta mfcc_5_std,delta mfcc_6_std,delta mfcc_7_std,delta mfcc_8_std,delta mfcc_9_std,delta mfcc_10_std,delta mfcc_11_std,delta mfcc_12_std,delta mfcc_13_std,delta chroma_1_std,delta chroma_2_std,delta chroma_3_std,delta chroma_4_std,delta chroma_5_std,delta chroma_6_std,delta chroma_7_std,delta chroma_8_std,delta chroma_9_std,delta chroma_10_std,delta chroma_11_std,delta chroma_12_std,delta chroma_std_std
766.7493797,74.15569223,,,,,,,55.93562624,56.11309003,0.096714382,0.072951642,761.5384615,79.83230769,0.104830303,111.5384615,30.96774194,61.93548387,15.5,39.0625,,,0.043846499,0.011310848,0.00120275,3.876499691,0.777970602,0.200688937,-4.481993013,2021/12/24 14:56,0.070372051,0.009054165,3.025499735,0.133526161,0.161531736,0.532100377,0.004931992,0.098865699,-29.70497821,1.825519881,-0.351082099,0.11158561,-0.724827095,0.040911698,-0.2157771,-0.08692599,0.143536758,-0.036435288,-0.052049445,0.055425483,0.050932582,0.016848533,0.017594046,0.025048765,0.009383713,0.0107303,0.00993351,0.028691376,0.003071103,0.015405161,0.006324702,0.017501781,0.00853847,0.015264063,-0.002654265,0.00237577,0.030733742,-0.002136472,-0.003379438,-0.000370677,0.000994881,-0.001088929,0.474392567,-0.016055345,0.022768618,-0.057516967,-0.062148953,0.004769374,0.036360162,-0.001031499,-0.0047893,0.022247563,-0.029341561,0.006393935,-0.016107084,0.003065083,-0.000527864,-0.000564399,0.000573389,-0.001294187,-0.000723189,0.000464342,-5.64E-06,-0.001829829,-0.000174769,-0.000678334,0.002153906,0.000696865,0.040087664,0.020119604,0.322046179,0.030154418,0.028518011,0.501335885,0.004552172,0.064888362,3.440337438,0.752529698,0.512023022,0.700452673,0.42240537,0.364869401,0.278026388,0.277204025,0.194601176,0.217473557,0.308439487,0.190078018,0.160834412,0.01825138,0.031471471,0.013219452,0.005780778,0.008585128,0.009182926,0.027406051,0.003127369,0.022372002,0.003884438,0.013554588,0.010962728,0.00863035,0.028780789,0.011561049,0.421825104,0.023623447,0.02004488,0.342601827,0.003063174,0.04539981,0.857263292,0.537033022,0.430744766,0.460202482,0.22802409,0.279833666,0.296334135,0.211845362,0.205174131,0.211872434,0.210027905,0.25602622,0.186708083,0.014569389,0.032999383,0.016238644,0.007165619,0.011213084,0.01296582,0.026252901,0.004399195,0.025680976,0.004751994,0.011902283,0.011860872,0.00754619
765.9057072,74.51794081,,,,,,,55.94936289,56.12544092,0.097293884,0.073049936,753.8461538,79.83230769,0.1059,111.5384615,30.96774194,61.93548387,15.5,39.0625,,,0.044514843,0.011229602,0.001191182,3.964062421,0.781845141,0.197233307,-4.489201966,2021/12/24 14:56,0.039859347,0.01922468,2.906322074,0.090247212,0.13519279,0.187113162,0.012666809,0.047731397,-24.51167682,2.342636489,-1.00091356,-0.55384406,-0.705588822,0.022785449,-0.093808372,-0.107020513,-0.09504109,0.091845094,-0.124732398,0.202063016,-0.149271886,0.025999976,0.015018161,0.017079296,0.008147059,0.015409703,0.011962352,0.028851567,0.017052521,0.019483383,0.008796811,0.013800252,0.011757331,0.019271944,0.000680581,-0.001486538,0.01201055,-0.000946302,-0.002776982,-0.002404748,2.48E-05,0.000952813,-0.066970252,-0.008543198,-0.066525311,0.017654357,0.115960991,-0.039063146,-0.004805153,0.007236189,-0.004276052,-0.007859747,0.044815661,0.009152588,0.006685707,-0.003831473,0.000646986,-6.02E-05,-0.00010457,-9.78E-05,0.00352599,-0.001468771,-0.000108375,-0.000131384,0.000122062,-6.45E-06,-0.002154545,-0.000222276,0.030871096,0.015742142,0.228480591,0.034441553,0.041220831,0.326337253,0.005296649,0.052798253,1.406896521,0.466848016,0.69812942,0.351377085,0.793600224,0.424351608,0.235579377,0.190919067,0.280339221,0.212849493,0.247568202,0.170949414,0.205335974,0.020948924,0.014481292,0.012832769,0.007106211,0.018513994,0.015697725,0.040285979,0.025388262,0.022951812,0.010804724,0.019460861,0.015458242,0.008387796,0.04078478,0.013818617,0.337265459,0.04609858,0.049887797,0.474233904,0.005710216,0.078735073,1.757260691,0.485837811,0.538582617,0.387463173,0.409347742,0.271924147,0.319088128,0.273054276,0.254338849,0.283328153,0.177593853,0.166443469,0.212851242,0.023594725,0.020984041,0.017990734,0.006517483,0.028412759,0.015596047,0.060216495,0.035132582,0.032934324,0.017012143,0.024880555,0.017943151,0.010067517
764.4477318,75.02035328,,,,,,,55.49066219,55.66911023,0.098136668,0.072589217,753.8461538,79.83230769,0.1059,111.5384615,30.12820513,60.8974359,15.6,39.0625,,,0.045038725,0.011175412,0.001176182,4.030162485,0.784779138,0.194726426,-4.494039306,2021/12/24 14:56,0.030966425,0.008967965,2.716850365,0.082395569,0.136814796,0.123787356,0.011704277,0.038294011,-25.93734824,2.722984386,-0.807188553,-0.680758691,-0.578896981,-0.178048012,-0.058852004,0.051143321,-0.160763875,0.105126282,0.022249661,0.104769623,0.118545689,0.018073353,0.012266537,0.018708283,0.019992091,0.019433883,0.016024528,0.016197172,0.003564685,0.016013279,0.018058019,0.008588036,0.010573462,0.01499867,0.000453721,-0.000700337,-0.100138196,0.001346619,0.004165084,0.000461746,-0.000655686,-0.000635209,-0.061809665,0.043358293,0.031272539,0.001565871,-0.080483438,0.038168399,0.019140698,0.011020103,0.009313924,0.002585356,-0.022614556,-0.012755288,0.015447034,0.000465741,-0.000194517,0.001227602,7.51E-05,0.001067458,-0.002872538,0.00056069,4.01E-05,0.000358562,0.000443851,0.000312964,0.000111072,-0.000618397,0.013530365,0.00975464,0.578879986,0.022404383,0.032478373,0.14539172,0.004541012,0.030608619,1.803541046,0.599557952,0.922331805,0.440150912,0.358585878,0.349566315,0.373748572,0.18462859,0.165213819,0.22644562,0.202295572,0.23866834,0.133448913,0.016598271,0.011292907,0.012984721,0.021262462,0.015506342,0.018666371,0.014788021,0.003637439,0.019716858,0.025692421,0.010498556,0.01138861,0.006839506,0.017017241,0.010739403,0.8200252,0.025655421,0.039697193,0.194028204,0.005974213,0.043517545,2.182194314,0.687099135,0.636424055,0.467295913,0.273763827,0.365629914,0.399573541,0.227633983,0.224118793,0.220960007,0.293497474,0.270470658,0.179818125,0.022914724,0.01594118,0.015514986,0.026308558,0.013310342,0.021420479,0.02246994,0.005053777,0.02582525,0.026707637,0.014284661,0.014759548,0.008805389
764.0694789,75.78635474,,,,,,,55.64292079,55.81870575,0.099187779,0.072824425,753.8461538,91.23692308,0.121028571,119.2307692,30.32258065,61.29032258,15.5,39.0625,,,0.045466257,0.0111469,0.001152845,4.078825059,0.787076397,0.192966451,-4.496593811,2021/12/24 14:56,0.07146098,0.003504449,2.514248761,0.148623239,0.150831776,0.672021826,0.007259929,0.155943739,-28.38130561,1.725204174,-1.193054386,-0.156021798,-0.546514103,0.243601981,0.075699042,-0.228787606,-0.099804695,-0.004041057,-0.126984731,0.133059743,0.077504313,0.010544306,0.007586444,0.015195082,0.009387269,0.010619477,0.011478368,0.021735904,0.007897207,0.013839692,0.007856125,0.00958814,0.008415592,0.011380286,0.000408348,-0.000113224,0.093524654,0.000473947,-0.00221648,0.006777946,-0.000302129,0.002313975,-0.072927834,-0.134662245,-0.03297313,0.039501379,-0.005310153,0.018514947,-0.027229185,-0.019099251,-0.020099959,-0.057972305,-0.005787574,0.006564005,-0.004869158,-6.81E-06,-0.00021255,-0.001220655,-0.000812141,0.001257071,-0.000676106,-0.000257166,0.000143055,-9.08E-05,-0.000586595,-0.000338463,-0.000197115,0.000254971,0.04994317,0.00612652,0.846022944,0.094984802,0.041751305,0.843367186,0.004894261,0.164374186,2.981582629,1.018484855,0.837214526,0.563572665,0.614217101,0.222119352,0.229683422,0.16593952,0.250782459,0.32117148,0.260269222,0.197156364,0.145147075,0.007422377,0.00731449,0.018258273,0.011908112,0.012627156,0.013132992,0.019158561,0.008585854,0.022179355,0.005602124,0.008454815,0.01243625,0.006483437,0.056735187,0.005985794,1.299307564,0.10265569,0.038087745,1.00325298,0.005619742,0.188483489,2.044393068,0.626013243,0.962852848,0.459779278,0.370158629,0.27897704,0.210480137,0.170819673,0.224694983,0.274291721,0.240962145,0.22722702,0.188008703,0.012326432,0.008968522,0.012800434,0.01667902,0.011019305,0.019071488,0.0263565,0.012845406,0.02451805,0.008246301,0.011484074,0.017401646,0.008793392
762.6232742,76.55718797,,,,,,,55.46657845,55.64136151,0.10038664,0.072731295,753.8461538,91.23692308,0.121028571,117.3076923,30.12820513,60.8974359,15.6,39.0625,,,0.045613027,0.011149444,0.001130893,4.091058651,0.787880063,0.192585864,-4.496365688,2021/12/24 14:56,0.066764973,0.002966341,2.925111156,0.128578642,0.153141838,0.468499933,0.008784463,0.113430127,-27.13782619,1.882117857,-0.897633864,-0.078943408,-0.920257039,0.089104409,-0.052445025,-0.252193404,-0.096628843,-0.063211625,-0.215272416,0.184419548,-0.030530419,0.021839811,0.007713694,0.011433179,0.007840408,0.014769374,0.015403213,0.021960847,0.016520473,0.007777717,0.008008235,0.025820565,0.023477407,0.019643319,0.00034029,-5.01E-05,-0.023992089,0.000992934,0.00273092,0.001964018,0.000454715,-0.001179673,-0.042835363,0.124486433,0.043660747,-0.017667651,0.004779801,-0.00336123,-0.006331975,-0.001585894,0.014950507,0.036525981,0.011905462,-0.016819167,-0.013399376,-7.73E-05,5.84E-05,0.000505639,2.73E-06,-0.001286048,0.001675101,0.000612666,-7.49E-05,-0.000128512,0.000981967,0.00104919,-0.000207125,-0.000137865,0.0561856,0.002692995,0.283456637,0.067069334,0.035257318,0.655309299,0.004954458,0.125616192,1.943323603,1.009870871,0.825709001,0.269121213,0.304225803,0.322511907,0.232114652,0.205898046,0.215244502,0.372444026,0.191227942,0.233960247,0.122390893,0.02270054,0.008573933,0.011722348,0.006106429,0.012208356,0.017439833,0.01791808,0.036688166,0.012404362,0.006100941,0.036722646,0.035191117,0.010213576,0.065916373,0.002911075,0.362703046,0.086928323,0.047194751,0.81192361,0.008399612,0.163954553,2.126418602,0.899779707,0.763782051,0.340782876,0.372778448,0.220743582,0.262004351,0.288179888,0.24967622,0.32869054,0.209586797,0.214074755,0.142989188,0.025851308,0.010616014,0.016992223,0.009363973,0.013406102,0.024059835,0.024784552,0.041613632,0.018222594,0.005708696,0.038486584,0.039408714,0.010484023
761.244488,77.22762862,,,,,,,55.32966263,55.50148765,0.101449179,0.07268317,753.8461538,91.23692308,0.121028571,123.0769231,29.93630573,61.14649682,15.7,46.875,,,0.045560316,0.011164409,0.001105978,4.08085327,0.787822271,0.19305332,-4.495024302,2021/12/24 14:56,0.046506352,0.001192271,2.870685472,0.099186056,0.144437148,0.211727221,0.006369925,0.067876588,-28.76555867,1.830970873,-1.301641553,0.035684235,-0.616683427,0.211940039,0.016341282,-0.160744959,-0.248932629,0.050512699,-0.076256612,0.202464007,0.107959496,0.007450354,0.007987011,0.015757884,0.008938343,0.022206953,0.017333129,0.027003549,0.013901226,0.011182863,0.015045144,0.011456786,0.006256378,0.011947152,-0.00142922,9.83E-06,0.0249442,-0.001099914,-0.000613274,-0.006556408,-0.000187168,0.000272232,0.016657032,-0.074908704,-0.026390562,-0.003626971,0.006378808,-0.004652529,0.009033722,0.02947513,-0.01122358,-0.022273338,-0.024239885,-0.000441704,0.004932667,-5.45E-05,0.000275087,0.000888372,0.002200175,-0.000316994,-0.000991885,-0.000724833,-0.000100536,5.17E-05,-0.00078372,-0.00101527,-6.17E-05,0.000243521,0.030725121,0.001883075,0.399353752,0.03337832,0.037586064,0.337728011,0.00272609,0.048193235,2.553126687,0.798195799,0.556277762,0.258268873,0.250572097,0.273617343,0.270936023,0.251978409,0.219893629,0.407751031,0.282849726,0.186510843,0.200529464,0.003607519,0.007277322,0.008834672,0.010951228,0.018736967,0.012731066,0.021346964,0.017274554,0.00851732,0.012210687,0.007676761,0.006454557,0.005630599,0.041413344,0.002073856,0.596542741,0.042397714,0.044489631,0.473874999,0.004088799,0.066294203,1.960810698,0.583594213,0.553331281,0.314069279,0.328133567,0.34176531,0.308065504,0.283380593,0.237405969,0.288170897,0.321902093,0.179464191,0.203955996,0.006000472,0.010064428,0.010401234,0.011167446,0.022825352,0.017301424,0.030547954,0.021254426,0.009335434,0.016058251,0.007225232,0.006057951,0.008125134
760.4536489,78.28300965,,,,,,,55.22516336,55.39430914,0.102942513,0.07262134,753.8461538,91.23692308,0.121028571,125,28.84615385,60.8974359,15.6,54.6875,,,0.045234241,0.011196708,0.001071565,4.039958842,0.786648047,0.194716847,-4.49213543,2021/12/24 14:56,0.047186933,7.25E-05,3.122513813,0.114471432,0.164276793,0.156510935,0.003694968,0.056669691,-32.51613388,1.551966806,-1.510602494,0.265965715,-0.291199487,0.091537533,-0.065028877,-0.084800171,-0.091884221,-0.335048322,-0.005500151,0.569852906,0.153661043,0.00839938,0.058363116,0.011017658,0.008102689,0.019629941,0.011170361,0.031750145,0.005987277,0.006815998,0.005906785,0.011585511,0.005565406,0.018848673,0.001792196,-3.60E-05,0.009729099,0.003256681,0.002441578,0.016910375,-0.000233821,0.000589837,-0.378013313,0.031891996,0.06334957,0.025393661,0.027504297,-0.004596043,0.019291893,-0.014425354,0.029406947,0.024817901,0.02973587,0.022151391,0.001036781,-1.86E-05,0.001201914,-0.000456814,-0.002493858,-5.31E-05,-0.000489283,0.002045594,0.000199479,0.000636531,7.78E-05,0.002186528,0.000229764,6.36E-05,0.00904487,0.000131939,0.24502436,0.023571496,0.032704026,0.101146382,0.001398638,0.012283933,2.058952524,0.491430219,0.449746101,0.167905046,0.369313058,0.126849578,0.180811344,0.204481951,0.291464849,0.182747466,0.196192569,0.207578362,0.12793747,0.003914369,0.034548162,0.006895566,0.00595641,0.017374604,0.011569031,0.019047227,0.004379986,0.00480686,0.0040546,0.01123343,0.002991694,0.006959201,0.007697853,0.000107781,0.271620709,0.023436117,0.037315853,0.060590847,0.001423429,0.009219686,1.35354569,0.376909158,0.25328984,0.216202204,0.311513362,0.150175169,0.190096008,0.248539344,0.280895598,0.214736758,0.260272918,0.233761422,0.200545185,0.003945339,0.024926116,0.009054212,0.008579702,0.017620831,0.012581972,0.025582583,0.006056859,0.00674012,0.004256775,0.008656481,0.004029039,0.006013452
758.3537482,79.98370997,,,,,,,54.77502573,54.92862987,0.105470185,0.072228859,753.8461538,91.23692308,0.121028571,123.0769231,28.02547771,59.87261146,15.7,70.3125,,,0.044764348,0.011221912,0.001041509,3.989012436,0.784957018,0.196779787,-4.489886953,2021/12/24 14:56,0.063770417,7.69E-06,3.170859803,0.133220156,0.177360592,0.259514007,0.005152592,0.077450091,-34.84749502,1.494096597,-0.424405735,0.873152132,-0.604216121,0.443517887,-0.10987112,-0.329121871,0.112532008,-0.256288273,-0.007882238,0.032011773,-0.040659626,0.012164485,0.006183826,0.029850451,0.01296204,0.00980361,0.010637696,0.033135091,0.004341903,0.007738126,0.009672145,0.038780655,0.006046931,0.015821048,-0.00022686,-4.59E-08,-0.007741212,-0.000615998,-0.000144797,-0.009113559,7.24E-05,0.000136116,-0.056732328,0.006848541,0.030465087,0.039743136,-0.006530716,0.01380268,-0.022283339,-0.010292295,0.005251951,-0.0131091,-0.009912683,-0.01959348,-0.00545522,0.000340243,-0.001771889,0.001502205,0.000671894,-0.000231414,0.00055469,-0.001049003,-0.000120324,-0.000840053,-7.10E-05,0.000674427,-0.000202953,0.000153125,0.010199608,1.29E-05,0.130684312,0.024650344,0.02956267,0.118225802,0.003103812,0.009685737,1.289139506,0.503294044,0.311932674,0.283142661,0.285641459,0.192564139,0.182717203,0.178149845,0.210445743,0.161763457,0.202993576,0.256828329,0.183125642,0.008259046,0.006568185,0.014826198,0.009643026,0.005303048,0.009111222,0.022709662,0.006622696,0.006301443,0.009715691,0.031565253,0.005185489,0.006825966,0.014313066,1.12E-05,0.171336896,0.019963448,0.019489428,0.138539491,0.00403165,0.012747124,0.777385534,0.443690049,0.22222295,0.378336913,0.313335742,0.163665804,0.240592268,0.205480349,0.217449652,0.203260603,0.216216221,0.23229874,0.249351937,0.009776516,0.00828954,0.018148376,0.014231244,0.005450129,0.012230504,0.026640296,0.009279762,0.009753821,0.013672636,0.04114386,0.006467478,0.009014664
756.0856865,80.84702069,,,,,,,54.61410795,54.77396716,0.106928384,0.072232697,753.8461538,91.23692308,0.121028571,128.8461538,27.84810127,59.49367089,15.8,70.3125,,,0.04407537,0.01122397,0.001009499,3.926896675,0.782743368,0.19932874,-4.489703621,2021/12/24 14:56,0.084528131,7.04E-05,3.029695235,0.157236133,0.16884478,0.590415623,0.003410319,0.119600726,-33.80870086,0.421367539,0.23299877,0.795295169,-0.825621871,0.380624208,0.041085715,-0.425942924,0.145286746,-0.212126341,0.056081291,0.03570916,0.11357651,0.008086281,0.004629043,0.016679959,0.004187851,0.006484686,0.004792767,0.013854983,0.002093325,0.005450706,0.007241908,0.024538035,0.010822417,0.008900937,0.002495463,5.58E-05,-0.118598261,0.009454655,2.97E-05,0.107648969,9.67E-05,0.017513612,0.391439422,-0.079423737,-0.028615406,-0.079428111,0.020024675,-0.045322207,0.004453237,-0.00501992,-0.031486244,0.019960029,-0.014003598,0.022232816,-0.007380061,-0.00064847,-4.22E-05,-0.002523408,-0.000677028,-0.0002909,-0.000732724,-0.001163953,-4.44E-05,2.25E-05,-8.31E-05,-0.002901426,-7.51E-05,-0.000878048,0.017194211,0.000240489,0.545347029,0.048180859,0.020737796,0.480328491,0.000917598,0.079110747,1.80101919,0.830370159,0.312096275,0.347121565,0.347263613,0.307099521,0.14339322,0.202335931,0.163090087,0.166456387,0.189266299,0.181067945,0.162935952,0.007239801,0.003466084,0.019554757,0.003612549,0.005967398,0.004886122,0.012247712,0.002001593,0.003272654,0.005622091,0.01815367,0.012594349,0.0057424,0.013566547,0.000243101,0.585134845,0.046250112,0.018365619,0.453395298,0.00102019,0.079283086,1.592012549,0.642898806,0.352071526,0.323809352,0.36506367,0.319560433,0.157944787,0.238299335,0.188071077,0.2217011,0.220659071,0.252703471,0.156237986,0.007136287,0.003633322,0.01833205,0.004977903,0.006351213,0.004201337,0.012472507,0.002644645,0.00494412,0.007627301,0.017555162,0.018020892,0.005470749
754.8198637,81.23502179,,,,,,,54.55887243,54.72277826,0.107621733,0.072280653,753.8461538,91.23692308,0.121028571,128.8461538,27.84810127,58.86075949,15.8,70.3125,,,0.04311074,0.011220403,0.000970393,3.842173851,0.779557725,0.202894964,-4.490021435,2021/12/24 14:56,0.064541742,1.92E-05,3.046991961,0.121080965,0.153648899,0.230132498,0.008050891,0.079627949,-33.74211119,1.011020098,-0.639917103,0.366578067,-0.682282333,0.442497406,-0.402041132,-0.444618286,0.062987249,-0.293653338,0.077325189,-0.077936437,0.025473541,0.01169129,0.012445117,0.024626737,0.010922463,0.006398034,0.004953809,0.013469778,0.009600771,0.013828536,0.01142328,0.012568178,0.006578396,0.015315974,-0.001406534,-5.54E-05,0.078611958,-0.008313631,-0.000756689,-0.094493538,0.000419467,-0.016787659,-0.262261562,0.022318463,-0.005640929,0.016360363,-0.029429966,0.096123342,-0.009457699,-0.003032807,0.022666869,-0.005473893,0.037917582,-0.020467614,-0.001111554,0.000390767,0.00013959,0.000129139,9.50E-05,-1.34E-05,0.000208043,0.000921013,0.002015207,0.000174749,0.000148496,0.000268629,0.000317597,0.000478687,0.01392107,2.77E-05,0.315163652,0.029048526,0.028688782,0.172214744,0.003897431,0.017379035,1.073960972,0.667057112,0.64359735,0.519789328,0.352968253,0.508457612,0.208288015,0.333343595,0.284391288,0.283030726,0.2738347,0.348446974,0.276313338,0.008784552,0.016007509,0.034071213,0.01064549,0.005770798,0.005113433,0.009928165,0.019133944,0.024592445,0.017472516,0.013511843,0.005527997,0.006903533,0.016023402,0.000215413,0.574443339,0.037518259,0.028103458,0.467190563,0.00514314,0.084592535,0.986158171,0.603388867,0.358744924,0.402272026,0.352884342,0.205287769,0.264699345,0.286613016,0.324197831,0.234748889,0.224171543,0.318332276,0.266133949,0.009475944,0.025623232,0.028989637,0.012570196,0.007347565,0.007188071,0.014320302,0.017705345,0.026937889,0.02595099,0.011017157,0.005764321,0.009712426
