Time,ECG
2021-12-24 15:58:01.686953,162
2021-12-24 15:58:01.686968,89
2021-12-24 15:58:01.686974,106
2021-12-24 15:58:01.686979,122
2021-12-24 15:58:01.686983,91
2021-12-24 15:58:01.686988,84
2021-12-24 15:58:01.686992,84
2021-12-24 15:58:01.686997,68
2021-12-24 15:58:01.687014,56
2021-12-24 15:58:01.687019,51
2021-12-24 15:58:01.687023,42
2021-12-24 15:58:01.687027,25
2021-12-24 15:58:01.687031,9
2021-12-24 15:58:01.687035,-7
2021-12-24 15:58:01.687039,-28
2021-12-24 15:58:01.687043,-49
2021-12-24 15:58:01.687047,-70
2021-12-24 15:58:01.687051,-96
2021-12-24 15:58:01.687055,-120
2021-12-24 15:58:01.687059,-131
2021-12-24 15:58:01.687063,-139
2021-12-24 15:58:01.687067,-146
2021-12-24 15:58:01.687071,-143
2021-12-24 15:58:01.687075,-143
2021-12-24 15:58:01.687079,-139
2021-12-24 15:58:01.687083,-117
2021-12-24 15:58:01.687088,-80
2021-12-24 15:58:01.687092,-35
2021-12-24 15:58:01.687096,4
2021-12-24 15:58:01.687100,37
2021-12-24 15:58:01.808539,63
2021-12-24 15:58:01.808560,82
2021-12-24 15:58:01.808569,89
2021-12-24 15:58:01.808575,87
2021-12-24 15:58:01.808582,84
2021-12-24 15:58:01.808588,82
2021-12-24 15:58:01.808596,80
2021-12-24 15:58:01.808602,77
2021-12-24 15:58:01.808609,70
2021-12-24 15:58:01.808615,68
2021-12-24 15:58:01.808621,65
2021-12-24 15:58:01.808627,58
2021-12-24 15:58:01.808634,56
2021-12-24 15:58:01.808640,56
2021-12-24 15:58:01.808646,51
2021-12-24 15:58:01.808652,49
2021-12-24 15:58:01.808659,49
2021-12-24 15:58:01.808665,49
2021-12-24 15:58:01.808672,51
2021-12-24 15:58:01.808678,51
2021-12-24 15:58:01.808684,51
2021-12-24 15:58:01.808690,54
2021-12-24 15:58:01.808697,49
2021-12-24 15:58:01.808703,47
2021-12-24 15:58:01.808709,49
2021-12-24 15:58:01.808715,54
2021-12-24 15:58:01.808722,49
2021-12-24 15:58:01.808728,28
2021-12-24 15:58:01.808734,0
2021-12-24 15:58:01.808742,-4
2021-12-24 15:58:01.944394,7
2021-12-24 15:58:01.944425,18
2021-12-24 15:58:01.944437,28
2021-12-24 15:58:01.944448,40
2021-12-24 15:58:01.944457,49
2021-12-24 15:58:01.944467,44
2021-12-24 15:58:01.944477,47
2021-12-24 15:58:01.944487,51
2021-12-24 15:58:01.944497,47
2021-12-24 15:58:01.944506,42
2021-12-24 15:58:01.944516,42
2021-12-24 15:58:01.944526,56
2021-12-24 15:58:01.944536,54
2021-12-24 15:58:01.944552,-164
2021-12-24 15:58:01.944562,-612
2021-12-24 15:58:01.944572,-727
2021-12-24 15:58:01.944582,-134
2021-12-24 15:58:01.944592,417
2021-12-24 15:58:01.944602,233
2021-12-24 15:58:01.944612,0
2021-12-24 15:58:01.944622,115
2021-12-24 15:58:01.944632,117
2021-12-24 15:58:01.944642,25
2021-12-24 15:58:01.944651,58
2021-12-24 15:58:01.944661,80
2021-12-24 15:58:01.944670,47
2021-12-24 15:58:01.944680,42
2021-12-24 15:58:01.944690,49
2021-12-24 15:58:01.944700,30
2021-12-24 15:58:01.944712,14
2021-12-24 15:58:02.214798,11
2021-12-24 15:58:02.214820,4
2021-12-24 15:58:02.214828,-9
2021-12-24 15:58:02.214835,-30
2021-12-24 15:58:02.214841,-49
2021-12-24 15:58:02.214847,-61
2021-12-24 15:58:02.214853,-75
2021-12-24 15:58:02.214860,-98
2021-12-24 15:58:02.214866,-124
2021-12-24 15:58:02.214872,-150
2021-12-24 15:58:02.214878,-171
2021-12-24 15:58:02.214885,-181
2021-12-24 15:58:02.214891,-181
2021-12-24 15:58:02.214897,-179
2021-12-24 15:58:02.214903,-174
2021-12-24 15:58:02.214910,-164
2021-12-24 15:58:02.214916,-139
2021-12-24 15:58:02.214926,-98
2021-12-24 15:58:02.214933,-54
2021-12-24 15:58:02.214939,-7
2021-12-24 15:58:02.214945,37
2021-12-24 15:58:02.214952,65
2021-12-24 15:58:02.214958,75
2021-12-24 15:58:02.214964,82
2021-12-24 15:58:02.214971,87
2021-12-24 15:58:02.214977,89
2021-12-24 15:58:02.214983,91
2021-12-24 15:58:02.214989,87
2021-12-24 15:58:02.214996,80
2021-12-24 15:58:02.215002,82
2021-12-24 15:58:02.483921,84
2021-12-24 15:58:02.483951,84
2021-12-24 15:58:02.483963,84
2021-12-24 15:58:02.483973,73
2021-12-24 15:58:02.483983,61
2021-12-24 15:58:02.483993,63
2021-12-24 15:58:02.484002,73
2021-12-24 15:58:02.484020,70
2021-12-24 15:58:02.484030,63
2021-12-24 15:58:02.484040,58
2021-12-24 15:58:02.484049,63
2021-12-24 15:58:02.484059,70
2021-12-24 15:58:02.484069,73
2021-12-24 15:58:02.484079,70
2021-12-24 15:58:02.484088,61
2021-12-24 15:58:02.484098,44
2021-12-24 15:58:02.484108,32
2021-12-24 15:58:02.484117,30
2021-12-24 15:58:02.484127,40
2021-12-24 15:58:02.484137,51
2021-12-24 15:58:02.484146,58
2021-12-24 15:58:02.484156,73
2021-12-24 15:58:02.484166,87
2021-12-24 15:58:02.484175,89
2021-12-24 15:58:02.484185,84
2021-12-24 15:58:02.484195,84
2021-12-24 15:58:02.484204,82
2021-12-24 15:58:02.484214,75
2021-12-24 15:58:02.484224,82
2021-12-24 15:58:02.484235,117
2021-12-24 15:58:02.664998,82
2021-12-24 15:58:02.665029,-247
2021-12-24 15:58:02.665041,-711
2021-12-24 15:58:02.665052,-640
2021-12-24 15:58:02.665062,94
2021-12-24 15:58:02.665072,501
2021-12-24 15:58:02.665082,200
2021-12-24 15:58:02.665091,56
2021-12-24 15:58:02.665101,193
2021-12-24 15:58:02.665111,146
2021-12-24 15:58:02.665121,77
2021-12-24 15:58:02.665131,124
2021-12-24 15:58:02.665141,122
2021-12-24 15:58:02.665151,84
2021-12-24 15:58:02.665161,84
2021-12-24 15:58:02.665171,87
2021-12-24 15:58:02.665181,75
2021-12-24 15:58:02.665190,68
2021-12-24 15:58:02.665200,61
2021-12-24 15:58:02.665210,47
2021-12-24 15:58:02.665220,32
2021-12-24 15:58:02.665230,18
2021-12-24 15:58:02.665240,0
2021-12-24 15:58:02.665250,-18
2021-12-24 15:58:02.665268,-32
2021-12-24 15:58:02.665278,-56
2021-12-24 15:58:02.665288,-82
2021-12-24 15:58:02.665298,-103
2021-12-24 15:58:02.665308,-113
2021-12-24 15:58:02.665318,-117
2021-12-24 15:58:02.934443,-117
2021-12-24 15:58:02.934463,-115
2021-12-24 15:58:02.934470,-108
2021-12-24 15:58:02.934475,-87
2021-12-24 15:58:02.934481,-47
2021-12-24 15:58:02.934486,2
2021-12-24 15:58:02.934492,51
2021-12-24 15:58:02.934497,89
2021-12-24 15:58:02.934502,113
2021-12-24 15:58:02.934507,127
2021-12-24 15:58:02.934512,129
2021-12-24 15:58:02.934517,136
2021-12-24 15:58:02.934522,139
2021-12-24 15:58:02.934528,131
2021-12-24 15:58:02.934533,127
2021-12-24 15:58:02.934538,127
2021-12-24 15:58:02.934543,127
2021-12-24 15:58:02.934548,122
2021-12-24 15:58:02.934553,122
2021-12-24 15:58:02.934558,120
2021-12-24 15:58:02.934564,115
2021-12-24 15:58:02.934569,113
2021-12-24 15:58:02.934576,113
2021-12-24 15:58:02.934581,113
2021-12-24 15:58:02.934586,108
2021-12-24 15:58:02.934592,106
2021-12-24 15:58:02.934597,110
2021-12-24 15:58:02.934602,115
2021-12-24 15:58:02.934607,115
2021-12-24 15:58:02.934612,115
2021-12-24 15:58:03.113698,117
2021-12-24 15:58:03.113716,117
2021-12-24 15:58:03.113722,122
2021-12-24 15:58:03.113728,120
2021-12-24 15:58:03.113733,106
2021-12-24 15:58:03.113738,87
2021-12-24 15:58:03.113743,80
2021-12-24 15:58:03.113748,87
2021-12-24 15:58:03.113753,98
2021-12-24 15:58:03.113758,108
2021-12-24 15:58:03.113763,120
2021-12-24 15:58:03.113769,131
2021-12-24 15:58:03.113774,129
2021-12-24 15:58:03.113779,122
2021-12-24 15:58:03.113784,122
2021-12-24 15:58:03.113789,120
2021-12-24 15:58:03.113794,117
2021-12-24 15:58:03.113799,124
2021-12-24 15:58:03.113804,157
2021-12-24 15:58:03.113809,127
2021-12-24 15:58:03.113814,-209
2021-12-24 15:58:03.113820,-742
2021-12-24 15:58:03.113825,-808
2021-12-24 15:58:03.113830,-124
2021-12-24 15:58:03.113841,442
2021-12-24 15:58:03.113846,280
2021-12-24 15:58:03.113851,89
2021-12-24 15:58:03.113856,204
2021-12-24 15:58:03.113861,212
2021-12-24 15:58:03.113866,141
2021-12-24 15:58:03.384184,164
2021-12-24 15:58:03.384211,176
2021-12-24 15:58:03.384223,148
2021-12-24 15:58:03.384233,146
2021-12-24 15:58:03.384243,148
2021-12-24 15:58:03.384253,131
2021-12-24 15:58:03.384263,117
2021-12-24 15:58:03.384272,113
2021-12-24 15:58:03.384282,101
2021-12-24 15:58:03.384292,87
2021-12-24 15:58:03.384302,75
2021-12-24 15:58:03.384311,58
2021-12-24 15:58:03.384321,35
2021-12-24 15:58:03.384331,11
2021-12-24 15:58:03.384341,-14
2021-12-24 15:58:03.384351,-42
2021-12-24 15:58:03.384360,-63
2021-12-24 15:58:03.384370,-75
2021-12-24 15:58:03.384380,-84
2021-12-24 15:58:03.384390,-87
2021-12-24 15:58:03.384399,-84
2021-12-24 15:58:03.384409,-77
2021-12-24 15:58:03.384418,-61
2021-12-24 15:58:03.384428,-32
2021-12-24 15:58:03.384438,11
2021-12-24 15:58:03.384447,61
2021-12-24 15:58:03.384457,101
2021-12-24 15:58:03.384467,129
2021-12-24 15:58:03.384477,146
2021-12-24 15:58:03.384486,155
2021-12-24 15:58:03.608476,160
2021-12-24 15:58:03.608506,162
2021-12-24 15:58:03.608518,160
2021-12-24 15:58:03.608528,155
2021-12-24 15:58:03.608538,148
2021-12-24 15:58:03.608548,141
2021-12-24 15:58:03.608558,131
2021-12-24 15:58:03.608568,131
2021-12-24 15:58:03.608578,129
2021-12-24 15:58:03.608588,124
2021-12-24 15:58:03.608598,122
2021-12-24 15:58:03.608608,120
2021-12-24 15:58:03.608618,120
2021-12-24 15:58:03.608628,120
2021-12-24 15:58:03.608638,120
2021-12-24 15:58:03.608648,117
2021-12-24 15:58:03.608657,115
2021-12-24 15:58:03.608667,110
2021-12-24 15:58:03.608677,110
2021-12-24 15:58:03.608687,115
2021-12-24 15:58:03.608697,115
2021-12-24 15:58:03.608707,117
2021-12-24 15:58:03.608717,113
2021-12-24 15:58:03.608727,98
2021-12-24 15:58:03.608736,75
2021-12-24 15:58:03.608746,73
2021-12-24 15:58:03.608756,87
2021-12-24 15:58:03.608766,98
2021-12-24 15:58:03.608776,106
2021-12-24 15:58:03.608786,117
2021-12-24 15:58:03.834728,127
2021-12-24 15:58:03.834749,122
2021-12-24 15:58:03.834757,120
2021-12-24 15:58:03.834764,120
2021-12-24 15:58:03.834770,115
2021-12-24 15:58:03.834777,108
2021-12-24 15:58:03.834783,113
2021-12-24 15:58:03.834790,150
2021-12-24 15:58:03.834796,122
2021-12-24 15:58:03.834802,-219
2021-12-24 15:58:03.834814,-753
2021-12-24 15:58:03.834821,-808
2021-12-24 15:58:03.834827,-120
2021-12-24 15:58:03.834834,433
2021-12-24 15:58:03.834840,270
2021-12-24 15:58:03.834847,87
2021-12-24 15:58:03.834853,202
2021-12-24 15:58:03.834859,209
2021-12-24 15:58:03.834866,141
2021-12-24 15:58:03.834872,164
2021-12-24 15:58:03.834879,171
2021-12-24 15:58:03.834885,134
2021-12-24 15:58:03.834891,129
2021-12-24 15:58:03.834898,134
2021-12-24 15:58:03.834904,120
2021-12-24 15:58:03.834910,108
2021-12-24 15:58:03.834917,103
2021-12-24 15:58:03.834923,89
2021-12-24 15:58:03.834929,70
2021-12-24 15:58:03.834936,61
2021-12-24 15:58:04.059837,56
2021-12-24 15:58:04.059868,42
2021-12-24 15:58:04.059879,23
2021-12-24 15:58:04.059889,0
2021-12-24 15:58:04.059899,-23
2021-12-24 15:58:04.059909,-44
2021-12-24 15:58:04.059918,-56
2021-12-24 15:58:04.059928,-61
2021-12-24 15:58:04.059938,-63
2021-12-24 15:58:04.059947,-73
2021-12-24 15:58:04.059957,-82
2021-12-24 15:58:04.059967,-73
2021-12-24 15:58:04.059976,-7
2021-12-24 15:58:04.059986,80
2021-12-24 15:58:04.059996,115
2021-12-24 15:58:04.060005,129
2021-12-24 15:58:04.060015,164
2021-12-24 15:58:04.060024,195
2021-12-24 15:58:04.060034,200
2021-12-24 15:58:04.060043,195
2021-12-24 15:58:04.060053,193
2021-12-24 15:58:04.060063,190
2021-12-24 15:58:04.060072,183
2021-12-24 15:58:04.060082,181
2021-12-24 15:58:04.060091,181
2021-12-24 15:58:04.060105,179
2021-12-24 15:58:04.060115,174
2021-12-24 15:58:04.060125,169
2021-12-24 15:58:04.060134,167
2021-12-24 15:58:04.060144,164
2021-12-24 15:58:04.283762,160
2021-12-24 15:58:04.283779,160
2021-12-24 15:58:04.283785,157
2021-12-24 15:58:04.283791,150
2021-12-24 15:58:04.283796,143
2021-12-24 15:58:04.283801,143
2021-12-24 15:58:04.283806,146
2021-12-24 15:58:04.283812,143
2021-12-24 15:58:04.283817,139
2021-12-24 15:58:04.283822,131
2021-12-24 15:58:04.283827,129
2021-12-24 15:58:04.283833,134
2021-12-24 15:58:04.283838,134
2021-12-24 15:58:04.283843,122
2021-12-24 15:58:04.283848,98
2021-12-24 15:58:04.283853,77
2021-12-24 15:58:04.283858,77
2021-12-24 15:58:04.283864,91
2021-12-24 15:58:04.283869,108
2021-12-24 15:58:04.283874,117
2021-12-24 15:58:04.283879,122
2021-12-24 15:58:04.283885,124
2021-12-24 15:58:04.283890,124
2021-12-24 15:58:04.283895,122
2021-12-24 15:58:04.283900,120
2021-12-24 15:58:04.283905,110
2021-12-24 15:58:04.283910,101
2021-12-24 15:58:04.283916,108
2021-12-24 15:58:04.283921,150
2021-12-24 15:58:04.283926,61
2021-12-24 15:58:04.554505,-358
2021-12-24 15:58:04.554537,-789
2021-12-24 15:58:04.554548,-553
2021-12-24 15:58:04.554559,179
2021-12-24 15:58:04.554569,412
2021-12-24 15:58:04.554579,141
2021-12-24 15:58:04.554588,110
2021-12-24 15:58:04.554598,214
2021-12-24 15:58:04.554608,150
2021-12-24 15:58:04.554617,115
2021-12-24 15:58:04.554627,157
2021-12-24 15:58:04.554637,146
2021-12-24 15:58:04.554646,115
2021-12-24 15:58:04.554656,120
2021-12-24 15:58:04.554666,117
2021-12-24 15:58:04.554675,96
2021-12-24 15:58:04.554690,84
2021-12-24 15:58:04.554700,77
2021-12-24 15:58:04.554710,63
2021-12-24 15:58:04.554719,56
