HRV_MeanNN,HRV_SDNN,HRV_SDANN1,HRV_SDNNI1,HRV_SDANN2,HRV_SDNNI2,HRV_SDANN5,HRV_SDNNI5,HRV_RMSSD,HRV_SDSD,HRV_CVNN,HRV_CVSD,HRV_MedianNN,HRV_MadNN,HRV_MCVNN,HRV_IQRNN,HRV_pNN50,HRV_pNN20,HRV_HTI,HRV_TINN,HRV_ULF,HRV_VLF,HRV_LF,HRV_HF,HRV_VHF,HRV_LFHF,HRV_LFn,HRV_HFn,HRV_LnHF,Time,zcr_mean,energy_mean,energy_entropy_mean,spectral_centroid_mean,spectral_spread_mean,spectral_entropy_mean,spectral_flux_mean,spectral_rolloff_mean,mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,mfcc_6_mean,mfcc_7_mean,mfcc_8_mean,mfcc_9_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_13_mean,chroma_1_mean,chroma_2_mean,chroma_3_mean,chroma_4_mean,chroma_5_mean,chroma_6_mean,chroma_7_mean,chroma_8_mean,chroma_9_mean,chroma_10_mean,chroma_11_mean,chroma_12_mean,chroma_std_mean,delta zcr_mean,delta energy_mean,delta energy_entropy_mean,delta spectral_centroid_mean,delta spectral_spread_mean,delta spectral_entropy_mean,delta spectral_flux_mean,delta spectral_rolloff_mean,delta mfcc_1_mean,delta mfcc_2_mean,delta mfcc_3_mean,delta mfcc_4_mean,delta mfcc_5_mean,delta mfcc_6_mean,delta mfcc_7_mean,delta mfcc_8_mean,delta mfcc_9_mean,delta mfcc_10_mean,delta mfcc_11_mean,delta mfcc_12_mean,delta mfcc_13_mean,delta chroma_1_mean,delta chroma_2_mean,delta chroma_3_mean,delta chroma_4_mean,delta chroma_5_mean,delta chroma_6_mean,delta chroma_7_mean,delta chroma_8_mean,delta chroma_9_mean,delta chroma_10_mean,delta chroma_11_mean,delta chroma_12_mean,delta chroma_std_mean,zcr_std,energy_std,energy_entropy_std,spectral_centroid_std,spectral_spread_std,spectral_entropy_std,spectral_flux_std,spectral_rolloff_std,mfcc_1_std,mfcc_2_std,mfcc_3_std,mfcc_4_std,mfcc_5_std,mfcc_6_std,mfcc_7_std,mfcc_8_std,mfcc_9_std,mfcc_10_std,mfcc_11_std,mfcc_12_std,mfcc_13_std,chroma_1_std,chroma_2_std,chroma_3_std,chroma_4_std,chroma_5_std,chroma_6_std,chroma_7_std,chroma_8_std,chroma_9_std,chroma_10_std,chroma_11_std,chroma_12_std,chroma_std_std,delta zcr_std,delta energy_std,delta energy_entropy_std,delta spectral_centroid_std,delta spectral_spread_std,delta spectral_entropy_std,delta spectral_flux_std,delta spectral_rolloff_std,delta mfcc_1_std,delta mfcc_2_std,delta mfcc_3_std,delta mfcc_4_std,delta mfcc_5_std,delta mfcc_6_std,delta mfcc_7_std,delta mfcc_8_std,delta mfcc_9_std,delta mfcc_10_std,delta mfcc_11_std,delta mfcc_12_std,delta mfcc_13_std,delta chroma_1_std,delta chroma_2_std,delta chroma_3_std,delta chroma_4_std,delta chroma_5_std,delta chroma_6_std,delta chroma_7_std,delta chroma_8_std,delta chroma_9_std,delta chroma_10_std,delta chroma_11_std,delta chroma_12_std,delta chroma_std_std
636.445907,36.07201035,,,,,,,18.68114491,18.73041888,0.05667726,0.02935229,638.4615385,34.21384615,0.053587952,53.84615385,0,32.0855615,9.35,148.4375,,,0.031544682,0.017886362,0.0006257,1.763616397,0.630178458,0.357321728,-4.023716743,2021/12/24 16:10,0.055921053,0.003661603,2.999603805,0.127292345,0.168960382,0.46062515,0.007080517,0.077540835,-29.31997309,2.07052415,-0.317991341,-0.014808926,-0.089811134,0.075372051,-0.34173294,-0.074408248,-0.118181467,-0.147580387,-0.087646193,-0.183399984,-0.291018281,0.030168281,0.010597048,0.037046002,0.015905626,0.019242182,0.01228054,0.025912125,0.015946788,0.008625868,0.012473136,0.016577863,0.007542868,0.017814577,-0.003584392,6.31E-05,0.045608581,-0.003304928,-0.002723361,-0.014272829,0.000310308,-0.000544465,0.33801798,0.013484272,-0.053999736,-0.030526266,-0.028863151,-0.009462941,-0.029224824,-0.009293603,0.023507865,0.016533,0.003538154,-0.031857499,-0.023500096,0.004222425,0.002320766,8.64E-05,-0.000673043,-0.002736631,-0.00183189,-0.001798544,0.000822912,0.000229602,-0.001528911,-0.00083723,0.000181845,0.000264243,0.029194676,0.006268076,0.535535613,0.036556056,0.03359605,0.407017628,0.007358782,0.046762255,2.952340451,0.764741438,0.675816834,0.431000906,0.283092076,0.310290904,0.266619184,0.220783325,0.19567525,0.242955141,0.179275784,0.358439706,0.234039796,0.028666885,0.015244711,0.023419733,0.01062497,0.017065061,0.014212095,0.023870818,0.029713119,0.00913983,0.010550279,0.012614457,0.007741129,0.009038957,0.034096998,0.006365765,0.736915651,0.035031832,0.037516819,0.524771244,0.005928837,0.062339547,1.662466583,0.623021117,0.571905659,0.410474754,0.282083501,0.350884876,0.326154434,0.271249914,0.218257665,0.284282615,0.224467309,0.188630265,0.183745827,0.021031771,0.009549883,0.0342512,0.012800402,0.018347913,0.015991492,0.033634097,0.041867274,0.011168549,0.00956721,0.013764279,0.008545783,0.008122382
636.9395311,36.65604755,,,,,,,18.74913839,18.79860004,0.057550279,0.029436293,638.4615385,34.21384615,0.053587952,53.84615385,0,32.0855615,9.35,148.4375,,,0.034548889,0.019026404,0.000687292,1.81583908,0.636698172,0.350635791,-3.961927562,2021/12/24 16:10,0.037318512,0.029221276,3.112119197,0.092442161,0.14424439,0.152134631,0.018917592,0.054582577,-25.42402729,2.254857968,-1.602973522,-0.090601691,-0.055088355,0.133249096,-0.402759751,-0.390710692,-0.225512224,-0.585773657,-0.247466891,-0.162061441,0.022552095,0.014976828,0.008750405,0.017738665,0.01844898,0.035736293,0.012228253,0.01777242,0.013180796,0.014618075,0.007123406,0.017527386,0.011444918,0.022016902,-4.54E-05,0.000815796,-0.006781957,-0.000203866,0.001066133,-0.003812441,0.000311813,9.07E-05,0.093839213,0.012573171,-0.053797413,0.019852862,0.018070346,0.020932087,0.007937755,-0.046660383,-0.053035023,-0.044153389,-0.031923549,0.037248485,0.061355367,-0.004338566,-0.002587469,-0.000899558,0.000376552,0.007605464,0.002043814,-5.31E-05,-0.000762256,-0.000330666,-0.000325225,0.000170645,-0.000190989,0.000955986,0.027014808,0.029294317,0.273639539,0.034469206,0.041697754,0.350217537,0.012277756,0.04452686,2.536133366,0.86177403,0.625635803,0.486997956,0.294201232,0.296471448,0.364459847,0.354858132,0.361434913,0.361010432,0.424135227,0.392064238,0.50643466,0.020202781,0.012505529,0.022390041,0.021292541,0.043575246,0.016455318,0.02421334,0.025445494,0.023794313,0.012707342,0.031522418,0.014342045,0.010752665,0.032654294,0.022127481,0.40231836,0.048412516,0.066812302,0.417190595,0.016327661,0.050936387,2.061644404,0.843136769,0.666019734,0.569472915,0.359002869,0.3588617,0.346544798,0.449909812,0.351523968,0.392543173,0.358168086,0.426275239,0.4667388,0.031873155,0.020800163,0.023684061,0.031739647,0.034965796,0.022345507,0.03274995,0.037872535,0.035565646,0.01916791,0.047867577,0.020815734,0.014024566
636.9806664,36.70544109,,,,,,,18.87596602,18.92673168,0.057624105,0.029633499,638.4615385,34.21384615,0.053587952,53.84615385,0,32.62032086,9.35,148.4375,,,0.036046767,0.019308809,0.000721803,1.866856067,0.642804068,0.344324386,-3.94719386,2021/12/24 16:10,0.025839383,0.022042184,2.90473367,0.094202908,0.158299283,0.086809514,0.023089687,0.038747731,-25.35672667,2.81123778,-0.91242401,-0.480934215,-0.452602509,0.007264105,-0.315308632,-0.438584225,-0.312503225,-0.5750437,-0.354451828,-0.228284256,0.093398536,0.006339553,0.013248888,0.01891739,0.042943207,0.067860622,0.019016708,0.018641595,0.009207467,0.010526503,0.005850803,0.004861611,0.002729564,0.031141397,2.27E-05,-8.05E-06,0.014602166,-0.001467592,-0.003726636,0.000436001,0.000881679,-0.000181488,0.011734068,0.00663157,0.029591744,-0.034836853,-0.038043718,-0.000640436,-0.009275771,0.040817652,0.036216135,0.025254567,0.05262137,-0.047292137,-0.063343756,0.002392052,0.00248147,0.001492693,-0.000487788,-0.007809565,-0.002110941,-6.10E-05,0.005203122,6.49E-05,-1.44E-05,-0.000395144,0.000232335,-0.000626833,0.0142207,0.017313716,0.527459409,0.028583943,0.045038274,0.136085152,0.011867853,0.03840856,1.210709052,0.665279938,0.684813101,0.535129495,0.384976805,0.233409424,0.242020883,0.368787029,0.279813461,0.313398446,0.500612508,0.501949844,0.423800548,0.010485151,0.021107867,0.018062845,0.052729019,0.070078382,0.020095082,0.033055349,0.023398981,0.014879907,0.007667105,0.00421378,0.002393737,0.015778344,0.017864997,0.022925256,0.801849807,0.036644398,0.05379731,0.18804775,0.019104328,0.047484057,1.342278381,0.894417448,0.633534857,0.624616971,0.488815187,0.337360746,0.323037937,0.320090308,0.342214904,0.430169752,0.537435981,0.60025255,0.465681934,0.01126413,0.021819625,0.021277734,0.075668774,0.072467679,0.029866494,0.04689214,0.02465848,0.024089408,0.011825757,0.00540217,0.003584443,0.020235928
636.9395311,36.63868603,,,,,,,18.79997211,18.85066876,0.057523021,0.029516102,638.4615385,34.21384615,0.053587952,53.84615385,0,32.0855615,9.35,117.1875,,,0.0369401,0.019280516,0.000745938,1.915928955,0.648452413,0.338453267,-3.948660208,2021/12/24 16:10,0.034732305,0.006201274,3.10806429,0.082757798,0.129997078,0.118848691,0.01762707,0.050771325,-26.56318607,2.227780509,-0.720738092,-0.076604857,-0.293182462,0.04973818,-0.382099175,-0.311597961,-0.053204233,-0.393020109,-0.006729152,-0.420178588,-0.426155408,0.050004015,0.014742479,0.040320164,0.011289291,0.007296465,0.016530617,0.028484511,0.011740581,0.00449768,0.004486942,0.014888704,0.020936175,0.027419039,0.001678766,-0.000847367,-0.002439881,0.001672993,0.001162834,0.010718588,-0.001133964,0.002041742,-0.115170752,-0.056213051,0.00299116,0.057326066,0.048816931,-0.004745342,0.021271887,-0.018729086,-0.003046589,-0.005074312,-0.018197181,0.042424571,0.017976867,-0.001614506,-0.002347525,8.77E-05,0.000275331,0.000391264,0.001047765,0.000812299,-0.004469118,0.00010606,0.000446447,8.96E-05,-9.78E-05,-0.00111506,0.020776473,0.00671763,0.337535472,0.02302316,0.033993148,0.164059033,0.009791328,0.036142448,1.454897306,0.830942664,0.569408931,0.676940189,0.426319218,0.358147013,0.386822652,0.298211705,0.229715901,0.383189143,0.307544929,0.30692029,0.462811527,0.036770876,0.021823115,0.04636334,0.01753217,0.008258439,0.025373414,0.039291641,0.017370523,0.008464487,0.004137344,0.025765451,0.027092686,0.010287227,0.024945593,0.007257409,0.475545146,0.026613978,0.04809446,0.229511245,0.010833112,0.047091621,1.617360954,0.913352951,0.602539983,0.349808409,0.466330625,0.473389714,0.433929696,0.325049251,0.316517042,0.422036991,0.373709231,0.41300252,0.52278901,0.042196845,0.02292635,0.062344027,0.025559408,0.007557821,0.030200253,0.057857289,0.031893552,0.012480631,0.006323694,0.025605107,0.03554418,0.013033232
636.7749897,36.49222487,,,,,,,18.86753737,18.91732576,0.05730788,0.029629834,638.4615385,34.21384615,0.053587952,53.84615385,0,32.62032086,9.35,117.1875,,,0.034371036,0.01743547,0.000702309,1.971328342,0.654576491,0.332048435,-4.049248655,2021/12/24 16:10,0.032577132,0.005001886,2.766667777,0.08134123,0.136734715,0.105688555,0.016034563,0.036297641,-27.54051813,3.191422726,-0.862812789,-0.552030012,-0.260046065,0.103066188,-0.257782372,-0.370342468,-0.16323937,-0.413887264,-0.274715634,-0.27034438,-0.102351267,0.036755157,0.005854172,0.027216454,0.019203393,0.051160363,0.015491664,0.011270979,0.004649698,0.004691116,0.00568529,0.024403411,0.016673762,0.026459841,-0.001792196,2.39E-05,-0.016657335,-1.38E-05,0.002960542,-0.010370325,0.00086674,-0.002132486,-0.076016576,0.088351442,0.034344144,-0.047958249,-0.008588119,0.011539604,0.008827091,0.001863514,0.006943097,-0.002500476,-0.004238268,-0.017112916,-0.003692698,0.006825648,-0.000103089,0.000300759,-1.38E-05,-0.000352501,-0.000812145,0.000953121,-0.000644236,-0.000144963,-0.000304983,9.81E-05,0.000970507,0.001614852,0.022234435,0.006584878,0.515391477,0.030097592,0.032091395,0.177892048,0.013037028,0.020414398,1.372486516,0.742920117,0.809963118,0.564949473,0.474489598,0.338788157,0.342410271,0.288945771,0.281217199,0.320243999,0.230484939,0.204675473,0.400117655,0.03978359,0.011065691,0.020516857,0.018566231,0.064347111,0.011953946,0.010049186,0.005611051,0.004523342,0.005578178,0.02666607,0.028606642,0.013439597,0.02644201,0.007314521,0.674560712,0.040638973,0.041540402,0.24588378,0.018277961,0.030703539,1.716136415,0.901433651,0.81844449,0.549998705,0.427281199,0.380619954,0.406670269,0.419007782,0.31209435,0.37899974,0.355731279,0.31305062,0.417103751,0.045253055,0.015530202,0.032841094,0.026504373,0.068159008,0.015703135,0.014316711,0.006115048,0.005334789,0.007990728,0.035180907,0.037395427,0.015076859
636.1579597,36.20875556,,,,,,,18.91805296,18.96798073,0.056917869,0.02973798,638.4615385,34.21384615,0.053587952,53.84615385,0,32.62032086,9.35,117.1875,,,0.031897377,0.015806852,0.000659835,2.017946246,0.659526408,0.326830513,-4.147311772,2021/12/24 16:10,0.029945554,0.001773484,2.928731946,0.094156336,0.154344373,0.090546458,0.014999567,0.034119782,-29.32553116,2.980897691,-0.673638157,-0.252140563,-0.300271226,0.280263815,0.094266395,-0.143117221,-0.064473056,-0.362122077,-0.17644334,-0.358481989,-0.317376241,0.065085112,0.008209132,0.034036654,0.0125972,0.013124292,0.008588689,0.011340938,0.00375157,0.005528211,0.008091896,0.032495017,0.011133594,0.025294638,0.000567151,-4.16E-05,-0.005603303,-0.000211685,-0.001435725,0.000611022,-0.000569334,9.07E-05,-0.117506219,-0.029099044,0.004096874,0.023530392,-0.008327616,0.041466454,-0.006532037,0.008127622,0.009526122,0.006802724,-0.001919424,-0.022490403,-0.013998131,-0.005283359,0.000901536,0.004830151,6.99E-05,-1.48E-05,-0.000182352,-0.001065618,0.000918985,0.00013078,7.63E-05,0.000265377,-0.001122761,-0.000249999,0.013771744,0.003951935,0.306328601,0.026965943,0.035855247,0.078562094,0.011090512,0.017098462,1.646966896,0.813896185,0.841514018,0.681555049,0.32422359,0.426346286,0.194558156,0.229926356,0.206645207,0.143395702,0.226487814,0.276856985,0.203774587,0.061839965,0.012457825,0.033773631,0.01321384,0.017151215,0.007384224,0.009180573,0.00610147,0.007449516,0.004901229,0.033377671,0.011311685,0.014722014,0.014889276,0.004974389,0.425388119,0.032744106,0.042352507,0.112088156,0.01625229,0.017612072,2.135484203,0.835628234,0.898412589,0.716627221,0.42802809,0.277230557,0.245932369,0.316753689,0.202875204,0.235809988,0.264779078,0.37310527,0.255497646,0.072921229,0.015863154,0.041446612,0.019250898,0.023347156,0.011750406,0.01448467,0.006386596,0.007399865,0.005709653,0.045991719,0.015482496,0.01612075
635.8428805,36.12487687,,,,,,,18.95107172,18.9997536,0.056814156,0.029804646,638.4615385,34.21384615,0.053587952,53.84615385,0,32.9787234,9.894736842,117.1875,,,0.030598782,0.01494217,0.000638688,2.047813753,0.662603303,0.323566194,-4.203567833,2021/12/24 16:10,0.062568058,0.006022999,3.055656455,0.118227352,0.149071523,0.415535814,0.009438186,0.082849365,-28.26518231,1.040110642,-0.331218284,-0.002180329,-0.559080118,0.454349624,-0.474380215,-0.145364191,-0.087564906,-0.463096469,0.053751307,-0.11746192,-0.191189403,0.014187481,0.005716463,0.025531929,0.033367946,0.034840708,0.008316685,0.01152749,0.003562559,0.005939275,0.006289158,0.008699966,0.007293497,0.017324843,0.000476407,8.09E-05,0.020726998,0.00046958,-0.000184063,0.006919153,-4.41E-05,0.002813067,0.2531155,-0.071052255,0.013059676,0.033433766,0.012077575,-0.050855102,-0.029704072,0.018560036,-0.021362989,-0.029339853,0.010167581,0.025473641,0.026843533,-0.000536487,-0.000831846,-0.005687291,0.000143745,0.006538203,-1.95E-05,-0.000496476,-0.001074289,-8.59E-05,-8.44E-06,-7.27E-05,0.000126737,-7.59E-06,0.021413445,0.017788732,0.292691692,0.023239607,0.029547181,0.234019652,0.014257139,0.030152587,3.161023993,0.988995403,0.421213514,0.392107509,0.323951476,0.277933005,0.254212132,0.258930378,0.224000889,0.30342907,0.272353671,0.347898629,0.226113587,0.015479115,0.004558406,0.027831835,0.047243411,0.060674565,0.006846432,0.012780403,0.003320339,0.0058322,0.003391505,0.006627141,0.004691652,0.019068167,0.01620327,0.023925817,0.452623596,0.026554241,0.034106041,0.201013392,0.013645397,0.028902958,1.323681914,0.699603555,0.402221853,0.351712345,0.264132807,0.230440174,0.303569455,0.316089627,0.197393405,0.244207627,0.322382634,0.288712841,0.301593614,0.017353907,0.007053972,0.043927596,0.052257132,0.080156029,0.008373889,0.015625129,0.006539985,0.005424061,0.004681606,0.007697699,0.00489881,0.018054387
635.335253,36.10265236,,,,,,,18.96004647,19.00669763,0.05682457,0.029842585,638.4615385,34.21384615,0.053587952,53.84615385,0,33.15508021,10.38888889,148.4375,,,0.029624432,0.014317663,0.000624024,2.069082912,0.6647299,0.32126789,-4.246261327,2021/12/24 16:10,0.049977314,0.001463934,2.951509619,0.109759372,0.137436826,0.383527209,0.006847311,0.090335753,-29.36908957,1.457420692,-0.301058342,0.215422667,-0.539468315,0.015039031,-0.53412855,-0.167253315,-0.302334835,-0.390486338,0.296605465,-0.074524781,0.154584781,0.008666916,0.004615298,0.02051762,0.027678187,0.031845914,0.0123915,0.012994662,0.002344616,0.018937207,0.006131625,0.009828305,0.0039354,0.014943416,0.00188294,-8.54E-05,-0.097992494,0.008278674,0.000684511,0.082599455,-0.000390418,0.014882033,-0.328590131,0.01096258,-0.0024935,0.001477249,0.005609247,-0.00746067,0.018938273,-0.018928392,0.004758321,0.038358414,-0.012673281,0.020938983,0.009561818,-0.001542823,-5.47E-05,-0.00044319,0.000162381,-0.006295778,0.00037845,0.00011007,2.09E-05,5.64E-05,-0.000173801,-8.34E-05,-2.01E-06,-0.001579023,0.022346956,0.003125721,0.532051657,0.043154745,0.029191147,0.388952272,0.004734344,0.073553384,2.468369601,0.869254382,0.266982917,0.558999365,0.387995803,0.217739231,0.326886802,0.185753956,0.249441038,0.270386461,0.35719852,0.256258331,0.212489159,0.005685084,0.004325651,0.027428815,0.024080782,0.034148849,0.012950655,0.008757599,0.00156941,0.024872496,0.004130812,0.007041061,0.002695874,0.01072358,0.015162193,0.003999983,0.675112619,0.02964082,0.027645084,0.335318783,0.00501802,0.070041515,1.739446739,0.620120742,0.326736901,0.497660367,0.282537241,0.219226638,0.308944556,0.233846708,0.300900087,0.266274396,0.236169372,0.261785508,0.284455794,0.009419236,0.005650387,0.038677835,0.03020111,0.024836428,0.015595019,0.012653415,0.002014884,0.031220444,0.005514401,0.007660561,0.003892884,0.011446692
634.7790507,35.9347488,,,,,,,18.87578577,18.91998625,0.056609853,0.029735994,638.4615385,34.21384615,0.053587952,53.84615385,0,32.9787234,10.44444444,148.4375,,,0.02879003,0.013840217,0.000613373,2.080171903,0.665763654,0.320052229,-4.280176684,2021/12/24 16:10,0.044600726,0.001114532,3.16721766,0.117612477,0.169927667,0.204597552,0.006767346,0.056624319,-30.65191695,2.324497489,-0.422559798,0.508235649,-0.282403708,-0.006994868,-0.276529292,-0.1568818,-0.074121323,-0.23705415,0.091542713,-0.120697452,-0.318758199,0.035892074,0.003450133,0.024844205,0.016822653,0.018116334,0.010526793,0.022071042,0.002483135,0.005141486,0.02084379,0.050825696,0.005188976,0.019501014,-0.000476407,-1.11E-06,0.101225339,-0.004586945,0.002312845,-0.067444059,-8.76E-05,-0.014927405,-0.01004059,-0.001506764,0.005358401,-0.02094233,-0.021800086,0.00805086,-0.013009642,0.000158119,0.026181712,0.002185194,0.009401375,-0.008792253,-0.024057486,0.000318861,0.000116622,0.000499843,0.000254919,0.000141537,-0.000303884,0.000881393,0.000131238,-7.00E-05,0.00063595,0.00226914,-7.04E-05,0.00050082,0.018620294,0.002210296,0.10533564,0.032978681,0.025633544,0.155229049,0.00561261,0.017854695,2.607006522,0.642914636,0.407011808,0.471089306,0.22074007,0.216912481,0.194596234,0.160381013,0.266577376,0.196068668,0.32125601,0.116107949,0.176648923,0.028384952,0.002905444,0.01586785,0.015600545,0.011846142,0.010564688,0.014010339,0.003397228,0.004327061,0.016233425,0.031239936,0.005300206,0.00753177,0.016921692,0.002142269,0.40866972,0.046979064,0.027129364,0.401938532,0.005705893,0.079020074,1.654028903,0.525540799,0.334657662,0.488594894,0.19902271,0.251290424,0.234874062,0.20255941,0.247480658,0.227877797,0.381911563,0.165088522,0.251249723,0.034359221,0.003966979,0.02291258,0.023779021,0.018628964,0.014963101,0.01700719,0.004743924,0.006352004,0.01966813,0.044817682,0.007083978,0.010506676
633.8788871,35.69780999,,,,,,,18.74119735,18.78861216,0.056316452,0.029565896,638.4615385,34.21384615,0.053587952,53.84615385,0,32.44680851,10.44444444,148.4375,,,0.028165284,0.013547661,0.000610931,2.078977603,0.665470328,0.320094996,-4.301541369,2021/12/24 16:10,0.070712341,3.59E-05,3.15790409,0.1281266,0.15748352,0.449850828,0.003509376,0.091107078,-32.20133603,0.974626763,0.005793343,0.493459658,-0.560026013,0.216923222,-0.201521955,0.051161706,-0.068278255,-0.147531012,0.170649098,-0.124173022,-0.099489528,0.009895706,0.006445375,0.025229863,0.01605301,0.013925171,0.008251217,0.019044216,0.002316447,0.006676323,0.006964994,0.023805512,0.008726715,0.010654652,-0.00011343,-3.51E-07,-0.011412323,-0.001134873,-0.00042515,-0.00947023,-1.85E-05,-0.000862069,-0.092451341,0.007496601,-0.008146048,0.036393538,0.014029958,-0.0062412,0.032713512,0.016986195,-0.023415102,-0.016896878,-0.012576351,-0.008929236,0.016117803,0.000817296,2.86E-05,0.002612507,0.000613739,0.001034544,0.000502601,-0.000493793,-7.89E-05,-4.77E-05,-0.000415325,-0.001214817,-1.20E-05,0.000302137,0.007589857,4.49E-05,0.129565268,0.019674335,0.032217857,0.095742559,0.00113042,0.009148518,1.391952705,0.758459824,0.302512628,0.419627989,0.22626727,0.194645769,0.202847405,0.226141176,0.232937457,0.241949321,0.257582704,0.200800335,0.133434986,0.007232989,0.003271122,0.022432463,0.014857767,0.010048609,0.007173174,0.014311944,0.002375962,0.005784353,0.004990056,0.020202712,0.00611372,0.006520652,0.008023127,3.04E-05,0.192971211,0.012393277,0.018085756,0.109538411,0.001107192,0.008672948,0.810855837,0.35820132,0.353317223,0.388234381,0.173211043,0.258311743,0.214505477,0.232577118,0.307526403,0.308286145,0.248679667,0.231359189,0.208364326,0.006264031,0.004262918,0.019008491,0.017832089,0.013201427,0.009398943,0.013093482,0.003035256,0.00662212,0.006593229,0.020475241,0.009429844,0.005726167
