Time,ECG
2021-12-24 16:02:31.347258,-126
2021-12-24 16:02:31.347276,-124
2021-12-24 16:02:31.347283,-131
2021-12-24 16:02:31.347288,-128
2021-12-24 16:02:31.347292,-126
2021-12-24 16:02:31.347297,-144
2021-12-24 16:02:31.347302,-131
2021-12-24 16:02:31.347306,-94
2021-12-24 16:02:31.347310,-85
2021-12-24 16:02:31.347315,-91
2021-12-24 16:02:31.347319,-110
2021-12-24 16:02:31.347324,-128
2021-12-24 16:02:31.347328,-117
2021-12-24 16:02:31.347333,-94
2021-12-24 16:02:31.347337,-80
2021-12-24 16:02:31.347341,-78
2021-12-24 16:02:31.347346,-75
2021-12-24 16:02:31.347350,-80
2021-12-24 16:02:31.347355,-89
2021-12-24 16:02:31.347359,-73
2021-12-24 16:02:31.347364,-55
2021-12-24 16:02:31.347368,-55
2021-12-24 16:02:31.347372,-29
2021-12-24 16:02:31.347377,36
2021-12-24 16:02:31.347381,85
2021-12-24 16:02:31.347386,-36
2021-12-24 16:02:31.347391,-331
2021-12-24 16:02:31.347395,-420
2021-12-24 16:02:31.347400,-227
2021-12-24 16:02:31.347404,-124
2021-12-24 16:02:31.532745,-137
2021-12-24 16:02:31.532774,-94
2021-12-24 16:02:31.532786,-71
2021-12-24 16:02:31.532796,-128
2021-12-24 16:02:31.532806,-167
2021-12-24 16:02:31.532816,-144
2021-12-24 16:02:31.532827,-117
2021-12-24 16:02:31.532837,-98
2021-12-24 16:02:31.532847,-85
2021-12-24 16:02:31.532856,-94
2021-12-24 16:02:31.532866,-112
2021-12-24 16:02:31.532876,-108
2021-12-24 16:02:31.532886,-78
2021-12-24 16:02:31.532896,-55
2021-12-24 16:02:31.532906,-45
2021-12-24 16:02:31.532915,-36
2021-12-24 16:02:31.532925,-36
2021-12-24 16:02:31.532936,-22
2021-12-24 16:02:31.532946,16
2021-12-24 16:02:31.532956,41
2021-12-24 16:02:31.532966,57
2021-12-24 16:02:31.532976,62
2021-12-24 16:02:31.532985,62
2021-12-24 16:02:31.532995,91
2021-12-24 16:02:31.533005,119
2021-12-24 16:02:31.533015,131
2021-12-24 16:02:31.533024,128
2021-12-24 16:02:31.533034,98
2021-12-24 16:02:31.533044,73
2021-12-24 16:02:31.533056,71
2021-12-24 16:02:31.803180,62
2021-12-24 16:02:31.803211,50
2021-12-24 16:02:31.803222,39
2021-12-24 16:02:31.803232,22
2021-12-24 16:02:31.803241,-18
2021-12-24 16:02:31.803251,-71
2021-12-24 16:02:31.803261,-59
2021-12-24 16:02:31.803271,-22
2021-12-24 16:02:31.803280,-29
2021-12-24 16:02:31.803290,-64
2021-12-24 16:02:31.803300,-78
2021-12-24 16:02:31.803309,-48
2021-12-24 16:02:31.803319,-27
2021-12-24 16:02:31.803335,-25
2021-12-24 16:02:31.803345,-20
2021-12-24 16:02:31.803354,-43
2021-12-24 16:02:31.803364,-52
2021-12-24 16:02:31.803374,-18
2021-12-24 16:02:31.803384,0
2021-12-24 16:02:31.803394,9
2021-12-24 16:02:31.803403,16
2021-12-24 16:02:31.803413,9
2021-12-24 16:02:31.803423,13
2021-12-24 16:02:31.803433,32
2021-12-24 16:02:31.803442,52
2021-12-24 16:02:31.803452,62
2021-12-24 16:02:31.803462,52
2021-12-24 16:02:31.803471,36
2021-12-24 16:02:31.803481,39
2021-12-24 16:02:31.803493,64
2021-12-24 16:02:32.028170,78
2021-12-24 16:02:32.028201,78
2021-12-24 16:02:32.028213,80
2021-12-24 16:02:32.028223,68
2021-12-24 16:02:32.028232,66
2021-12-24 16:02:32.028242,91
2021-12-24 16:02:32.028252,85
2021-12-24 16:02:32.028262,55
2021-12-24 16:02:32.028271,22
2021-12-24 16:02:32.028281,-6
2021-12-24 16:02:32.028291,0
2021-12-24 16:02:32.028301,22
2021-12-24 16:02:32.028311,32
2021-12-24 16:02:32.028320,39
2021-12-24 16:02:32.028330,39
2021-12-24 16:02:32.028340,32
2021-12-24 16:02:32.028349,32
2021-12-24 16:02:32.028363,29
2021-12-24 16:02:32.028373,22
2021-12-24 16:02:32.028382,11
2021-12-24 16:02:32.028392,-9
2021-12-24 16:02:32.028402,-32
2021-12-24 16:02:32.028412,-22
2021-12-24 16:02:32.028422,-11
2021-12-24 16:02:32.028431,-34
