Time,ECG
2021-12-27 15:07:57.155882,3854
2021-12-27 15:07:57.155899,3720
2021-12-27 15:07:57.155904,-9228
2021-12-27 15:07:57.155909,-16250
2021-12-27 15:07:57.155913,2292
2021-12-27 15:07:57.155922,3262
2021-12-27 15:07:57.155927,-5667
2021-12-27 15:07:57.155931,-11912
2021-12-27 15:07:57.155935,-5579
2021-12-27 15:07:57.155945,-13597
2021-12-27 15:07:57.155949,-10682
2021-12-27 15:07:57.155953,138
2021-12-27 15:07:57.155957,2440
2021-12-27 15:07:57.155969,2111
2021-12-27 15:07:57.155973,-87
2021-12-27 15:07:57.155977,3616
2021-12-27 15:07:57.155981,3968
2021-12-27 15:07:57.155990,196
2021-12-27 15:07:57.155995,4514
2021-12-27 15:07:57.155999,261
2021-12-27 15:07:57.233181,-14681
2021-12-27 15:07:57.233202,-18035
2021-12-27 15:07:57.233209,-5660
2021-12-27 15:07:57.233219,-435
2021-12-27 15:07:57.233226,-11534
2021-12-27 15:07:57.233232,-8179
2021-12-27 15:07:57.233239,3276
2021-12-27 15:07:57.233248,796
2021-12-27 15:07:57.233255,1463
2021-12-27 15:07:57.233261,689
2021-12-27 15:07:57.233267,-12118
2021-12-27 15:07:57.233273,-2611
2021-12-27 15:07:57.233282,-4280
2021-12-27 15:07:57.233289,-10057
2021-12-27 15:07:57.233295,-4315
2021-12-27 15:07:57.233301,-611
2021-12-27 15:07:57.233308,4519
2021-12-27 15:07:57.233314,2317
2021-12-27 15:07:57.233320,2500
2021-12-27 15:07:57.233333,3120
2021-12-27 15:07:57.233339,60
2021-12-27 15:07:57.233345,3042
2021-12-27 15:07:57.233355,3125
2021-12-27 15:07:57.477010,-1171
2021-12-27 15:07:57.477033,3537
2021-12-27 15:07:57.477044,1923
2021-12-27 15:07:57.477053,4584
2021-12-27 15:07:57.477069,-1928
2021-12-27 15:07:57.477079,-12074
2021-12-27 15:07:57.477088,-10062
2021-12-27 15:07:57.477098,2769
2021-12-27 15:07:57.477112,3646
2021-12-27 15:07:57.477127,-4234
2021-12-27 15:07:57.477136,-13798
2021-12-27 15:07:57.477145,-564
2021-12-27 15:07:57.477160,3014
2021-12-27 15:07:57.477169,-5501
2021-12-27 15:07:57.477179,-10414
2021-12-27 15:07:57.477188,-3046
2021-12-27 15:07:57.477200,55
2021-12-27 15:07:57.477210,4486
2021-12-27 15:07:57.477235,-685
2021-12-27 15:07:57.477244,-3447
2021-12-27 15:07:57.671884,-3637
2021-12-27 15:07:57.671906,-4676
2021-12-27 15:07:57.671916,3371
2021-12-27 15:07:57.671932,-6091
2021-12-27 15:07:57.671941,-18191
2021-12-27 15:07:57.671951,-10944
2021-12-27 15:07:57.671960,-10932
2021-12-27 15:07:57.671969,-5056
2021-12-27 15:07:57.671989,4588
2021-12-27 15:07:57.671999,-490
2021-12-27 15:07:57.672014,-16519
2021-12-27 15:07:57.672024,-7269
2021-12-27 15:07:57.672044,1407
2021-12-27 15:07:57.672053,-11979
2021-12-27 15:07:57.672063,-15852
2021-12-27 15:07:57.672072,-3158
2021-12-27 15:07:57.672092,3211
2021-12-27 15:07:57.672106,692
2021-12-27 15:07:57.672116,-3100
2021-12-27 15:07:57.915792,-7089
2021-12-27 15:07:57.915807,-14190
2021-12-27 15:07:57.915814,-5947
2021-12-27 15:07:57.915827,-3565
2021-12-27 15:07:57.915833,-10888
2021-12-27 15:07:57.915840,-15051
2021-12-27 15:07:57.915846,-10564
2021-12-27 15:07:57.915863,-4186
2021-12-27 15:07:57.915870,-10640
2021-12-27 15:07:57.915876,-12013
2021-12-27 15:07:57.915882,-8253
2021-12-27 15:07:57.915888,-10080
2021-12-27 15:07:57.915894,-3220
2021-12-27 15:07:57.915900,3324
2021-12-27 15:07:57.915906,-8506
2021-12-27 15:07:57.915913,-15567
2021-12-27 15:07:57.915919,-12419
2021-12-27 15:07:57.915925,-1185
2021-12-27 15:07:57.915934,-261
2021-12-27 15:07:57.915940,-1428
2021-12-27 15:07:57.915947,4956
2021-12-27 15:07:57.915953,0
2021-12-27 15:07:58.159271,567
2021-12-27 15:07:58.159292,4926
2021-12-27 15:07:58.159299,3178
2021-12-27 15:07:58.159310,902
2021-12-27 15:07:58.159316,1551
2021-12-27 15:07:58.159322,-1039
2021-12-27 15:07:58.159329,-11597
2021-12-27 15:07:58.159335,-3590
2021-12-27 15:07:58.159345,618
2021-12-27 15:07:58.159351,708
2021-12-27 15:07:58.159357,-3792
2021-12-27 15:07:58.159363,-18966
2021-12-27 15:07:58.159370,-11541
2021-12-27 15:07:58.159379,3127
2021-12-27 15:07:58.159386,3132
2021-12-27 15:07:58.159395,4169
2021-12-27 15:07:58.159401,81
2021-12-27 15:07:58.159408,3083
2021-12-27 15:07:58.159417,4088
2021-12-27 15:07:58.159424,4855
2021-12-27 15:07:58.159430,-4199
2021-12-27 15:07:58.159436,-11416
2021-12-27 15:07:58.159443,3486
2021-12-27 15:07:58.159460,3303
2021-12-27 15:07:58.353771,1752
2021-12-27 15:07:58.353785,1400
2021-12-27 15:07:58.353792,2255
2021-12-27 15:07:58.353809,-3996
2021-12-27 15:07:58.353815,-13639
2021-12-27 15:07:58.353822,548
2021-12-27 15:07:58.353838,-3375
2021-12-27 15:07:58.353844,-13241
2021-12-27 15:07:58.353850,-5000
2021-12-27 15:07:58.353863,4151
2021-12-27 15:07:58.353872,150
2021-12-27 15:07:58.353878,-5718
2021-12-27 15:07:58.353897,-8015
2021-12-27 15:07:58.353904,-9351
2021-12-27 15:07:58.598045,3993
2021-12-27 15:07:58.598068,-3989
2021-12-27 15:07:58.598078,-15137
2021-12-27 15:07:58.598088,-4396
2021-12-27 15:07:58.598108,3565
2021-12-27 15:07:58.598117,3234
2021-12-27 15:07:58.598127,-13613
2021-12-27 15:07:58.598139,-7811
2021-12-27 15:07:58.598164,1759
2021-12-27 15:07:58.598173,-3371
2021-12-27 15:07:58.598183,-6089
2021-12-27 15:07:58.598192,-12733
2021-12-27 15:07:58.598202,-13155
2021-12-27 15:07:58.598211,-243
2021-12-27 15:07:58.598226,-1840
2021-12-27 15:07:58.598235,-4716
2021-12-27 15:07:58.598255,4382
2021-12-27 15:07:58.598270,-1352
2021-12-27 15:07:58.598279,-7392
2021-12-27 15:07:58.598289,-2683
2021-12-27 15:07:58.841857,1391
2021-12-27 15:07:58.841871,-2507
2021-12-27 15:07:58.841878,-5582
2021-12-27 15:07:58.841884,-10367
2021-12-27 15:07:58.841891,4519
2021-12-27 15:07:58.841900,1386
2021-12-27 15:07:58.841907,1509
2021-12-27 15:07:58.841913,-4757
2021-12-27 15:07:58.841919,-10564
2021-12-27 15:07:58.841925,-717
2021-12-27 15:07:58.841938,-949
2021-12-27 15:07:58.841944,3496
2021-12-27 15:07:58.841956,4142
2021-12-27 15:07:58.841963,-1516
2021-12-27 15:07:58.841969,884
2021-12-27 15:07:58.841975,-5262
2021-12-27 15:07:58.841981,-5135
2021-12-27 15:07:58.841991,-81
2021-12-27 15:07:58.841997,-3611
2021-12-27 15:07:58.842003,-2901
2021-12-27 15:07:58.842009,-8237
2021-12-27 15:07:58.842015,-7212
2021-12-27 15:07:58.842021,-7976
2021-12-27 15:07:58.842027,-8186
2021-12-27 15:07:59.132942,-9147
2021-12-27 15:07:59.132973,-9823
2021-12-27 15:07:59.132984,-215
2021-12-27 15:07:59.132994,-571
2021-12-27 15:07:59.133004,-537
2021-12-27 15:07:59.133013,2296
2021-12-27 15:07:59.133023,-11428
2021-12-27 15:07:59.133032,-9828
2021-12-27 15:07:59.133042,3377
2021-12-27 15:07:59.133051,1819
2021-12-27 15:07:59.133061,2799
2021-12-27 15:07:59.133070,2697
2021-12-27 15:07:59.133080,-7568
2021-12-27 15:07:59.133089,-11909
2021-12-27 15:07:59.133099,-1085
2021-12-27 15:07:59.133114,2227
2021-12-27 15:07:59.133136,-2333
2021-12-27 15:07:59.133145,1298
2021-12-27 15:07:59.133155,4938
2021-12-27 15:07:59.133164,-238
2021-12-27 15:07:59.133174,-8265
2021-12-27 15:07:59.133183,-16142
2021-12-27 15:07:59.133193,-3546
