HRV_MeanNN,HRV_SDNN,HRV_SDANN1,HRV_SDNNI1,HRV_SDANN2,HRV_SDNNI2,HRV_SDANN5,HRV_SDNNI5,HRV_RMSSD,HRV_SDSD,HRV_CVNN,HRV_CVSD,HRV_MedianNN,HRV_MadNN,HRV_MCVNN,HRV_IQRNN,HRV_pNN50,HRV_pNN20,HRV_HTI,HRV_TINN,HRV_ULF,HRV_VLF,HRV_LF,HRV_HF,HRV_VHF,HRV_LFHF,HRV_LFn,HRV_HFn,HRV_LnHF,Time,zcr_mean,energy_mean,energy_entropy_mean,spectral_centroid_mean,spectral_spread_mean,spectral_entropy_mean,spectral_flux_mean,spectral_rolloff_mean,mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,mfcc_6_mean,mfcc_7_mean,mfcc_8_mean,mfcc_9_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_13_mean,chroma_1_mean,chroma_2_mean,chroma_3_mean,chroma_4_mean,chroma_5_mean,chroma_6_mean,chroma_7_mean,chroma_8_mean,chroma_9_mean,chroma_10_mean,chroma_11_mean,chroma_12_mean,chroma_std_mean,delta zcr_mean,delta energy_mean,delta energy_entropy_mean,delta spectral_centroid_mean,delta spectral_spread_mean,delta spectral_entropy_mean,delta spectral_flux_mean,delta spectral_rolloff_mean,delta mfcc_1_mean,delta mfcc_2_mean,delta mfcc_3_mean,delta mfcc_4_mean,delta mfcc_5_mean,delta mfcc_6_mean,delta mfcc_7_mean,delta mfcc_8_mean,delta mfcc_9_mean,delta mfcc_10_mean,delta mfcc_11_mean,delta mfcc_12_mean,delta mfcc_13_mean,delta chroma_1_mean,delta chroma_2_mean,delta chroma_3_mean,delta chroma_4_mean,delta chroma_5_mean,delta chroma_6_mean,delta chroma_7_mean,delta chroma_8_mean,delta chroma_9_mean,delta chroma_10_mean,delta chroma_11_mean,delta chroma_12_mean,delta chroma_std_mean,zcr_std,energy_std,energy_entropy_std,spectral_centroid_std,spectral_spread_std,spectral_entropy_std,spectral_flux_std,spectral_rolloff_std,mfcc_1_std,mfcc_2_std,mfcc_3_std,mfcc_4_std,mfcc_5_std,mfcc_6_std,mfcc_7_std,mfcc_8_std,mfcc_9_std,mfcc_10_std,mfcc_11_std,mfcc_12_std,mfcc_13_std,chroma_1_std,chroma_2_std,chroma_3_std,chroma_4_std,chroma_5_std,chroma_6_std,chroma_7_std,chroma_8_std,chroma_9_std,chroma_10_std,chroma_11_std,chroma_12_std,chroma_std_std,delta zcr_std,delta energy_std,delta energy_entropy_std,delta spectral_centroid_std,delta spectral_spread_std,delta spectral_entropy_std,delta spectral_flux_std,delta spectral_rolloff_std,delta mfcc_1_std,delta mfcc_2_std,delta mfcc_3_std,delta mfcc_4_std,delta mfcc_5_std,delta mfcc_6_std,delta mfcc_7_std,delta mfcc_8_std,delta mfcc_9_std,delta mfcc_10_std,delta mfcc_11_std,delta mfcc_12_std,delta mfcc_13_std,delta chroma_1_std,delta chroma_2_std,delta chroma_3_std,delta chroma_4_std,delta chroma_5_std,delta chroma_6_std,delta chroma_7_std,delta chroma_8_std,delta chroma_9_std,delta chroma_10_std,delta chroma_11_std,delta chroma_12_std,delta chroma_std_std
740.6593407,63.22466616,,,,,,,15.64680431,15.68525791,0.08536268,0.021125507,753.8461538,45.61846154,0.060514286,69.23076923,0.621118012,19.8757764,11.5,218.75,,,0.013252585,0.001753605,9.00E-05,7.557337332,0.877876092,0.116162089,-6.346081605,2021/12/27 14:32,0.062976407,0.014890716,2.97963585,0.120979412,0.153172248,0.515566439,0.006132827,0.102041742,-26.27022756,1.483238047,-0.255230571,0.014992346,-0.15836183,-0.019902719,-0.128694669,-0.084213816,-0.132973676,-0.058462248,-0.119124579,0.019356939,-0.172859123,0.012003217,0.023490668,0.012876817,0.007320089,0.007369861,0.018111963,0.039878372,0.003260945,0.012101517,0.019487154,0.024119795,0.00300743,0.020674888,-0.004741379,0.00156378,0.040474133,-0.004527814,-0.004902403,-0.012787649,0.000276188,-0.000589837,0.480780064,-0.017743612,0.036847626,-0.072078614,-0.064883939,-0.005532857,-0.035459351,-0.001137719,1.03E-05,-0.007113983,-0.001771938,0.007348781,-0.011050456,-0.001511336,0.008196813,-0.002218741,-0.000568604,-0.00040158,9.06E-05,-0.001011163,-1.53E-05,-4.20E-05,-0.001051679,-0.002833413,-0.0001007,0.001274641,0.049129489,0.015233248,0.431614446,0.052195818,0.040605061,0.472535866,0.003342096,0.073593676,4.037193857,0.448844355,0.860997045,0.496293069,0.574157508,0.238611671,0.245301961,0.352117948,0.250180742,0.184068794,0.227064323,0.20209262,0.207579596,0.010086248,0.043575471,0.012787167,0.004619971,0.007488641,0.018706955,0.028886241,0.004178611,0.01968961,0.018433731,0.027053395,0.002849531,0.008815981,0.056596696,0.014811245,0.631349714,0.049693866,0.036313725,0.591763425,0.003251846,0.099662175,2.766716684,0.587683663,0.538083094,0.37575334,0.292920678,0.282338268,0.218814637,0.402937549,0.257689959,0.207474443,0.257031599,0.233847864,0.235505985,0.012198802,0.024345607,0.009278224,0.006135412,0.009001984,0.019066731,0.034109396,0.005957855,0.020337295,0.018383869,0.026033596,0.003477101,0.007766621
739.4648829,64.01351116,,,,,,,15.42063092,15.44730515,0.086567344,0.02085377,753.8461538,57.02307692,0.075642857,69.23076923,0.621118012,19.25465839,12.38461538,242.1875,,,0.012276301,0.001725827,9.02E-05,7.11328777,0.871136267,0.122466052,-6.362049193,2021/12/27 14:32,0.072323049,0.003412852,3.18571587,0.139302754,0.166052381,0.564981257,0.004594584,0.115789474,-29.06206837,1.631350904,-0.343565808,0.365006569,-0.216333421,0.05264195,0.157807018,-0.232291628,-0.061763965,-0.05780934,-0.086692136,0.138277921,-0.119904626,0.010071185,0.003689248,0.014299566,0.010057288,0.038934874,0.01645617,0.020506513,0.006862724,0.00448373,0.013869407,0.02940638,0.017414439,0.018298264,0.004015426,-0.001563879,0.007424613,0.004901968,0.003721018,0.0340659,-0.000180721,0.005353902,-0.49804133,-0.003350823,-0.019475215,0.077270558,0.063758158,0.007633727,0.018709347,-0.020946822,-0.004886671,0.021523501,0.026772253,-0.000173797,0.026545583,-0.000453347,-0.008103763,0.002783024,0.00181278,0.000417766,-0.000217062,0.001851184,-4.68E-06,0.000108475,9.99E-05,0.002500559,5.32E-06,-0.001183709,0.041958085,0.005656349,0.115700206,0.046156896,0.032799429,0.48583778,0.004138558,0.076490011,3.780752563,0.421540418,0.46851296,0.25568969,0.353097838,0.238331683,0.213155834,0.237087417,0.191720127,0.141467966,0.220893393,0.23571454,0.261721491,0.008299049,0.003262731,0.014794499,0.00910373,0.032283411,0.014732356,0.01296104,0.008135524,0.00263561,0.011744067,0.027462159,0.024237192,0.006001158,0.024407159,0.006271416,0.179768704,0.027928063,0.038180795,0.389143081,0.005268991,0.063782776,0.759401861,0.454730657,0.497287214,0.303701191,0.341675652,0.264759358,0.254025365,0.243184567,0.232527179,0.241796779,0.196808585,0.257492351,0.171698789,0.009503985,0.035332651,0.007560767,0.010559479,0.026251038,0.012650257,0.010398264,0.006854605,0.003571687,0.016104303,0.0308687,0.017046632,0.006644947
738.7959866,64.10136565,,,,,,,15.48047061,15.50989149,0.086764637,0.020953647,753.8461538,57.02307692,0.075642857,76.92307692,0.621118012,19.8757764,12.38461538,242.1875,,,0.011232772,0.001700172,9.10E-05,6.606843354,0.862468975,0.130541762,-6.377025724,2021/12/27 14:32,0.094010889,1.57E-05,3.221364175,0.161225278,0.177329813,0.776713189,0.002513633,0.136751361,-32.29668188,1.287387168,-0.16737294,0.426078291,-0.263066929,0.083603016,0.102644872,-0.06712213,0.082742456,-0.156390586,-0.099191422,0.192161309,-0.071649902,0.011033682,0.005902083,0.029899564,0.019143497,0.014875401,0.008925336,0.033619452,0.00313602,0.005886749,0.009005577,0.027407637,0.006664691,0.01343115,-0.001497278,1.62E-07,0.005907195,-0.001852877,-0.000375808,-0.026081002,4.63E-05,-0.005127042,0.05718446,0.002338918,-0.069709655,0.008819721,-0.016163374,-0.008938201,7.72E-05,0.014481351,-0.01382191,-0.017003306,-0.000839415,0.011460292,-0.002293067,0.000311364,0.000568176,-0.002075165,-9.72E-06,0.000250938,0.000396732,-0.001444919,0.000282048,5.52E-05,-0.000144609,-0.001441772,0.000287234,-0.000615077,0.033636759,6.56E-06,0.064209888,0.032186665,0.011897227,0.484569487,0.000768003,0.076526982,0.632040623,0.261143211,0.42486082,0.18843124,0.369245069,0.211424371,0.152401103,0.161903566,0.144184665,0.156069704,0.190203874,0.175319852,0.126698928,0.006528902,0.005647065,0.017882214,0.012251565,0.008175782,0.006378438,0.019940609,0.001714085,0.002454416,0.00522034,0.016029579,0.005341739,0.005114912,0.020911594,4.90E-06,0.09388737,0.015327132,0.01036851,0.283758306,0.000521042,0.042275723,0.464784171,0.313570886,0.342098178,0.214287448,0.269815585,0.238016874,0.191003739,0.204327176,0.223608316,0.176621102,0.231073906,0.207892823,0.144726744,0.008889952,0.007286993,0.023358819,0.01601287,0.011349035,0.008789465,0.028425675,0.002627615,0.004050638,0.0084597,0.024824984,0.006670511,0.008078775
737.7018044,64.03907599,,,,,,,15.40848602,15.44199167,0.086808892,0.020887147,753.8461538,57.02307692,0.075642857,76.92307692,0.617283951,19.75308642,12.46153846,218.75,,,0.010370545,0.001657362,9.07E-05,6.257259935,0.85575428,0.136761824,-6.402528064,2021/12/27 14:32,0.067309437,1.58E-05,3.198808685,0.153260317,0.185512616,0.526653515,0.003280603,0.083348457,-32.46333779,1.758074651,0.009293543,0.335646971,0.006910864,0.014553488,0.044856298,0.032680329,0.027669173,-0.055616698,-0.096062163,-0.000918247,0.006264593,0.013094033,0.003090787,0.029779225,0.019837968,0.015609641,0.010049306,0.04395321,0.002532318,0.005008919,0.018995376,0.049437206,0.003103303,0.019974892,-0.000204174,6.50E-07,0.00216226,-0.000319975,-0.000509991,0.000238623,6.89E-06,-9.07E-05,0.053608531,0.009456786,0.006750094,-0.020541904,0.004296527,0.012613114,0.009634454,-0.014740007,0.010563817,0.011156624,-0.001334659,0.006257613,0.002248106,-4.84E-05,-0.000448429,0.001493156,-0.001612765,-0.000408307,0.000212877,-6.04E-07,0.000205574,-4.36E-05,0.000623244,-9.46E-05,-0.000178822,0.0001098,0.012598631,4.70E-06,0.064031104,0.013965885,0.011195741,0.162102064,0.001078191,0.030513876,0.600266853,0.280284815,0.437629534,0.231304125,0.228758026,0.149203933,0.143192384,0.181341817,0.1246221,0.122762894,0.134128259,0.171132388,0.113621628,0.009658752,0.001571018,0.014343614,0.015357167,0.008935546,0.009395238,0.025061672,0.002153572,0.002824458,0.014071471,0.034468074,0.001870525,0.0071013,0.014764734,4.21E-06,0.090805766,0.010057448,0.010214063,0.139042889,0.001636799,0.024796397,0.423464817,0.308860132,0.424986563,0.266482324,0.253930629,0.191520282,0.217130757,0.252283419,0.175903693,0.171467972,0.212624596,0.250470794,0.176391654,0.014076547,0.003662094,0.019171637,0.022461326,0.011903706,0.01189704,0.032550367,0.002472571,0.00391017,0.018175231,0.041541879,0.002824494,0.007630114
736.8848543,64.27864414,,,,,,,15.30024945,15.33547728,0.087230242,0.02076342,746.1538462,57.02307692,0.07642268,76.92307692,0.621118012,19.25465839,12.38461538,218.75,,,0.009813027,0.001643236,9.21E-05,5.971769866,0.849731291,0.142291366,-6.411087864,2021/12/27 14:32,0.085662432,1.91E-05,3.197141811,0.162403378,0.183321282,0.742241193,0.00229449,0.118920145,-32.0395577,1.500940215,0.284687583,0.383594917,-0.128658357,0.055692197,0.105775295,0.009875891,-0.000399671,-0.029043734,-0.047612847,0.117949555,-0.102090313,0.01240646,0.00422237,0.035580673,0.016980561,0.015227536,0.009863269,0.043054698,0.002180606,0.005525198,0.017918122,0.03911994,0.004215501,0.017001835,0.000317604,-5.39E-07,-9.20E-05,0.001693788,0.000728652,0.022845037,-1.18E-05,0.003176044,-0.056616462,-0.00190852,0.054673518,-0.00612356,0.016451543,-0.019337127,0.004159213,0.00758643,-0.014022516,-0.003722912,0.005654839,0.007920068,-0.000429856,-8.26E-05,-0.000148987,-0.000499701,9.55E-05,0.001648422,0.000174993,0.001438726,-0.000363756,5.62E-05,-0.000768168,0.001363382,-0.000154246,0.000334134,0.016367052,6.88E-06,0.082025186,0.013263341,0.009103658,0.226776597,0.000532809,0.041413002,0.582292453,0.273531229,0.257023957,0.170352675,0.212320817,0.184670654,0.163951872,0.149441527,0.11586274,0.190710887,0.144180802,0.16545056,0.120878946,0.006781827,0.00208241,0.017328431,0.014927554,0.010379943,0.005106307,0.020809766,0.001275137,0.003921393,0.011958336,0.018348332,0.002533444,0.005302729,0.018633556,8.03E-06,0.128959453,0.015885572,0.008977281,0.248155782,0.000724341,0.047693342,0.631819723,0.319866277,0.351015977,0.276353033,0.17879129,0.259031356,0.16525243,0.182023844,0.178083038,0.20184729,0.224661844,0.225935033,0.179606208,0.00866776,0.002792412,0.021578331,0.02484563,0.012171633,0.006823795,0.023305096,0.002540199,0.006120216,0.013945942,0.026047835,0.003657791,0.005369155
736.1823362,64.13472676,,,,,,,15.34873982,15.39058651,0.087117992,0.020849101,746.1538462,57.02307692,0.07642268,82.69230769,0.617283951,19.13580247,12.46153846,218.75,,,0.009333085,0.001621347,9.33E-05,5.75637638,0.844795945,0.146758288,-6.424497876,2021/12/27 14:32,0.086274955,3.57E-05,3.241130192,0.156013658,0.173841137,0.795670187,0.002155754,0.128402904,-31.07120147,1.28148352,-0.066685596,0.264288631,-0.130491429,0.102119242,-0.007647276,0.073476957,0.00235358,-0.119060052,-0.129603271,0.172316658,-0.026522497,0.010978103,0.005448418,0.037282086,0.021662509,0.013077593,0.012137543,0.031104617,0.002832916,0.006318892,0.010226952,0.026172969,0.006788998,0.013677799,4.54E-05,8.29E-07,7.71E-05,-0.00089585,-0.000428898,-0.009687716,-3.65E-05,-0.000725953,0.062295922,-0.001998105,-0.018232762,0.000124513,-0.007885302,0.002899118,-0.01837028,0.005069551,0.022148189,0.001871717,0.005469412,-0.013651775,-0.005672642,-0.000129726,1.83E-05,0.00185288,0.000977446,-0.001093363,-0.000597217,-0.000296252,-5.66E-05,1.32E-05,4.25E-05,-0.001740375,0.000565855,8.85E-05,0.021414106,1.89E-05,0.031231243,0.021216072,0.010812707,0.313631049,0.000316149,0.046323508,0.798375159,0.274700395,0.382985723,0.183980441,0.306648054,0.197136135,0.149465863,0.125963201,0.180654946,0.16971514,0.154896133,0.138518747,0.200532582,0.005469969,0.003301384,0.020733174,0.012522612,0.005939794,0.006143958,0.016517095,0.001430262,0.004527655,0.006832609,0.017898286,0.005358637,0.005825206,0.023202781,1.41E-05,0.04737621,0.018995291,0.009767689,0.265921849,0.000424111,0.048482833,0.495355142,0.28319287,0.332256095,0.288499808,0.266397301,0.213844117,0.216871203,0.205263712,0.211461945,0.204738646,0.216663379,0.186149473,0.202288954,0.006920074,0.003541486,0.014892793,0.017880104,0.011517398,0.008362552,0.018471058,0.001966638,0.006038335,0.011206609,0.022208732,0.007379614,0.004613754
735.660019,64.14542638,,,,,,,15.38461538,15.42517349,0.08719439,0.02091267,746.1538462,57.02307692,0.07642268,84.61538462,0.617283951,19.13580247,12.46153846,218.75,,,0.009000591,0.001607588,9.58E-05,5.598815295,0.840865913,0.1501864,-6.433020102,2021/12/27 14:32,0.068625227,0.000185472,3.178912576,0.149394088,0.180696887,0.529393392,0.002668643,0.083076225,-30.79146753,1.331363266,-0.210601915,0.430811202,-0.15488474,-0.038017441,0.003280063,0.073416061,0.045900245,-0.04476194,-0.065870172,0.014085869,-0.023909603,0.011345012,0.008206575,0.036939139,0.027782411,0.016559173,0.007462567,0.031694792,0.002528433,0.005811644,0.010079619,0.025319157,0.006049341,0.015034979,-0.000136116,9.77E-06,-0.005517246,-0.001294346,-0.001466126,-0.006667656,2.98E-05,-0.001134301,0.141570142,-0.060099335,-0.026412717,0.026874843,-0.013310748,-0.005099384,-0.016505748,-0.017576392,-0.02322671,0.010608924,0.008211663,0.020538436,0.012759985,0.000391103,0.000145463,-0.002858437,-0.000588344,-0.000535019,0.000418749,-0.001395223,9.06E-05,0.000280209,0.000591459,-0.000560745,-0.000480884,-0.000768109,0.012090502,0.000365468,0.125822306,0.011393288,0.017996323,0.149993915,0.000857638,0.022566792,1.840715194,0.960912835,0.218936651,0.223837826,0.239863474,0.216673889,0.310490651,0.160615498,0.153771435,0.178097664,0.179293652,0.16424416,0.120887554,0.006181916,0.005348302,0.026171733,0.016621099,0.011345637,0.005614077,0.018969784,0.001783879,0.004057813,0.006791107,0.0221455,0.004627969,0.00685891,0.012726112,0.000280882,0.180996962,0.012472829,0.016816701,0.130832963,0.001255153,0.021203607,0.840854443,0.497290731,0.316350819,0.200543625,0.210580012,0.208765949,0.200954405,0.17059435,0.196167352,0.210452643,0.141683042,0.176597653,0.11417987,0.008969385,0.008921744,0.029445044,0.019851835,0.014690459,0.00846842,0.024540937,0.002746626,0.0045781,0.008734205,0.029405909,0.007306686,0.00645081
734.7805569,64.17851582,,,,,,,15.34896154,15.39058651,0.087343786,0.020889178,746.1538462,57.02307692,0.07642268,84.61538462,0.613496933,19.01840491,12.53846154,218.75,,,0.008789439,0.00157809,9.69E-05,5.569669069,0.839938218,0.150805767,-6.451540032,2021/12/27 14:32,0.055217786,0.006274643,3.155773075,0.120161954,0.163167621,0.336295216,0.004987513,0.068239564,-29.16865758,2.002823301,-0.475038766,0.4443834,-0.06215615,-0.036470191,-0.146257657,0.046595979,-0.302198022,0.049864922,-0.041211022,-0.059181371,-0.036471287,0.014742999,0.006766143,0.028215982,0.019937408,0.02397743,0.028190113,0.03907684,0.004399591,0.007183444,0.00980162,0.024903791,0.010290615,0.018857812,-0.002654265,0.000372105,-0.001002912,-0.003222927,-0.001263982,-0.028924988,0.000142305,-0.002903811,0.156273708,0.125632946,-0.034028557,-0.011077876,0.024635679,0.012899871,0.00335881,0.034408451,-0.027665775,0.008755564,-0.017086446,-0.049862294,-0.011295596,-0.000460338,-0.000157602,-0.000618638,-0.000481573,0.003467981,0.000716854,3.49E-05,-4.36E-05,-0.000399066,-0.000730227,0.000380368,0.002980798,0.00101908,0.020842075,0.011736351,0.143518773,0.037106637,0.029233001,0.2247887,0.003736296,0.022280588,3.440062398,0.551893459,0.527178819,0.188265996,0.179806321,0.159295905,0.268114469,0.175542308,0.383796853,0.231201521,0.187582227,0.224398018,0.141941323,0.00959624,0.005208171,0.026014333,0.016384758,0.018285555,0.029940076,0.025666845,0.00397256,0.00581037,0.009346018,0.015798161,0.018208225,0.007218513,0.016286781,0.008360841,0.167530835,0.019653816,0.020258603,0.158105864,0.003165882,0.021195305,1.685419139,0.377047834,0.341019668,0.245200898,0.222154091,0.171395433,0.310901469,0.188017605,0.27320397,0.233037842,0.278349899,0.225542221,0.180024112,0.013932471,0.006392705,0.027792232,0.017482931,0.017255109,0.023433342,0.035908151,0.004660309,0.008108858,0.012311169,0.01570936,0.011521778,0.00766711
734.1880342,64.44406565,,,,,,,15.37266617,15.41459692,0.087775968,0.020938323,746.1538462,57.02307692,0.07642268,90.38461538,0.617283951,19.13580247,13.5,218.75,,,0.008790997,0.001552226,9.92E-05,5.663478025,0.841856572,0.148646568,-6.468065313,2021/12/27 14:32,0.04657441,0.001596711,3.190033106,0.111719062,0.157066349,0.230239817,0.006006809,0.059482759,-29.14357633,2.175983779,-0.554027049,0.581717709,-0.176802628,0.038709223,-0.062475539,-0.112949827,-0.237967443,0.128035159,0.027413077,-0.042769111,-0.018001105,0.012069704,0.002984346,0.015164655,0.015201209,0.035728287,0.036067268,0.044509026,0.008305019,0.008710592,0.004944562,0.018319877,0.013403872,0.021810144,0.002608893,-0.000382203,0.005949402,0.005073614,0.003200335,0.031880863,-0.000149163,0.003130672,-0.330767682,-0.056871146,0.074064189,0.006144202,-0.02152516,0.005160786,0.016107802,-0.035688189,0.043740316,-0.01741231,0.003503236,0.030893448,-0.005549241,-3.98E-06,-0.000147856,0.001183942,-6.77E-06,-0.003067471,-0.000995437,0.003191121,1.08E-05,0.000199096,0.000152544,0.002589283,-0.002959738,-3.47E-05,0.01929154,0.002146648,0.09138938,0.036139744,0.034500998,0.214240653,0.003755856,0.027518775,2.438093562,0.622095202,0.523009663,0.321979513,0.205043097,0.169689702,0.35661502,0.203714069,0.390012024,0.243647848,0.28159331,0.163125494,0.170820558,0.008652504,0.002432438,0.01648847,0.013654972,0.032055036,0.043170879,0.029112722,0.010088187,0.009272836,0.002859562,0.017389602,0.020174871,0.010261295,0.010225208,0.001355792,0.153683268,0.013841807,0.024905955,0.135066858,0.003649441,0.024216054,0.91637711,0.480587755,0.227383955,0.307551354,0.265175296,0.241643387,0.355906024,0.234451434,0.25019066,0.180295217,0.223949374,0.200549459,0.192475435,0.008684226,0.003222307,0.015960842,0.012627898,0.035357857,0.030991456,0.031234186,0.010627131,0.013836821,0.003368429,0.015903103,0.023542186,0.010729321
733.7132004,64.5815658,,,,,,,15.33676265,15.37386151,0.088020177,0.02090294,746.1538462,57.02307692,0.07642268,92.30769231,0.617283951,19.13580247,14.72727273,242.1875,,,0.008890861,0.00152149,0.000100508,5.843522698,0.845712977,0.144726567,-6.488065202,2021/12/27 14:32,0.078856624,4.06E-05,3.226901791,0.147070165,0.170620614,0.649816329,0.002523256,0.104491833,-31.01296411,1.516921028,-0.326301178,0.28106125,-0.097373991,0.019816568,0.088032811,0.097682215,-0.055746217,-0.080038229,-0.008939929,0.075914273,0.064517054,0.014088825,0.005123562,0.036648956,0.014508596,0.017235265,0.012519912,0.032869521,0.00375866,0.005217873,0.00808063,0.025019862,0.006367996,0.013971403,0.002994555,1.09E-06,-0.000154883,0.001534332,-0.000405394,0.046045469,-5.11E-05,0.006261343,0.047593888,-0.046922232,-0.017903819,-0.026784428,0.037032829,-0.013254132,0.032921295,0.011572597,0.000328035,-0.008430211,-0.00065281,-0.004211717,0.009866898,0.000112279,6.77E-06,0.000594827,-0.000114033,-0.00048568,-9.54E-05,-0.003330618,-9.64E-05,-0.000195074,0.000175734,-0.00174431,-7.60E-05,-0.000630174,0.028020538,1.83E-05,0.048759755,0.027121361,0.012020677,0.432790579,0.000534347,0.058541041,0.769172095,0.361921717,0.562936925,0.226167827,0.296429444,0.243662394,0.161157168,0.211227035,0.146011869,0.144994064,0.167639912,0.202174294,0.175467153,0.010223665,0.003701023,0.025834904,0.010260321,0.009134781,0.009824175,0.021506281,0.003721383,0.003372724,0.003259673,0.013929266,0.004789715,0.007219623,0.026947102,1.43E-05,0.072727452,0.018030951,0.010245979,0.287949851,0.000554047,0.041444233,0.432050137,0.316887321,0.304822219,0.222552416,0.164878817,0.226619245,0.182902588,0.178060166,0.132731597,0.177972449,0.255955729,0.291503693,0.192680133,0.014112942,0.005353581,0.031460063,0.015030565,0.011778416,0.009222443,0.022746771,0.004599854,0.004998825,0.004511734,0.017566071,0.0058524,0.005017256
