Time,ECG
2021-12-27 14:17:53.906042,-196
2021-12-27 14:17:53.906056,-189
2021-12-27 14:17:53.906061,-179
2021-12-27 14:17:53.906064,-167
2021-12-27 14:17:53.906067,-155
2021-12-27 14:17:53.906071,-141
2021-12-27 14:17:53.906074,-124
2021-12-27 14:17:53.906077,-115
2021-12-27 14:17:53.906080,-112
2021-12-27 14:17:53.906083,-105
2021-12-27 14:17:53.906086,-100
2021-12-27 14:17:53.906089,-95
2021-12-27 14:17:53.906092,-86
2021-12-27 14:17:53.906096,-76
2021-12-27 14:17:53.906099,-79
2021-12-27 14:17:53.906115,-83
2021-12-27 14:17:53.906118,-81
2021-12-27 14:17:53.906121,-79
2021-12-27 14:17:53.906124,-81
2021-12-27 14:17:53.906127,-79
2021-12-27 14:17:53.906130,-69
2021-12-27 14:17:53.906132,-71
2021-12-27 14:17:53.906135,-76
2021-12-27 14:17:53.906138,-67
2021-12-27 14:17:53.906141,-57
2021-12-27 14:17:53.906144,-55
2021-12-27 14:17:53.906147,-52
2021-12-27 14:17:53.906150,-57
2021-12-27 14:17:53.906153,-52
2021-12-27 14:17:53.906156,-43
2021-12-27 14:17:54.096777,-38
2021-12-27 14:17:54.096793,-40
2021-12-27 14:17:54.096797,-35
2021-12-27 14:17:54.096801,-35
2021-12-27 14:17:54.096805,-38
2021-12-27 14:17:54.096808,-31
2021-12-27 14:17:54.096813,-26
2021-12-27 14:17:54.096816,-21
2021-12-27 14:17:54.096820,-21
2021-12-27 14:17:54.096824,-23
2021-12-27 14:17:54.096827,-23
2021-12-27 14:17:54.096831,-21
2021-12-27 14:17:54.096834,-19
2021-12-27 14:17:54.096838,-16
2021-12-27 14:17:54.096842,-16
2021-12-27 14:17:54.096845,-21
2021-12-27 14:17:54.096849,-23
2021-12-27 14:17:54.096853,-9
2021-12-27 14:17:54.096857,23
2021-12-27 14:17:54.096860,47
2021-12-27 14:17:54.096864,38
2021-12-27 14:17:54.096868,19
2021-12-27 14:17:54.096871,14
2021-12-27 14:17:54.096875,4
2021-12-27 14:17:54.096879,-7
2021-12-27 14:17:54.096882,-11
2021-12-27 14:17:54.096886,-16
