HRV_MeanNN,HRV_SDNN,HRV_SDANN1,HRV_SDNNI1,HRV_SDANN2,HRV_SDNNI2,HRV_SDANN5,HRV_SDNNI5,HRV_RMSSD,HRV_SDSD,HRV_CVNN,HRV_CVSD,HRV_MedianNN,HRV_MadNN,HRV_MCVNN,HRV_IQRNN,HRV_pNN50,HRV_pNN20,HRV_HTI,HRV_TINN,HRV_ULF,HRV_VLF,HRV_LF,HRV_HF,HRV_VHF,HRV_LFHF,HRV_LFn,HRV_HFn,HRV_LnHF,Time,zcr_mean,energy_mean,energy_entropy_mean,spectral_centroid_mean,spectral_spread_mean,spectral_entropy_mean,spectral_flux_mean,spectral_rolloff_mean,mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,mfcc_6_mean,mfcc_7_mean,mfcc_8_mean,mfcc_9_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_13_mean,chroma_1_mean,chroma_2_mean,chroma_3_mean,chroma_4_mean,chroma_5_mean,chroma_6_mean,chroma_7_mean,chroma_8_mean,chroma_9_mean,chroma_10_mean,chroma_11_mean,chroma_12_mean,chroma_std_mean,delta zcr_mean,delta energy_mean,delta energy_entropy_mean,delta spectral_centroid_mean,delta spectral_spread_mean,delta spectral_entropy_mean,delta spectral_flux_mean,delta spectral_rolloff_mean,delta mfcc_1_mean,delta mfcc_2_mean,delta mfcc_3_mean,delta mfcc_4_mean,delta mfcc_5_mean,delta mfcc_6_mean,delta mfcc_7_mean,delta mfcc_8_mean,delta mfcc_9_mean,delta mfcc_10_mean,delta mfcc_11_mean,delta mfcc_12_mean,delta mfcc_13_mean,delta chroma_1_mean,delta chroma_2_mean,delta chroma_3_mean,delta chroma_4_mean,delta chroma_5_mean,delta chroma_6_mean,delta chroma_7_mean,delta chroma_8_mean,delta chroma_9_mean,delta chroma_10_mean,delta chroma_11_mean,delta chroma_12_mean,delta chroma_std_mean,zcr_std,energy_std,energy_entropy_std,spectral_centroid_std,spectral_spread_std,spectral_entropy_std,spectral_flux_std,spectral_rolloff_std,mfcc_1_std,mfcc_2_std,mfcc_3_std,mfcc_4_std,mfcc_5_std,mfcc_6_std,mfcc_7_std,mfcc_8_std,mfcc_9_std,mfcc_10_std,mfcc_11_std,mfcc_12_std,mfcc_13_std,chroma_1_std,chroma_2_std,chroma_3_std,chroma_4_std,chroma_5_std,chroma_6_std,chroma_7_std,chroma_8_std,chroma_9_std,chroma_10_std,chroma_11_std,chroma_12_std,chroma_std_std,delta zcr_std,delta energy_std,delta energy_entropy_std,delta spectral_centroid_std,delta spectral_spread_std,delta spectral_entropy_std,delta spectral_flux_std,delta spectral_rolloff_std,delta mfcc_1_std,delta mfcc_2_std,delta mfcc_3_std,delta mfcc_4_std,delta mfcc_5_std,delta mfcc_6_std,delta mfcc_7_std,delta mfcc_8_std,delta mfcc_9_std,delta mfcc_10_std,delta mfcc_11_std,delta mfcc_12_std,delta mfcc_13_std,delta chroma_1_std,delta chroma_2_std,delta chroma_3_std,delta chroma_4_std,delta chroma_5_std,delta chroma_6_std,delta chroma_7_std,delta chroma_8_std,delta chroma_9_std,delta chroma_10_std,delta chroma_11_std,delta chroma_12_std,delta chroma_std_std
816.127321,58.44469602,,,,,,,34.10111815,34.21594626,0.071612228,0.041784066,823.0769231,57.02307692,0.069280374,76.92307692,13.79310345,55.86206897,14.5,226.5625,,,0.04329402,0.005714721,0.001034378,7.575875762,0.86513432,0.114195949,-5.164709726,2021/12/27 14:48,0.141220508,3.20E-07,3.182876335,0.245349694,0.230393821,1.443539482,0.001365267,0.268466425,-37.75058865,1.298398597,-0.073403462,-0.333383492,-0.338480603,-0.221419027,-0.241080667,-0.188636202,-0.218716751,-0.081258851,-0.274781787,-0.161864525,-0.189094748,0.017336479,0.008158156,0.013980667,0.027560521,0.018603563,0.010871115,0.012631266,0.004536329,0.007488312,0.010271965,0.011348937,0.006677191,0.00889697,0.005467332,2.90E-08,0.01431051,0.003450896,0.000801906,0.04972813,8.15E-05,0.00884755,0.106304061,-0.045150735,-0.005365,-0.013343991,-0.025286209,0.004842278,-0.001648534,-0.005822532,-0.029549143,0.005855815,0.014054527,0.007742436,-0.000150563,0.000235979,-0.000648426,-0.000720373,-0.000341059,-0.001460178,-0.000223064,-0.000698944,8.11E-05,7.11E-05,-0.000154481,-0.000210437,-0.000105181,-0.000207795,0.02321297,1.81E-07,0.16574959,0.017396246,0.014868282,0.292236322,0.000386734,0.0577893,0.490890019,0.448149119,0.277788016,0.135371516,0.126685462,0.173224806,0.160045173,0.155582894,0.180338148,0.128874447,0.154067993,0.104176133,0.160020297,0.010979822,0.006383891,0.009239796,0.013621175,0.010174847,0.006386923,0.008788639,0.002840613,0.004316984,0.00536115,0.005452884,0.003345233,0.003200036,0.029934372,2.16E-07,0.165663621,0.016238046,0.015503839,0.329987865,0.000507762,0.077519513,0.51542317,0.445501774,0.333780454,0.167853616,0.147265536,0.231714905,0.173996147,0.212548122,0.191260308,0.159664882,0.243774199,0.14170587,0.212702309,0.012728605,0.007772948,0.010338315,0.021020368,0.011786615,0.006175524,0.009231621,0.003114331,0.006952569,0.007980799,0.007678083,0.004307285,0.003896911
816.4910432,58.21243681,,,,,,,34.24648702,34.36370832,0.071295867,0.041943494,823.0769231,57.02307692,0.069280374,76.92307692,13.69863014,56.84931507,14.6,226.5625,,,0.040638984,0.005468776,0.001022516,7.431092628,0.862269155,0.116035312,-5.208700388,2021/12/27 14:48,0.12123412,4.64E-05,2.97163218,0.211832322,0.20492219,1.287530107,0.003319345,0.24823049,-35.37075344,1.145905925,0.06426179,-0.279629581,-0.46091923,-0.200893424,-0.175090366,-0.304546393,-0.366169119,-0.157445374,-0.310663894,-0.111234085,-0.156137313,0.014147265,0.00547604,0.025930007,0.031707709,0.022153036,0.015442174,0.009893706,0.003685038,0.006852273,0.008648204,0.00964014,0.005512387,0.01496023,-0.003017241,1.46E-08,0.019619188,-0.004139135,-0.001745601,-0.036003919,7.74E-05,-0.007849365,0.046946864,0.024471962,-0.00109844,0.013742795,0.025268295,-0.027069102,0.003173763,-0.005227729,0.016494795,0.008296833,-0.004038657,-0.012452089,0.006340663,-0.00040129,0.000184026,0.000126556,0.000677746,0.001217681,0.000347735,4.21E-05,-0.000114918,0.000275656,0.000244816,-0.000149251,3.09E-05,0.000216428,0.052582977,0.000130456,0.593428057,0.061792423,0.035431885,0.616383962,0.003737996,0.120215721,2.965107845,0.427922069,0.307748552,0.274933403,0.266729435,0.191860605,0.250221239,0.158167429,0.180392109,0.183476215,0.192100322,0.218413305,0.163176444,0.009111953,0.003832021,0.044784101,0.033026662,0.019681543,0.024024989,0.004235712,0.002496251,0.003623976,0.007046051,0.006001027,0.004816606,0.013414078,0.04092254,0.000140586,0.91447808,0.037134439,0.026269327,0.52382753,0.002941201,0.101745658,2.044763435,0.519363212,0.441968454,0.388256445,0.275221097,0.293191489,0.330543052,0.216373073,0.2494993,0.246172511,0.216885247,0.232762133,0.15375255,0.012229623,0.006081482,0.047220849,0.047869252,0.02839347,0.035887393,0.005965798,0.003561803,0.005374692,0.006350206,0.008864311,0.005554148,0.009259034
816.8598525,58.22873561,,,,,,,34.10319565,34.22123903,0.07128363,0.041749139,823.0769231,57.02307692,0.069280374,76.92307692,13.69863014,56.16438356,14.6,226.5625,,,0.037360003,0.00513227,0.00099166,7.279431283,0.859167987,0.118026801,-5.272207317,2021/12/27 14:48,0.117944646,0.001746636,2.980507486,0.163716175,0.148796045,1.018391591,0.004879686,0.183121597,-30.75632524,0.161702704,-0.64282816,-0.40304488,-0.675508045,0.120298904,-0.079101296,-0.258896969,-0.32069249,-0.128359445,-0.25545174,0.114867713,-0.133207482,0.003402444,0.008559191,0.006484574,0.008550251,0.007691904,0.022656222,0.009119983,0.004860692,0.006195818,0.004998833,0.004649941,0.003742483,0.00905362,-0.001792196,8.93E-06,-0.005148753,-0.003975157,-0.004347804,-0.021682424,7.76E-05,-0.007622505,0.306318324,-0.093783085,-0.016790336,-0.030460148,-0.009901444,0.027383458,-0.002334085,-0.004090862,-0.024898792,-0.000720001,0.002061861,0.012610731,-0.006238196,-0.000284127,-0.000264727,-0.000162149,-0.001538626,-0.001125395,0.000512681,-5.93E-05,-0.000110792,-2.75E-05,-0.000106517,-0.00019113,0.000165487,-0.000191953,0.072988877,0.003375601,0.324328966,0.064697871,0.031387321,0.72498231,0.004192476,0.112457756,4.170816843,0.807937907,0.644093222,0.328160381,0.334292485,0.428827102,0.278223671,0.303288398,0.201860846,0.184061957,0.121852778,0.251151904,0.130745073,0.002122236,0.013936529,0.011771282,0.016266178,0.006757075,0.036060104,0.01367102,0.003897567,0.005241153,0.00418985,0.003633412,0.002628317,0.010271419,0.045131503,0.003748508,0.454290859,0.04365473,0.030636387,0.41921371,0.003834888,0.075523084,2.40291717,0.870396049,0.500826794,0.415144401,0.397841132,0.499560694,0.272117362,0.408060922,0.287821086,0.25695372,0.165614705,0.218347117,0.149342252,0.002755583,0.014456717,0.01403837,0.023919525,0.007449827,0.041270445,0.015736166,0.005338159,0.007128866,0.004266371,0.004965821,0.002690495,0.011193159
816.9652266,58.26798763,,,,,,,34.09721211,34.21502766,0.071322482,0.04173643,823.0769231,57.02307692,0.069280374,76.92307692,13.69863014,56.16438356,14.6,226.5625,,,0.034943412,0.004934075,0.000989989,7.082059849,0.855042105,0.120733533,-5.311590119,2021/12/27 14:48,0.046823956,0.003765722,2.748708208,0.100491649,0.128279191,0.376380767,0.010674667,0.081669691,-27.46509955,0.905290182,-0.932115802,-0.79728066,-1.081107324,-0.089170753,0.214683057,-0.181284088,-0.404896656,-0.043879479,-0.407870212,0.085980662,-0.233559343,0.004207192,0.004544623,0.024591882,0.023243329,0.019430709,0.009604937,0.013123507,0.006739861,0.010765287,0.00675458,0.010614904,0.006646414,0.015446146,-0.001020871,-4.57E-06,0.002435128,-1.43E-05,0.001609563,-0.015259245,7.24E-05,0.000181488,-0.032521668,0.096474276,-0.072462037,0.005598123,0.037224197,-0.022756119,0.044143474,0.009121598,0.024449581,-0.026827108,-0.013028399,-0.002187784,-0.005970317,3.18E-05,0.000229354,0.000461364,0.000145745,0.001459896,-0.000451998,0.000323021,0.000123221,0.000383649,0.000123001,0.000368574,-7.35E-05,0.000162056,0.018144056,0.004380245,0.584984206,0.032160357,0.036050316,0.335173034,0.004425891,0.040019075,2.653163398,0.682760413,0.870510762,0.387857089,0.614841788,0.310096309,0.374489639,0.290058387,0.297668612,0.280955722,0.193874361,0.220346685,0.225211546,0.005905095,0.005018493,0.029589364,0.024733079,0.01907972,0.010227416,0.018312721,0.008161867,0.014093541,0.00506817,0.019164642,0.008873466,0.007202869,0.025976391,0.004014884,0.845737432,0.0398043,0.040287541,0.520233912,0.006014787,0.058952665,2.359118836,1.155188038,0.605679647,0.496352135,0.703125751,0.26053556,0.275370697,0.322313836,0.304735832,0.298915039,0.205955051,0.260676077,0.302563504,0.00743224,0.007491659,0.035229381,0.034362418,0.022541262,0.013915011,0.02754138,0.010598234,0.014078757,0.007253521,0.02778226,0.01147195,0.009970232
816.8598525,58.27076978,,,,,,,34.19282312,34.31031037,0.071335088,0.041858861,823.0769231,57.02307692,0.069280374,76.92307692,13.69863014,56.16438356,16.22222222,226.5625,,,0.033224473,0.0048023,0.000988482,6.918450739,0.85157647,0.123087741,-5.338660403,2021/12/27 14:48,0.093058076,0.00172857,2.921956914,0.162317795,0.171207073,0.782194903,0.005432899,0.136978221,-30.39475794,1.085647318,-0.486212523,-0.476283374,-0.532891203,-0.184030191,-0.10505942,-0.466552676,-0.267457087,-0.20802319,-0.387823249,-0.138897192,-0.108687585,0.011585267,0.002740243,0.019615859,0.023585294,0.023351829,0.009340346,0.011400534,0.004022029,0.014801501,0.013060646,0.014986516,0.007492767,0.01486486,-0.002132486,1.33E-05,0.000228563,8.05E-05,0.00023123,-0.023208173,7.61E-05,-0.006669691,0.043931411,0.040967011,0.098912084,-0.002113096,-0.064506319,0.011118217,-0.050666571,-0.007472509,-0.02247035,-0.000954219,0.011169475,-0.003480674,0.02713961,5.66E-05,-0.000294009,-0.000383276,0.000753995,0.007990286,-0.000119591,-0.000296077,-0.000160416,-0.000790928,-0.000200533,7.27E-05,0.00040877,0.002191796,0.048323662,0.003984128,0.391312273,0.066298135,0.051084811,0.560697617,0.00230747,0.09688244,3.391962197,0.920679003,1.237877945,0.402261935,0.29856393,0.293361353,0.310167678,0.218761661,0.246017281,0.255655073,0.25503948,0.22605941,0.225696825,0.013199148,0.001709695,0.018242758,0.032496017,0.0414726,0.007263296,0.01103682,0.005529876,0.014774915,0.012210031,0.011816811,0.008203703,0.011605305,0.051119041,0.004075449,0.630974869,0.06384086,0.042102819,0.639815072,0.00244613,0.122123247,2.622669971,0.958650202,0.674835032,0.362242896,0.294631652,0.353397969,0.350413091,0.228088854,0.277525058,0.212313466,0.221163983,0.242328401,0.264289716,0.02071278,0.001922338,0.01736605,0.041870967,0.043429427,0.008568848,0.01604055,0.006107292,0.01879457,0.018700101,0.016477277,0.010412106,0.013418775
816.4910432,58.25448274,,,,,,,34.19282312,34.3079976,0.071347363,0.041877769,823.0769231,57.02307692,0.069280374,76.92307692,13.69863014,56.16438356,16.22222222,226.5625,,,0.03233834,0.004790673,0.001005165,6.750270262,0.848014591,0.125626761,-5.341084298,2021/12/27 14:48,0.082758621,0.001002761,3.04978183,0.147330807,0.155796206,0.694419502,0.006456885,0.112794918,-28.97607173,0.974553883,0.332699526,-0.526884664,-1.098981116,-0.189285917,-0.178464613,-0.32305262,-0.18267442,-0.274147699,-0.286080548,-0.06312037,-0.183405066,0.00740994,0.008367388,0.021553863,0.054734105,0.0138972,0.012715464,0.011571699,0.001838929,0.004792881,0.007291182,0.006692248,0.009286541,0.019981433,0.001565336,-3.31E-06,2.33E-06,-0.001093568,0.000201958,0.006942728,-0.000102046,0.003811252,0.024938769,-0.139488536,-0.07715151,0.056055895,0.016208165,0.023631315,-0.004486255,0.004630821,0.022822424,0.00441379,-0.015427466,0.015190556,-0.028291146,0.000149411,0.000422668,7.54E-05,-0.000720883,-0.009691414,-0.000337831,-0.000204246,0.000129187,0.000106057,0.000455157,-0.000226945,0.000311994,-0.00240482,0.040318473,0.001227075,0.275973122,0.039155731,0.030820167,0.529382141,0.003447963,0.089495539,1.864680704,1.143448626,0.771889494,0.481467582,0.515007337,0.316279617,0.20229409,0.28100284,0.235784761,0.200291741,0.210655963,0.32393087,0.161021109,0.006840483,0.009102736,0.025130634,0.068364417,0.019176132,0.015534059,0.016916569,0.003338911,0.002957691,0.005223781,0.006268698,0.013575304,0.016940718,0.044117286,0.001509449,0.400709275,0.043925907,0.026685484,0.628841153,0.004671395,0.083866207,2.041581634,1.158429107,0.750513101,0.313173521,0.488175938,0.327001932,0.260472723,0.30197776,0.27700018,0.187061475,0.214653332,0.15537812,0.182463618,0.009806911,0.013053458,0.018815389,0.042574892,0.03778621,0.020805279,0.022299869,0.003862693,0.00335021,0.006736769,0.009315371,0.018764315,0.010724708
815.3319283,58.3490232,,,,,,,34.43068911,34.54507054,0.071564747,0.042229046,823.0769231,62.72538462,0.076208411,76.92307692,14.38356164,56.16438356,16.22222222,226.5625,,,0.03227286,0.004940053,0.00104939,6.532897132,0.843463592,0.12911019,-5.310379166,2021/12/27 14:48,0.077404719,0.000312182,2.880057127,0.136011542,0.161383653,0.512878664,0.006704041,0.108166969,-30.44079618,1.145236897,-0.696710021,-0.098113215,-1.218814868,-0.08391156,-0.018801289,-0.248521931,-0.245507372,-0.281717194,-0.415895311,0.027478878,-0.085999128,0.008299015,0.009056998,0.021077194,0.012459938,0.020104144,0.013785682,0.007966961,0.003967361,0.009009818,0.008693398,0.009818519,0.011435057,0.010461961,0.00154265,-1.42E-05,0.0029347,0.002902238,0.000972963,0.023116653,-0.000146944,0.004673321,-0.245092066,0.114049961,0.061098693,-0.028182567,-0.002272087,-0.029211663,0.017370593,0.014580461,-0.003861555,-0.003649326,0.014839742,-0.007690662,0.012392693,9.03E-05,-0.000251088,0.000217778,-0.000168118,0.000586238,0.002821019,0.000646106,-0.000153161,7.57E-05,0.000368877,0.000218039,-0.000201588,0.000528818,0.035765841,0.000345045,0.338681045,0.052725473,0.040306585,0.545220274,0.003174592,0.073031584,2.258810602,0.924483674,0.744942964,0.312801075,0.64205308,0.40155659,0.310288766,0.222485099,0.274523135,0.172498651,0.169953624,0.172146889,0.19233404,0.008656746,0.013037634,0.014213944,0.010026219,0.021871196,0.014254042,0.006373747,0.00433026,0.010951351,0.005711216,0.006856803,0.009551547,0.005408031,0.051255438,0.000390226,0.419279024,0.071396518,0.051836727,0.743667326,0.003528197,0.113786835,1.756046121,1.268311021,0.623359431,0.351940582,0.590068284,0.328759348,0.295037991,0.230877471,0.308028848,0.256305986,0.231711627,0.254515646,0.238200171,0.013437056,0.016319741,0.020507505,0.011527115,0.03263124,0.011803435,0.007768563,0.005035,0.012288235,0.006373588,0.0092556,0.014827378,0.007494495
814.857745,58.50380668,,,,,,,34.45438539,34.5704919,0.071796344,0.0422827,819.2307692,62.72538462,0.076566197,82.69230769,14.38356164,56.16438356,16.22222222,226.5625,,,0.032313838,0.005085039,0.001079334,6.354688752,0.839795752,0.132153719,-5.281452642,2021/12/27 14:48,0.153357532,4.56E-06,3.155775867,0.2222838,0.193898697,1.56249709,0.001633717,0.266470054,-34.69641809,0.51305542,-0.312200555,-0.080044984,-0.363297917,-0.004485739,0.002095349,-0.212943056,-0.151821573,-0.160963945,-0.09901265,0.057953847,-0.096030851,0.005470246,0.005506568,0.008755106,0.008349261,0.011571325,0.012422404,0.009348633,0.004491663,0.007220205,0.006935217,0.006850959,0.005593086,0.005117559,-0.000816697,-4.54E-08,-0.002573528,-5.17E-05,0.00053361,-0.007932884,-1.21E-05,-0.002676951,-0.020783711,-0.059499472,-0.075677437,-0.004641106,0.02593631,0.006934382,-0.003229853,-0.031040818,0.011871065,0.00747158,0.013605068,0.000371694,-0.007830284,0.000214657,0.000614398,-0.000101274,4.92E-05,-0.00042904,-0.002391614,0.000813956,0.000765947,0.000110671,-0.000447655,-0.000373944,-0.000476998,-0.000368111,0.046014731,4.05E-06,0.234900197,0.037994399,0.022637108,0.542788842,0.000785342,0.097542639,1.213963784,0.502086393,0.47944583,0.244972591,0.204188834,0.178676718,0.160811593,0.196202521,0.140301775,0.166743253,0.181910545,0.182491569,0.139650458,0.003671131,0.003710541,0.006872163,0.007207708,0.007068026,0.010856553,0.008970085,0.003720607,0.006716496,0.004498844,0.004890309,0.004754061,0.003227292,0.037624785,4.07E-06,0.294070605,0.037501297,0.015865166,0.531148936,0.000901617,0.093102951,0.943395188,0.440937451,0.496542319,0.33369312,0.282996121,0.197301302,0.193491929,0.15140611,0.17511843,0.232869403,0.23528352,0.234243575,0.207742757,0.00479601,0.004212838,0.009514566,0.01140261,0.008707546,0.009917527,0.010348294,0.003607237,0.007677234,0.005318169,0.005782575,0.0057767,0.002839838
814.5416228,58.54191939,,,,,,,34.48398284,34.60285656,0.071870998,0.042335446,815.3846154,57.02307692,0.069933962,82.69230769,14.38356164,56.84931507,16.22222222,226.5625,,,0.03263331,0.005284204,0.001109307,6.175633898,0.836176483,0.135399296,-5.243033274,2021/12/27 14:48,0.135004537,4.45E-07,3.256478107,0.238970711,0.231038791,1.265462895,0.001445848,0.245735027,-37.18333393,1.288072634,-0.292837067,-0.167827297,-0.490553378,-0.096772599,-0.153141309,-0.309603526,-0.114537117,-0.179513355,-0.272348069,-0.057737973,-0.140842975,0.016182969,0.007678017,0.012663405,0.021474659,0.018220439,0.011603898,0.012213041,0.004751533,0.011554279,0.007469219,0.016735841,0.008736054,0.008678224,0.000204174,-1.64E-07,0.000146079,0.001339605,0.001784724,-0.006001685,-1.40E-05,-0.001406534,-0.143281722,0.06400376,0.059464652,0.003979398,-0.029805672,-0.008630389,0.005350138,0.01786567,-0.006441375,0.008399137,-0.008999338,-0.007050718,-0.004237234,0.000548087,-0.000714346,0.001551571,0.001333488,3.91E-05,0.000241942,-0.001222629,-0.000785366,0.000213898,4.10E-05,0.000785434,0.001440615,0.000207248,0.026391356,2.70E-07,0.031033231,0.018896107,0.008040449,0.355470534,0.000396448,0.084829283,0.559524367,0.207348314,0.240110374,0.165870345,0.237317069,0.157530187,0.155592765,0.183274681,0.12297858,0.173230327,0.160889592,0.1159447,0.134725416,0.009879514,0.005723267,0.007852877,0.015037426,0.008816675,0.008320277,0.009060297,0.004053463,0.005910147,0.004924769,0.006991592,0.007071212,0.003019033,0.020332792,5.05E-07,0.045785955,0.019816542,0.01045394,0.25764667,0.000397796,0.077470953,0.404006365,0.245832723,0.269226892,0.234274073,0.185505779,0.250946802,0.26228197,0.2272176,0.179371386,0.19946318,0.176918295,0.143167696,0.154382627,0.011336642,0.008216552,0.010971124,0.017638474,0.01039708,0.011753562,0.012750281,0.005739747,0.008451028,0.007203998,0.009854888,0.006151004,0.003000338
814.6469968,58.55729117,,,,,,,34.60211947,34.72058873,0.071880571,0.042474986,819.2307692,62.72538462,0.076566197,82.69230769,14.38356164,56.84931507,16.22222222,226.5625,,,0.033301054,0.005593215,0.001141004,5.953830014,0.831792844,0.139707187,-5.186200944,2021/12/27 14:48,0.137068966,3.38E-07,3.232557842,0.24838801,0.233780577,1.337967698,0.001472026,0.262477314,-37.48829857,1.281529945,-0.081691259,-0.060947359,-0.556271365,-0.138470888,-0.243040631,-0.213119571,-0.169605558,-0.221014734,-0.224287279,-0.139303896,-0.165887241,0.01832707,0.007488392,0.014636124,0.031379226,0.015168317,0.010399137,0.011039906,0.003369469,0.010498976,0.009252147,0.012938315,0.010695822,0.010776463,0.001860254,-6.99E-09,0.001581741,0.000870368,-6.90E-05,0.020023112,-4.24E-05,0.004809437,-0.027379307,-0.011980186,0.017368922,0.020459669,0.017360751,0.009544751,-0.003752379,0.005530917,0.001535177,-0.010336397,-0.00071958,-0.01049668,0.008281643,-0.000757838,0.000562436,-0.001174605,0.000652905,0.000560353,-0.000486636,-2.97E-05,0.000104482,0.000250686,-0.000384142,0.000348046,-0.001147661,-7.03E-05,0.034589129,6.82E-08,0.043162093,0.026380542,0.006160809,0.430282852,0.000323796,0.105745062,0.223442174,0.177297846,0.202080061,0.138087721,0.192044459,0.193904329,0.18669065,0.17278249,0.133124943,0.188175917,0.169514817,0.136375395,0.101192404,0.009876419,0.006048897,0.011045519,0.021932865,0.011448568,0.006781402,0.006390885,0.0021226,0.006372482,0.006004789,0.00886892,0.007738078,0.004549902,0.031704611,7.43E-08,0.060348098,0.022968537,0.00904142,0.408551608,0.0003866,0.104244437,0.263398329,0.242924629,0.211382886,0.169871874,0.267929913,0.275712876,0.245290757,0.255489056,0.181243666,0.175907935,0.224890337,0.13681327,0.129964131,0.013614898,0.009090142,0.017830188,0.022030494,0.01863484,0.008781478,0.010054,0.003097463,0.008055487,0.006799236,0.011380523,0.010180365,0.004256146
