Time,ECG
2021-12-27 15:37:42.528706,4
2021-12-27 15:37:42.528727,-27
2021-12-27 15:37:42.528735,-27
2021-12-27 15:37:42.528743,-20
2021-12-27 15:37:42.528751,-20
2021-12-27 15:37:42.528760,2
2021-12-27 15:37:42.528766,-22
2021-12-27 15:37:42.528771,-54
2021-12-27 15:37:42.528775,-41
2021-12-27 15:37:42.528780,-29
2021-12-27 15:37:42.528784,-9
2021-12-27 15:37:42.528789,6
2021-12-27 15:37:42.528793,77
2021-12-27 15:37:42.528797,282
2021-12-27 15:37:42.528802,412
2021-12-27 15:37:42.528806,170
2021-12-27 15:37:42.528811,-364
2021-12-27 15:37:42.528815,-631
2021-12-27 15:37:42.528820,-360
2021-12-27 15:37:42.528824,-84
2021-12-27 15:37:42.528828,-68
2021-12-27 15:37:42.528833,-27
2021-12-27 15:37:42.528837,70
2021-12-27 15:37:42.528841,97
2021-12-27 15:37:42.528846,72
2021-12-27 15:37:42.528850,68
2021-12-27 15:37:42.528855,31
2021-12-27 15:37:42.528859,-13
2021-12-27 15:37:42.528864,41
2021-12-27 15:37:42.528868,84
2021-12-27 15:37:42.582029,82
2021-12-27 15:37:42.582058,104
2021-12-27 15:37:42.582069,79
2021-12-27 15:37:42.582079,63
2021-12-27 15:37:42.582089,93
2021-12-27 15:37:42.582098,100
2021-12-27 15:37:42.582109,111
2021-12-27 15:37:42.582119,127
2021-12-27 15:37:42.582128,118
2021-12-27 15:37:42.582138,100
2021-12-27 15:37:42.582147,111
2021-12-27 15:37:42.582157,154
2021-12-27 15:37:42.582166,150
2021-12-27 15:37:42.582176,127
2021-12-27 15:37:42.582185,88
2021-12-27 15:37:42.582195,-43
2021-12-27 15:37:42.582205,-148
2021-12-27 15:37:42.582215,-175
2021-12-27 15:37:42.582225,-209
2021-12-27 15:37:42.582234,-227
2021-12-27 15:37:42.582244,-259
2021-12-27 15:37:42.582254,-289
2021-12-27 15:37:42.582263,-273
2021-12-27 15:37:42.582273,-252
2021-12-27 15:37:42.582283,-218
2021-12-27 15:37:42.582292,-198
2021-12-27 15:37:42.582302,-195
2021-12-27 15:37:42.582311,-184
2021-12-27 15:37:42.582321,-182
2021-12-27 15:37:42.582334,-148
2021-12-27 15:37:42.825493,-109
2021-12-27 15:37:42.825513,-104
2021-12-27 15:37:42.825523,-93
2021-12-27 15:37:42.825531,-125
2021-12-27 15:37:42.825539,-161
2021-12-27 15:37:42.825547,-123
2021-12-27 15:37:42.825554,-93
2021-12-27 15:37:42.825561,-75
2021-12-27 15:37:42.825568,-68
2021-12-27 15:37:42.825576,-97
2021-12-27 15:37:42.825584,-123
2021-12-27 15:37:42.825592,-125
2021-12-27 15:37:42.825601,-84
2021-12-27 15:37:42.825613,-61
2021-12-27 15:37:42.825622,-82
2021-12-27 15:37:42.825630,-75
2021-12-27 15:37:42.825638,-86
2021-12-27 15:37:42.825646,-120
2021-12-27 15:37:42.825654,-143
2021-12-27 15:37:42.825662,-154
2021-12-27 15:37:42.825670,-118
2021-12-27 15:37:42.825679,-88
2021-12-27 15:37:42.825686,-84
2021-12-27 15:37:42.825694,-61
2021-12-27 15:37:42.825702,-56
2021-12-27 15:37:42.825709,-43
2021-12-27 15:37:42.825717,-34
2021-12-27 15:37:42.825725,-52
2021-12-27 15:37:42.825733,-38
2021-12-27 15:37:42.825743,-38
2021-12-27 15:37:43.068957,-34
2021-12-27 15:37:43.068977,-6
2021-12-27 15:37:43.068985,-20
2021-12-27 15:37:43.068991,-13
2021-12-27 15:37:43.068997,4
2021-12-27 15:37:43.069004,0
2021-12-27 15:37:43.069010,72
2021-12-27 15:37:43.069017,287
2021-12-27 15:37:43.069023,478
2021-12-27 15:37:43.069030,316
2021-12-27 15:37:43.069036,-175
2021-12-27 15:37:43.069042,-546
2021-12-27 15:37:43.069049,-462
2021-12-27 15:37:43.069055,-127
2021-12-27 15:37:43.069062,2
2021-12-27 15:37:43.069068,-15
2021-12-27 15:37:43.069074,79
2021-12-27 15:37:43.069085,127
2021-12-27 15:37:43.069091,75
2021-12-27 15:37:43.069098,79
2021-12-27 15:37:43.069104,70
2021-12-27 15:37:43.069110,50
2021-12-27 15:37:43.069117,86
2021-12-27 15:37:43.069124,109
2021-12-27 15:37:43.069130,113
2021-12-27 15:37:43.069136,111
2021-12-27 15:37:43.069143,116
2021-12-27 15:37:43.069149,120
2021-12-27 15:37:43.069155,113
2021-12-27 15:37:43.069162,154
2021-12-27 15:37:43.361508,182
2021-12-27 15:37:43.361528,191
2021-12-27 15:37:43.361536,246
2021-12-27 15:37:43.361542,236
2021-12-27 15:37:43.361549,202
2021-12-27 15:37:43.361555,214
2021-12-27 15:37:43.361562,184
2021-12-27 15:37:43.361574,113
2021-12-27 15:37:43.361581,47
2021-12-27 15:37:43.361587,11
2021-12-27 15:37:43.361594,-34
2021-12-27 15:37:43.361600,-109
2021-12-27 15:37:43.361606,-150
2021-12-27 15:37:43.361613,-216
2021-12-27 15:37:43.361619,-293
2021-12-27 15:37:43.361625,-280
2021-12-27 15:37:43.361631,-255
2021-12-27 15:37:43.361638,-234
2021-12-27 15:37:43.361644,-202
2021-12-27 15:37:43.361650,-211
2021-12-27 15:37:43.361657,-216
2021-12-27 15:37:43.361663,-225
2021-12-27 15:37:43.361669,-234
2021-12-27 15:37:43.361675,-239
2021-12-27 15:37:43.361682,-268
2021-12-27 15:37:43.361688,-255
2021-12-27 15:37:43.361694,-232
2021-12-27 15:37:43.361700,-236
2021-12-27 15:37:43.361706,-200
2021-12-27 15:37:43.361714,-161
2021-12-27 15:37:43.604335,-138
2021-12-27 15:37:43.604365,-123
2021-12-27 15:37:43.604376,-143
2021-12-27 15:37:43.604386,-148
2021-12-27 15:37:43.604395,-127
2021-12-27 15:37:43.604405,-95
2021-12-27 15:37:43.604415,-84
2021-12-27 15:37:43.604424,-93
2021-12-27 15:37:43.604434,-95
2021-12-27 15:37:43.604443,-136
2021-12-27 15:37:43.604452,-159
2021-12-27 15:37:43.604462,-91
2021-12-27 15:37:43.604472,-66
2021-12-27 15:37:43.604481,-70
2021-12-27 15:37:43.604491,-72
2021-12-27 15:37:43.604500,-120
2021-12-27 15:37:43.604510,-109
2021-12-27 15:37:43.604519,-54
