Time,ECG
2021-12-27 15:37:18.008829,25
2021-12-27 15:37:18.008850,37
2021-12-27 15:37:18.008858,51
2021-12-27 15:37:18.008864,63
2021-12-27 15:37:18.008871,72
2021-12-27 15:37:18.008878,86
2021-12-27 15:37:18.008884,102
2021-12-27 15:37:18.008891,116
2021-12-27 15:37:18.008897,121
2021-12-27 15:37:18.008904,123
2021-12-27 15:37:18.008911,123
2021-12-27 15:37:18.008917,123
2021-12-27 15:37:18.008924,114
2021-12-27 15:37:18.008930,105
2021-12-27 15:37:18.008936,107
2021-12-27 15:37:18.008943,105
2021-12-27 15:37:18.008949,100
2021-12-27 15:37:18.008956,93
2021-12-27 15:37:18.008962,91
2021-12-27 15:37:18.008969,91
2021-12-27 15:37:18.008975,84
2021-12-27 15:37:18.008981,81
2021-12-27 15:37:18.008988,84
2021-12-27 15:37:18.008994,86
2021-12-27 15:37:18.009001,88
2021-12-27 15:37:18.009007,91
2021-12-27 15:37:18.009014,93
2021-12-27 15:37:18.009020,93
2021-12-27 15:37:18.009027,95
2021-12-27 15:37:18.009033,93
2021-12-27 15:37:18.251864,91
2021-12-27 15:37:18.251884,100
2021-12-27 15:37:18.251892,112
2021-12-27 15:37:18.251899,109
2021-12-27 15:37:18.251906,102
2021-12-27 15:37:18.251912,95
2021-12-27 15:37:18.251920,74
2021-12-27 15:37:18.251926,63
2021-12-27 15:37:18.251933,74
2021-12-27 15:37:18.251939,84
2021-12-27 15:37:18.251946,86
2021-12-27 15:37:18.251952,93
2021-12-27 15:37:18.251958,95
2021-12-27 15:37:18.251965,93
2021-12-27 15:37:18.251972,93
2021-12-27 15:37:18.251978,91
2021-12-27 15:37:18.251984,88
2021-12-27 15:37:18.251991,95
2021-12-27 15:37:18.251998,95
2021-12-27 15:37:18.252004,88
2021-12-27 15:37:18.252011,98
2021-12-27 15:37:18.252017,147
2021-12-27 15:37:18.252024,196
2021-12-27 15:37:18.252030,81
2021-12-27 15:37:18.252037,-411
2021-12-27 15:37:18.252043,-1200
2021-12-27 15:37:18.252050,-1520
2021-12-27 15:37:18.252056,-684
2021-12-27 15:37:18.252063,333
2021-12-27 15:37:18.252071,326
2021-12-27 15:37:18.544905,51
2021-12-27 15:37:18.544932,205
2021-12-27 15:37:18.544943,270
2021-12-27 15:37:18.544953,161
2021-12-27 15:37:18.544965,163
2021-12-27 15:37:18.544978,189
2021-12-27 15:37:18.544988,144
2021-12-27 15:37:18.544999,123
2021-12-27 15:37:18.545008,123
2021-12-27 15:37:18.545019,100
2021-12-27 15:37:18.545029,77
2021-12-27 15:37:18.545039,79
2021-12-27 15:37:18.545048,74
2021-12-27 15:37:18.545064,49
2021-12-27 15:37:18.545074,30
2021-12-27 15:37:18.545084,21
2021-12-27 15:37:18.545094,7
2021-12-27 15:37:18.545105,-7
2021-12-27 15:37:18.545115,-16
2021-12-27 15:37:18.545125,-23
2021-12-27 15:37:18.545135,-30
2021-12-27 15:37:18.545145,-35
2021-12-27 15:37:18.545155,-35
2021-12-27 15:37:18.545165,-23
2021-12-27 15:37:18.545175,-16
2021-12-27 15:37:18.545185,-11
2021-12-27 15:37:18.545195,0
2021-12-27 15:37:18.545205,21
2021-12-27 15:37:18.545214,44
2021-12-27 15:37:18.545227,72
2021-12-27 15:37:18.691483,98
2021-12-27 15:37:18.691504,114
2021-12-27 15:37:18.691511,123
2021-12-27 15:37:18.691518,128
2021-12-27 15:37:18.691524,130
2021-12-27 15:37:18.691531,130
2021-12-27 15:37:18.691537,130
2021-12-27 15:37:18.691544,126
2021-12-27 15:37:18.691550,116
2021-12-27 15:37:18.691556,109
2021-12-27 15:37:18.691563,100
2021-12-27 15:37:18.691569,95
2021-12-27 15:37:18.691575,100
2021-12-27 15:37:18.691581,98
2021-12-27 15:37:18.691588,91
2021-12-27 15:37:18.691594,86
2021-12-27 15:37:18.691601,86
2021-12-27 15:37:18.691610,88
2021-12-27 15:37:18.691617,88
2021-12-27 15:37:18.691623,93
2021-12-27 15:37:18.691630,98
2021-12-27 15:37:18.691636,93
2021-12-27 15:37:18.691642,91
2021-12-27 15:37:18.691649,88
2021-12-27 15:37:18.691655,93
2021-12-27 15:37:18.691661,100
2021-12-27 15:37:18.691668,102
2021-12-27 15:37:18.691674,100
2021-12-27 15:37:18.691680,98
2021-12-27 15:37:18.691687,84
2021-12-27 15:37:19.031266,65
2021-12-27 15:37:19.031295,60
2021-12-27 15:37:19.031307,77
2021-12-27 15:37:19.031317,86
2021-12-27 15:37:19.031327,84
2021-12-27 15:37:19.031337,93
2021-12-27 15:37:19.031347,102
2021-12-27 15:37:19.031364,100
2021-12-27 15:37:19.031374,98
2021-12-27 15:37:19.031384,98
2021-12-27 15:37:19.031394,95
2021-12-27 15:37:19.031404,91
2021-12-27 15:37:19.031414,86
2021-12-27 15:37:19.031424,86
2021-12-27 15:37:19.031434,93
2021-12-27 15:37:19.031444,130
2021-12-27 15:37:19.031454,191
2021-12-27 15:37:19.031463,144
2021-12-27 15:37:19.031473,-235
2021-12-27 15:37:19.031483,-980
2021-12-27 15:37:19.031493,-1513
2021-12-27 15:37:19.031503,-971
2021-12-27 15:37:19.031513,133
2021-12-27 15:37:19.031523,390
2021-12-27 15:37:19.031533,77
2021-12-27 15:37:19.031543,147
2021-12-27 15:37:19.031553,282
2021-12-27 15:37:19.031563,182
2021-12-27 15:37:19.031573,144
2021-12-27 15:37:19.031584,186
2021-12-27 15:37:19.178881,154
2021-12-27 15:37:19.178910,114
2021-12-27 15:37:19.178922,116
2021-12-27 15:37:19.178932,105
2021-12-27 15:37:19.178942,86
2021-12-27 15:37:19.178952,79
2021-12-27 15:37:19.178962,65
2021-12-27 15:37:19.178971,46
2021-12-27 15:37:19.178981,37
2021-12-27 15:37:19.178991,28
2021-12-27 15:37:19.179001,11
2021-12-27 15:37:19.179010,0
2021-12-27 15:37:19.179020,-9
2021-12-27 15:37:19.179030,-25
2021-12-27 15:37:19.179040,-30
2021-12-27 15:37:19.179049,-30
2021-12-27 15:37:19.179059,-32
2021-12-27 15:37:19.179069,-28
2021-12-27 15:37:19.179079,-21
2021-12-27 15:37:19.179089,-14
2021-12-27 15:37:19.179098,0
2021-12-27 15:37:19.179108,18
2021-12-27 15:37:19.179118,37
2021-12-27 15:37:19.179128,60
2021-12-27 15:37:19.179145,88
2021-12-27 15:37:19.179154,105
2021-12-27 15:37:19.179164,116
2021-12-27 15:37:19.179174,123
2021-12-27 15:37:19.179184,128
2021-12-27 15:37:19.179194,133
2021-12-27 15:37:19.373346,130
2021-12-27 15:37:19.373375,123
2021-12-27 15:37:19.373388,114
2021-12-27 15:37:19.373399,107
2021-12-27 15:37:19.373412,100
2021-12-27 15:37:19.373423,100
2021-12-27 15:37:19.373435,100
2021-12-27 15:37:19.373447,98
2021-12-27 15:37:19.373459,98
2021-12-27 15:37:19.373470,93
2021-12-27 15:37:19.373482,91
2021-12-27 15:37:19.373493,95
2021-12-27 15:37:19.373501,98
2021-12-27 15:37:19.373507,98
2021-12-27 15:37:19.373514,95
2021-12-27 15:37:19.373520,91
2021-12-27 15:37:19.373526,95
2021-12-27 15:37:19.373533,102
2021-12-27 15:37:19.373539,102
2021-12-27 15:37:19.373545,98
2021-12-27 15:37:19.373552,100
2021-12-27 15:37:19.373558,98
2021-12-27 15:37:19.373567,93
2021-12-27 15:37:19.373573,93
2021-12-27 15:37:19.373580,95
2021-12-27 15:37:19.373586,93
2021-12-27 15:37:19.373592,77
2021-12-27 15:37:19.373599,65
2021-12-27 15:37:19.373605,70
2021-12-27 15:37:19.373611,77
2021-12-27 15:37:19.617876,84
2021-12-27 15:37:19.617906,95
2021-12-27 15:37:19.617917,107
2021-12-27 15:37:19.617927,102
2021-12-27 15:37:19.617937,95
2021-12-27 15:37:19.617946,98
2021-12-27 15:37:19.617956,93
2021-12-27 15:37:19.617966,86
2021-12-27 15:37:19.617975,88
2021-12-27 15:37:19.617985,86
2021-12-27 15:37:19.617995,84
2021-12-27 15:37:19.618004,114
2021-12-27 15:37:19.618014,179
2021-12-27 15:37:19.618024,168
2021-12-27 15:37:19.618033,-130
2021-12-27 15:37:19.618043,-815
2021-12-27 15:37:19.618053,-1429
2021-12-27 15:37:19.618063,-1076
2021-12-27 15:37:19.618072,11
2021-12-27 15:37:19.618082,401
2021-12-27 15:37:19.618092,105
2021-12-27 15:37:19.618101,121
