HRV_MeanNN,HRV_SDNN,HRV_SDANN1,HRV_SDNNI1,HRV_SDANN2,HRV_SDNNI2,HRV_SDANN5,HRV_SDNNI5,HRV_RMSSD,HRV_SDSD,HRV_CVNN,HRV_CVSD,HRV_MedianNN,HRV_MadNN,HRV_MCVNN,HRV_IQRNN,HRV_pNN50,HRV_pNN20,HRV_HTI,HRV_TINN,HRV_ULF,HRV_VLF,HRV_LF,HRV_HF,HRV_VHF,HRV_LFHF,HRV_LFn,HRV_HFn,HRV_LnHF,Time,zcr_mean,energy_mean,energy_entropy_mean,spectral_centroid_mean,spectral_spread_mean,spectral_entropy_mean,spectral_flux_mean,spectral_rolloff_mean,mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,mfcc_6_mean,mfcc_7_mean,mfcc_8_mean,mfcc_9_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_13_mean,chroma_1_mean,chroma_2_mean,chroma_3_mean,chroma_4_mean,chroma_5_mean,chroma_6_mean,chroma_7_mean,chroma_8_mean,chroma_9_mean,chroma_10_mean,chroma_11_mean,chroma_12_mean,chroma_std_mean,delta zcr_mean,delta energy_mean,delta energy_entropy_mean,delta spectral_centroid_mean,delta spectral_spread_mean,delta spectral_entropy_mean,delta spectral_flux_mean,delta spectral_rolloff_mean,delta mfcc_1_mean,delta mfcc_2_mean,delta mfcc_3_mean,delta mfcc_4_mean,delta mfcc_5_mean,delta mfcc_6_mean,delta mfcc_7_mean,delta mfcc_8_mean,delta mfcc_9_mean,delta mfcc_10_mean,delta mfcc_11_mean,delta mfcc_12_mean,delta mfcc_13_mean,delta chroma_1_mean,delta chroma_2_mean,delta chroma_3_mean,delta chroma_4_mean,delta chroma_5_mean,delta chroma_6_mean,delta chroma_7_mean,delta chroma_8_mean,delta chroma_9_mean,delta chroma_10_mean,delta chroma_11_mean,delta chroma_12_mean,delta chroma_std_mean,zcr_std,energy_std,energy_entropy_std,spectral_centroid_std,spectral_spread_std,spectral_entropy_std,spectral_flux_std,spectral_rolloff_std,mfcc_1_std,mfcc_2_std,mfcc_3_std,mfcc_4_std,mfcc_5_std,mfcc_6_std,mfcc_7_std,mfcc_8_std,mfcc_9_std,mfcc_10_std,mfcc_11_std,mfcc_12_std,mfcc_13_std,chroma_1_std,chroma_2_std,chroma_3_std,chroma_4_std,chroma_5_std,chroma_6_std,chroma_7_std,chroma_8_std,chroma_9_std,chroma_10_std,chroma_11_std,chroma_12_std,chroma_std_std,delta zcr_std,delta energy_std,delta energy_entropy_std,delta spectral_centroid_std,delta spectral_spread_std,delta spectral_entropy_std,delta spectral_flux_std,delta spectral_rolloff_std,delta mfcc_1_std,delta mfcc_2_std,delta mfcc_3_std,delta mfcc_4_std,delta mfcc_5_std,delta mfcc_6_std,delta mfcc_7_std,delta mfcc_8_std,delta mfcc_9_std,delta mfcc_10_std,delta mfcc_11_std,delta mfcc_12_std,delta mfcc_13_std,delta chroma_1_std,delta chroma_2_std,delta chroma_3_std,delta chroma_4_std,delta chroma_5_std,delta chroma_6_std,delta chroma_7_std,delta chroma_8_std,delta chroma_9_std,delta chroma_10_std,delta chroma_11_std,delta chroma_12_std,delta chroma_std_std
713.127591,76.16545992,,,,,,,34.6539791,34.75507212,0.106804814,0.04859436,715.3846154,91.23692308,0.127535484,115.3846154,16.16766467,48.50299401,18.55555556,109.375,,,0.024605652,0.006795136,0.000215899,3.621068632,0.778248923,0.214922445,-4.991548286,2021/12/27 15:57,0.071075318,8.11E-05,2.97030318,0.155496961,0.188712008,0.476236595,0.003919953,0.080172414,-32.99458883,1.99870877,0.088854852,0.422097272,-0.232704958,0.1339973,-0.008850797,-0.117357843,0.076142148,0.093593195,-0.114954922,0.025858028,-0.01160873,0.00980417,0.003202163,0.033733243,0.011852797,0.015309058,0.006839862,0.146317566,0.00153623,0.006886684,0.006275387,0.036229694,0.004290407,0.041039735,-0.001633394,1.42E-05,0.040701611,-0.002010051,-0.002688857,-0.000366234,0.000374632,0.002313975,0.33763277,-0.004148218,-0.071529829,-0.043543976,-0.043781453,-0.035952963,-0.024499051,0.020895516,-0.03662014,-0.036917671,0.005189049,-0.002580816,0.025229421,0.000438586,0.000189559,-0.002848981,0.001073928,-0.000204147,0.00039379,-0.004697335,0.000110642,0.001338271,-9.58E-05,-0.004662019,-9.94E-06,-0.001618052,0.065262498,0.000180269,0.460350497,0.043681679,0.019658544,0.608526876,0.001582114,0.121850197,2.454167245,0.787990058,0.487913958,0.281778718,0.255363064,0.344396257,0.204909351,0.216611042,0.250483181,0.184768764,0.149582351,0.14136546,0.199549508,0.006818096,0.002067332,0.027860066,0.010466685,0.011270504,0.006010207,0.091089395,0.001494141,0.008989196,0.003632943,0.024590721,0.004646409,0.023997441,0.060461624,0.000187931,0.64637574,0.047501489,0.017382805,0.521106026,0.002060494,0.10242693,1.011731031,0.810316309,0.331742634,0.327433015,0.280279396,0.278671606,0.226944548,0.345701397,0.265401705,0.246895613,0.253468395,0.222845837,0.191151972,0.011565923,0.002821167,0.035477547,0.014876778,0.014613099,0.007489133,0.095031718,0.001546208,0.008534139,0.005224404,0.027907808,0.005445626,0.022966782
714.5968489,74.51537054,,,,,,,34.62444844,34.72906331,0.104276097,0.048453122,719.2307692,85.53461538,0.118925134,115.3846154,16.26506024,48.19277108,18.44444444,109.375,,,0.024625897,0.006563316,0.00021615,3.752051268,0.784130311,0.208987099,-5.026259341,2021/12/27 15:57,0.03173775,0.028425141,3.042682735,0.09785366,0.150964842,0.13263362,0.014936451,0.04069873,-24.80472257,2.159335759,-0.764404501,-0.5962901,-0.889246089,-0.12482759,0.027915525,-0.026223786,-0.261052828,-0.20337807,-0.015682115,0.079958173,0.275524032,0.006462718,0.009793716,0.022192025,0.025440487,0.021633348,0.013920325,0.033580551,0.004665367,0.028100038,0.004856903,0.006784115,0.003911726,0.023309236,-0.000839383,0.00067652,0.010860191,-0.001379129,-0.002231199,-0.003753462,0.001384152,0.000272232,0.172481317,-0.010102982,0.03640845,-0.039836626,-0.06278224,0.026228798,0.033263904,-0.007717302,0.045071062,0.019227722,0.017240318,0.013794835,-0.001227513,-0.000284393,0.002281356,0.00016908,-0.000872852,-0.000639651,-0.000228572,0.000621868,-0.000104027,-0.000429508,9.93E-05,-0.000272479,-2.37E-05,0.000292042,0.01596134,0.024280922,0.309576899,0.021444169,0.036657232,0.084011268,0.011983658,0.018683757,1.785866886,0.509966313,0.679730901,0.550644829,0.566012754,0.358570513,0.406805424,0.220650613,0.409989674,0.290769009,0.245706905,0.217183261,0.225046849,0.007871374,0.014364405,0.037090554,0.038436903,0.031884096,0.01318753,0.028050788,0.006979026,0.044158953,0.005627392,0.006789805,0.005778286,0.012074589,0.019740375,0.026325842,0.342952286,0.022412794,0.038802935,0.116218392,0.010539874,0.025221474,1.589266258,0.574512026,0.53170298,0.481194963,0.407182145,0.381815642,0.384804094,0.25959111,0.348263573,0.365454366,0.221317792,0.309466685,0.213367012,0.010390271,0.017706763,0.048127934,0.041754392,0.041351206,0.01493302,0.035771126,0.00716915,0.038145312,0.006399588,0.006485513,0.008507339,0.013791341
714.3251958,74.25836914,,,,,,,34.29207473,34.39580173,0.103955971,0.048006251,715.3846154,91.23692308,0.127535484,115.3846154,15.56886228,47.30538922,16.7,109.375,,,0.024582104,0.006383511,0.000217054,3.85087506,0.788325848,0.204713432,-5.05403699,2021/12/27 15:57,0.036932849,0.014007687,3.074184953,0.095730336,0.131848324,0.224495829,0.010971737,0.061161525,-25.14973178,1.884349219,-0.329992429,-0.298810784,-1.246327433,-0.077424175,0.417841915,-0.03377915,-0.222631056,-0.212844308,-0.190318335,-0.142715658,0.10071865,0.010791327,0.018175568,0.018231018,0.028804653,0.03235221,0.036787696,0.010404252,0.00267369,0.003911267,0.005218929,0.005703295,0.010535898,0.021626432,-0.000294918,0.001166366,-0.003228569,0.002210049,0.004725972,0.001236499,-0.001239778,-0.001905626,0.065703274,0.066598425,-0.050548133,-0.026260972,0.075940597,-0.039129283,-0.012443637,0.02251077,-0.031502397,-0.01558835,-0.037947104,-0.027958897,-0.028217323,2.16E-05,-0.001756521,0.00227728,0.001420594,0.000175624,0.000680553,-0.003885131,-2.30E-05,-0.000865089,-5.74E-05,0.000105522,8.37E-05,-0.000306219,0.025351326,0.013914822,0.13078094,0.040157977,0.040272524,0.260737359,0.005455752,0.04705272,1.370913503,0.98877051,0.794015831,0.571679379,0.526321934,0.269751671,0.32042909,0.327468552,0.408678323,0.214383556,0.170229387,0.24194397,0.17294736,0.01245426,0.024567448,0.018550614,0.039789136,0.036703348,0.035798583,0.010634184,0.00373147,0.004125495,0.010292672,0.004218716,0.015371911,0.010718994,0.024326053,0.011631244,0.20644742,0.048658343,0.061837404,0.26067691,0.010307397,0.047850544,1.167250993,0.989350397,0.670480951,0.541061041,0.565901235,0.280243704,0.325969449,0.380631038,0.307741281,0.284263011,0.175188382,0.348991775,0.23821787,0.014380152,0.029821409,0.016426283,0.053474935,0.040175305,0.038057998,0.019263045,0.004465029,0.004452179,0.015274745,0.004885545,0.021556482,0.010225318
714.6895273,74.30424297,,,,,,,34.39061967,34.49530977,0.103967164,0.048119664,719.2307692,85.53461538,0.118925134,115.3846154,15.6626506,47.59036145,16.6,109.375,,,0.024481032,0.006203306,0.000218474,3.94644937,0.792194316,0.200735963,-5.082672938,2021/12/27 15:57,0.037409256,0.002445138,2.995233104,0.100376473,0.153258461,0.132353229,0.009091777,0.047186933,-28.90432385,2.436529112,-1.359747189,0.206704437,-0.311815067,-0.054783724,0.079413706,-0.04091317,-0.089359653,-0.224880844,-0.00076203,0.06136999,-0.003382768,0.016085334,0.007671988,0.023630646,0.013217301,0.029645121,0.015719563,0.019120638,0.005895057,0.01148776,0.010328186,0.020033731,0.008909581,0.016918445,0.001383848,-0.001857245,0.006893585,0.001922237,0.000260435,0.008152964,-0.000320259,0.001633394,-0.538174613,-0.038351749,0.037268723,0.096184741,0.044611979,-0.000168033,-0.022961561,-0.010052919,0.021418289,0.037914848,0.024723651,0.013805186,0.027300043,-0.000125096,-0.000308064,-0.00037171,-0.000982797,0.000370461,-0.000678933,0.001248507,0.000323255,-2.85E-05,0.000916411,0.002130056,0.00080651,-7.72E-05,0.011100377,0.002938607,0.274539914,0.031282363,0.034621897,0.151434701,0.004183187,0.020183169,3.211330173,0.677308866,0.641702762,0.532368046,0.629540083,0.310206907,0.508265543,0.215455441,0.291313692,0.305431824,0.221643102,0.24010566,0.246290549,0.033205166,0.005217087,0.024217582,0.015501819,0.034844696,0.014109876,0.014455307,0.006701528,0.016504442,0.007399135,0.013609562,0.008552844,0.009865552,0.012034696,0.006073273,0.405990796,0.036896734,0.041724764,0.218015691,0.00469417,0.02142714,2.241298836,0.60385039,0.576579802,0.371020449,0.464564641,0.372887507,0.465763936,0.236542131,0.299688105,0.263104743,0.271409862,0.335806141,0.223387494,0.045529428,0.007336258,0.031605877,0.019652225,0.044218089,0.014878258,0.016682993,0.008903957,0.01829907,0.009032529,0.016828026,0.012382012,0.01470357
714.5555044,74.10515064,,,,,,,34.3128578,34.41664771,0.10370804,0.048019864,715.3846154,79.83230769,0.111593548,115.3846154,15.56886228,47.30538922,16.7,109.375,,,0.024267525,0.005970746,0.000220495,4.064404257,0.796733702,0.196027179,-5.120883409,2021/12/27 15:57,0.065902904,0.000414563,2.999191571,0.147331584,0.182938192,0.446810743,0.003999772,0.085344828,-31.8077984,1.954602354,-0.669791743,0.226476784,-0.000211919,-0.049676015,-0.190907182,-0.026494846,0.099021078,-0.061460529,-0.068504997,0.011525934,0.116186107,0.022827277,0.006885515,0.025199566,0.013340505,0.015660883,0.008431949,0.032456898,0.004290951,0.00830049,0.01372581,0.031535845,0.010941373,0.013942754,0.001315789,-1.26E-07,-0.000974796,0.001082733,0.000806694,0.009616083,-2.92E-05,9.07E-05,-0.007949333,0.005583966,0.028938815,-0.026233396,-0.022668837,0.040328978,0.023029697,-0.014251959,-0.01152586,-0.02226762,-0.000763109,-0.003192806,-0.019234679,0.000390681,-0.000121791,-0.000358522,-0.000425361,-0.0001466,0.000813601,0.001915305,-6.20E-05,2.28E-05,0.000359381,-0.000219069,-0.000718419,0.000182546,0.028711538,0.001085453,0.375761195,0.034520726,0.029043237,0.387167034,0.001377166,0.064947979,2.959880332,0.694077846,0.587217266,0.296335889,0.303902605,0.319825173,0.169041397,0.225662225,0.15093338,0.216183229,0.153357763,0.237307308,0.152049239,0.018762326,0.002553418,0.01203852,0.012638792,0.009107418,0.0079179,0.022916231,0.003167586,0.007343469,0.009013138,0.022976728,0.007587629,0.00664064,0.022214195,0.001532082,0.524186986,0.031988522,0.025775992,0.369624992,0.00134446,0.071252266,3.448461111,0.661887706,0.444417169,0.47360265,0.37965567,0.36100018,0.186476018,0.254428653,0.203588737,0.31107758,0.218290547,0.309389447,0.182660337,0.022216501,0.003350502,0.017102546,0.019489487,0.012513853,0.008477254,0.030128677,0.00418254,0.009220849,0.010693336,0.027518549,0.010505553,0.008471471
713.9106403,74.23925209,,,,,,,33.93681513,34.03032661,0.103989558,0.047536503,715.3846154,79.83230769,0.111593548,115.3846154,14.37125749,46.70658683,16.7,109.375,,,0.024100757,0.005792854,0.000222612,4.160428908,0.800258277,0.192349946,-5.151130199,2021/12/27 15:57,0.085980036,0.006231492,2.825022921,0.157126176,0.155362065,0.748497098,0.007577595,0.175816697,-27.77386705,1.849123854,-0.242720494,-0.370002909,-0.771550337,0.170375017,0.274957129,-0.436236852,-0.09233232,-0.066669686,-0.14871825,0.140565508,0.020874465,0.01825812,0.006412923,0.02133153,0.014683928,0.021138844,0.013753987,0.013089227,0.002321022,0.015952306,0.006919344,0.013653217,0.007956736,0.014044664,-0.001270417,6.45E-07,-0.009303917,-0.000848101,-0.000483427,-0.004541114,8.07E-05,-0.001497278,0.062306314,0.02450964,0.01076222,-0.008117225,-0.008126706,-0.022208336,-0.008572157,-0.016845899,-0.013658983,0.007504322,-0.006614277,0.006980117,0.008155593,0.000778285,-0.000190792,0.001621939,0.000249783,0.000553499,-0.000661634,-0.000492053,-0.000254483,0.001098441,-0.000808436,7.36E-05,-3.08E-05,0.000165915,0.076759199,0.008947276,0.52492082,0.088081385,0.050857038,0.757168733,0.004493804,0.164832577,3.294386982,0.686173311,0.690319432,0.480119283,0.531182833,0.330485997,0.424999479,0.303854359,0.263553831,0.293054977,0.21738227,0.167936742,0.223762645,0.026331139,0.006465681,0.02033566,0.017187105,0.014492891,0.016339045,0.014139132,0.002837653,0.019140328,0.007304925,0.011251331,0.011512949,0.0065404,0.075818122,0.009433582,0.778420846,0.092086963,0.040026434,0.961603774,0.00512729,0.20602514,2.583342566,0.75953182,0.547064492,0.482049616,0.424416074,0.460518781,0.330887353,0.287304911,0.324770238,0.379856562,0.239612641,0.197614097,0.280312647,0.035879494,0.007443356,0.025107728,0.024293237,0.014808029,0.020054183,0.014933504,0.004098386,0.027318866,0.007192879,0.011279818,0.014728779,0.01029281
713.127591,74.01505715,,,,,,,33.88951641,33.98582791,0.103789361,0.047522374,715.3846154,79.83230769,0.111593548,115.3846154,14.37125749,46.10778443,16.7,109.375,,,0.023779373,0.005582533,0.000223635,4.259602959,0.80374981,0.188691251,-5.188112691,2021/12/27 15:57,0.049319419,0.011481085,2.970837947,0.10979561,0.151516904,0.309541328,0.008301711,0.064927405,-24.97454564,2.041696071,-0.694222922,-0.511747112,-0.980834682,0.138107577,0.573724585,-0.288186576,-0.152371298,0.036145537,-0.254271676,0.096874786,0.003997302,0.004152175,0.007331172,0.024914008,0.027993594,0.027925141,0.022461935,0.006963456,0.003593171,0.007243621,0.009250578,0.01120995,0.008994511,0.017405458,-0.000862069,0.000615341,0.00348365,-0.004167418,-0.004959372,-0.012758907,0.000427614,0.001270417,0.462279707,-0.028649136,-0.07679302,-0.014684216,-0.016443796,0.006004627,0.043485893,0.018745875,-0.027582389,0.005434763,-0.016585201,-0.005905761,-0.010279937,-0.001081818,-0.000112487,-0.002553704,0.001200883,-0.000612354,0.00236313,-0.002125991,0.000286487,-0.000729281,-0.000443413,-0.001684319,-0.000133521,-0.000343482,0.034707721,0.008302215,0.300932194,0.032087509,0.029556104,0.362710544,0.003478204,0.047217004,1.251571269,0.528820389,0.578828628,0.303848205,0.388259804,0.352576169,0.300484563,0.338883232,0.339028402,0.258991217,0.208662455,0.222665482,0.195232583,0.002542783,0.009645699,0.021391385,0.031304095,0.025555625,0.023928093,0.006029706,0.003303744,0.008364723,0.010260131,0.012304406,0.01549528,0.007026406,0.043655105,0.00908162,0.444900728,0.034876592,0.033066867,0.43179746,0.00436209,0.060270344,2.197657539,0.616466885,0.37410474,0.277610925,0.384465198,0.283969817,0.276761152,0.347832606,0.31856528,0.276116318,0.312942568,0.268269887,0.238764547,0.005468934,0.011157832,0.031387136,0.040122098,0.02729322,0.026834675,0.012014813,0.004106542,0.008086653,0.014729991,0.014510502,0.018281595,0.010346376
712.620912,73.86517729,,,,,,,33.85268283,33.94795338,0.103652834,0.047504476,715.3846154,79.83230769,0.111593548,115.3846154,14.37125749,46.10778443,16.7,109.375,,,0.023426804,0.005331727,0.000225515,4.393849396,0.808265496,0.183953846,-5.23408015,2021/12/27 15:57,0.041901089,0.008850664,2.99416113,0.102352424,0.150345566,0.229993486,0.009560085,0.065970962,-25.44271226,1.834260046,-1.045977508,-0.354998112,-0.734282994,0.194315652,0.465361498,-0.189719354,-0.219606075,0.090269199,-0.405816538,0.035632832,0.029506339,0.010125893,0.016008753,0.018458851,0.013271337,0.02141771,0.020756803,0.01546784,0.00712622,0.00933744,0.008322573,0.009126179,0.00609662,0.014062991,-0.000294918,-0.000273094,0.005718916,0.002639348,0.004093022,0.00422962,-0.000373757,0.000317604,-0.046809082,-0.038023893,0.028769848,-0.020669948,-0.0308547,0.025090936,-0.005516067,0.006367262,0.037828722,-0.022724708,0.001170843,-0.007410711,-0.017892236,-8.88E-05,0.000454992,0.001019145,-0.001127609,-0.000196483,-0.000436226,-0.000415774,-0.000275576,-0.000264337,7.01E-05,-0.000393769,3.72E-05,6.09E-06,0.018863686,0.011680558,0.282730904,0.024637295,0.026153883,0.199911603,0.008258692,0.037089924,1.621498844,0.654274159,0.409177111,0.277926516,0.443242873,0.457558421,0.304136997,0.322810587,0.217358607,0.281563984,0.201822515,0.23669057,0.244574175,0.011289408,0.030345195,0.019035284,0.012079404,0.018481238,0.018461463,0.014293792,0.007476535,0.012806113,0.008463248,0.009508988,0.007568261,0.007637818,0.020732731,0.016258571,0.368801251,0.027674019,0.025678579,0.200634872,0.008692082,0.038905072,1.797228184,0.72168164,0.525803124,0.337162563,0.380525204,0.357189026,0.301137064,0.259191879,0.265607326,0.333480747,0.222938584,0.228600729,0.227215199,0.016768881,0.040580592,0.018130018,0.017505139,0.020356319,0.026176217,0.020568604,0.010329793,0.015552909,0.010574126,0.01137082,0.010327867,0.009808711
711.8589744,73.30435247,,,,,,,33.39233461,33.49120151,0.102975948,0.046908638,711.5384615,85.53461538,0.120210811,115.3846154,13.69047619,45.83333333,16.8,109.375,,,0.02308907,0.005116379,0.000226212,4.512775235,0.812090062,0.179953581,-5.275308229,2021/12/27 15:57,0.043784029,0.004079239,3.05330523,0.107988797,0.150244326,0.276846756,0.010844695,0.059482759,-27.35977813,2.445337258,-0.518180309,-0.67497579,-0.717626366,-0.102819185,0.66220334,-0.243707579,-0.234645939,-0.154851082,-0.195390048,-0.030372795,0.036348943,0.008884512,0.015356367,0.032774077,0.013628978,0.032221002,0.023610138,0.007757434,0.009006347,0.007498475,0.003818154,0.005907417,0.006302242,0.018427548,0.001860254,-0.000340176,-0.004064802,0.000418339,-0.000913643,0.015866123,-8.72E-05,0.000408348,-0.318817437,0.023954499,0.027381437,0.028568429,0.002093614,-0.044518753,0.028060259,-0.022981151,0.00889231,0.005310761,0.005909563,-0.006089059,0.025289424,0.000716129,-0.000385843,-0.00179981,-0.000588414,0.000376389,-0.001162303,0.000202536,2.57E-05,0.000897149,0.000254214,0.001070483,-3.98E-06,-0.000394315,0.033159955,0.00540533,0.143296019,0.033833922,0.021919709,0.316305562,0.00729047,0.055106013,2.116032437,0.623846783,0.844544499,0.29530399,0.49093131,0.333769967,0.409695693,0.361903506,0.216563988,0.221176015,0.201421642,0.185454419,0.186677642,0.012307444,0.020719339,0.038610432,0.020714162,0.022019888,0.030478724,0.007975185,0.01168694,0.006897821,0.00302337,0.006398921,0.014096905,0.010265129,0.048695838,0.004772206,0.210845013,0.050975166,0.035706537,0.46115068,0.008886714,0.07746617,1.499465195,0.621127355,0.606704795,0.314010541,0.493321803,0.411848009,0.329349394,0.265921829,0.299503508,0.284224235,0.269432309,0.238382331,0.245009866,0.018439761,0.024042183,0.045600727,0.030844084,0.024129761,0.035702913,0.010524811,0.01521708,0.009368355,0.003492531,0.006436485,0.01977834,0.015263105
711.5154307,73.58306865,,,,,,,33.32739188,33.42810217,0.10341739,0.046840013,707.6923077,79.83230769,0.112806522,115.3846154,13.77245509,46.10778443,16.7,109.375,,,0.022838028,0.004877578,0.00022745,4.682247484,0.817306022,0.174554212,-5.323106454,2021/12/27 15:57,0.086206897,0.003856141,2.77823305,0.165504475,0.170852216,0.89723932,0.004795598,0.156624319,-30.79708373,1.265440827,-0.091543576,-0.034420792,-0.376217418,0.132851304,0.258527309,-0.103422922,-0.103007223,-0.157597069,-0.080973136,0.034421109,0.104881866,0.008702101,0.008732856,0.024794919,0.012398815,0.031727929,0.007038827,0.024336425,0.004524345,0.005055224,0.006985504,0.018484911,0.003876447,0.014800812,0.000385662,0.000301033,-0.004385509,0.000818226,-0.000461604,0.003680581,0.000244369,0.000499093,0.350900935,-0.014446219,-0.029502441,-0.002553715,0.015450558,0.013497285,-0.042907011,0.026727927,-0.03210101,-0.003634716,-0.003041235,-0.004507612,0.002029708,-6.09E-05,0.001984276,-0.000106523,0.000151832,0.001430896,-0.000598777,-0.000226157,0.000284379,-0.000702567,-0.000229501,-0.000958524,-1.33E-06,0.000246993,0.037959354,0.008801741,0.854724952,0.056042674,0.034846472,0.64476912,0.005075951,0.128344821,3.573323226,1.052813175,0.671965645,0.505877079,0.433554398,0.401450354,0.283756021,0.223778735,0.272132281,0.16958654,0.171395648,0.192819192,0.172240639,0.005174584,0.011818978,0.021221576,0.016982609,0.03784748,0.007201343,0.024914734,0.006277242,0.004364386,0.006242366,0.018965035,0.0032205,0.010698678,0.037898369,0.006869939,1.008112716,0.066384082,0.046845595,0.544596014,0.005452675,0.149661338,2.347205754,0.862626438,0.425910929,0.444934039,0.463689836,0.322633208,0.290118305,0.238946562,0.377402463,0.202471139,0.128515191,0.216099519,0.203682649,0.007306272,0.007544515,0.027275486,0.024002248,0.03721391,0.010412242,0.031573096,0.007746403,0.006634445,0.006737068,0.021269796,0.00457122,0.011456316
