Date,StartTime,EndTime,Topic,ID,Partner,Excite,Serious,Smooth,Bright,Eminet,Close,Equal,Relax,Sadness,Excited,Fear,Disgust,Joy,Unhappy-Happy,Calm-Excited,Controlled-Incontrol
23-Dec,14:58:05PM,14:59:05PM,喜欢的类型,0_0,Shiyang,1,5,1,1,1,2,1,5,1,3,1,1,4,7,3,7
23-Dec,14:59:30PM,15:00:30PM,喜欢的类型,0_1,Shiyang,1,5,1,1,1,2,1,5,1,3,1,1,4,7,3,7
23-Dec,15:12:00PM,15:13:00PM,爱好,1_0,Shiyang,1,5,1,1,1,1,1,5,1,4,1,1,4,9,2,5
23-Dec,15:13:00PM,15:14:00PM,爱好,1_1,Shiyang,1,5,1,1,1,1,1,5,1,4,1,1,4,9,2,5
23-Dec,15:14:00PM,15:15:00PM,爱好,1_2,Shiyang,1,5,1,1,1,1,1,5,1,4,1,1,4,9,2,5
23-Dec,15:14:45PM,15:15:45PM,爱好,1_3,Shiyang,1,5,1,1,1,1,1,5,1,4,1,1,4,9,2,5
23-Dec,15:18:30PM,15:19:30PM,旅行,2_0,Shiyang,2,4,1,1,1,1,1,5,1,4,1,1,3,9,6,6
23-Dec,15:19:30PM,15:20:30PM,旅行,2_1,Shiyang,2,4,1,1,1,1,1,5,1,4,1,1,3,9,6,6
23-Dec,15:20:05PM,15:21:05PM,旅行,2_2,Shiyang,2,4,1,1,1,1,1,5,1,4,1,1,3,9,6,6
23-Dec,15:26:30PM,15:27:30PM,悲伤,3_0,Shiyang,4,4,1,4,1,1,1,5,4,2,1,2,1,1,2,6
23-Dec,15:27:30PM,15:28:30PM,悲伤,3_1,Shiyang,4,4,1,4,1,1,1,5,4,2,1,2,1,1,2,6
23-Dec,15:28:30PM,15:29:30PM,悲伤,3_2,Shiyang,4,4,1,4,1,1,1,5,4,2,1,2,1,1,2,6
