Date,StartTime,EndTime,Topic,ID,Partner,Excite,Serious,Smooth,Bright,Eminet,Close,Equal,Relax,Sadness,Excited,Fear,Disgust,Joy,Unhappy-Happy,Calm-Excited,Controlled-Incontrol
24-Dec,14:25:10PM,14:26:10PM,爱好,0_0,Sen,2,5,1,2,4,2,1,4,1,4,1,1,4,8,7,8
24-Dec,14:26:10PM,14:27:10PM,爱好,0_1,Sen,2,5,1,2,4,2,1,4,1,4,1,1,4,8,7,8
24-Dec,14:28:10PM,14:29:10PM,爱好,0_2,Sen,2,5,1,2,4,2,1,4,1,4,1,1,4,8,7,8
24-Dec,14:32:00PM,14:33:00PM,悲伤,1_0,Sen,2,4,1,2,4,2,2,5,3,4,1,1,4,7,8,7
24-Dec,14:33:00PM,14:34:00PM,悲伤,1_1,Sen,2,4,1,2,4,2,2,5,3,4,1,1,4,7,8,7
24-Dec,14:34:00PM,14:35:00PM,悲伤,1_2,Sen,2,4,1,2,4,2,2,5,3,4,1,1,4,7,8,7
24-Dec,14:44:35PM,14:45:35PM,喜欢的类型,2_0,Sen,2,2,4,2,4,2,1,3,1,4,2,1,4,7,9,7
24-Dec,14:45:35PM,14:46:35PM,喜欢的类型,2_1,Sen,2,2,4,2,4,2,1,3,1,4,2,1,4,7,9,7
24-Dec,14:46:40PM,14:47:40PM,喜欢的类型,2_2,Sen,2,2,4,2,4,2,1,3,1,4,2,1,4,7,9,7
24-Dec,14:51:00PM,14:52:00PM,旅行,3_0,Sen,2,5,1,1,4,3,2,5,1,4,1,1,5,8,8,7
24-Dec,14:52:00PM,14:53:00PM,旅行,3_1,Sen,2,5,1,1,4,3,2,5,1,4,1,1,5,8,8,7
24-Dec,14:53:00PM,14:54:00PM,旅行,3_2,Sen,2,5,1,1,4,3,2,5,1,4,1,1,5,8,8,7
24-Dec,14:56:30PM,14:57:30PM,丁克,4_0,Sen,2,3,1,2,2,4,1,4,1,3,1,1,4,7,6,8
24-Dec,14:57:30PM,14:58:30PM,丁克,4_1,Sen,2,3,1,2,2,4,1,4,1,3,1,1,4,7,6,8
24-Dec,14:58:30PM,14:59:30PM,丁克,4_2,Sen,2,3,1,2,2,4,1,4,1,3,1,1,4,7,6,8
