Date,StartTime,EndTime,Topic,ID,Partner,Excite,Serious,Smooth,Bright,Eminet,Close,Equal,Relax,Sadness,Excited,Fear,Disgust,Joy,Unhappy-Happy,Calm-Excited,Controlled-Incontrol
27-Dec,15:36:15PM,15:37:15PM,Ö°Òµ,0_0,li,4,4,4,2,2,2,2,4,1,1,1,1,2,4,2,4
27-Dec,15:37:15PM,15:38:15PM,Ö°Òµ,0_1,li,4,4,4,2,2,2,2,4,1,1,1,1,2,4,2,4
27-Dec,15:38:15PM,15:39:15PM,Ö°Òµ,0_2,li,4,4,4,2,2,2,2,4,1,1,1,1,2,4,2,4
27-Dec,15:44:00PM,15:45:00PM,·ßÅ­,1_0,li,2,4,2,4,4,2,2,4,4,4,1,2,1,3,6,7
27-Dec,15:45:00PM,15:46:00PM,·ßÅ­,1_1,li,2,4,2,4,4,2,2,4,4,4,1,2,1,3,6,7
27-Dec,15:46:00PM,15:47:00PM,·ßÅ­,1_2,li,2,4,2,4,4,2,2,4,4,4,1,2,1,3,6,7
27-Dec,15:50:20PM,15:51:20PM,º¦ÅÂ,2_0,li,4,2,4,4,4,4,4,2,1,1,2,1,1,3,2,6
27-Dec,15:51:20PM,15:52:20PM,º¦ÅÂ,2_1,li,4,2,4,4,4,4,4,2,1,1,2,1,1,3,2,6
27-Dec,15:52:20PM,15:53:30PM,º¦ÅÂ,2_2,li,4,2,4,4,4,4,4,2,1,1,2,1,1,3,2,6
27-Dec,15:57:05PM,15:58:05PM,±¯ÉË,3_0,li,2,4,4,4,2,4,4,2,4,2,1,2,1,3,1,2
27-Dec,15:58:05PM,15:59:05PM,±¯ÉË,3_1,li,2,4,4,4,2,4,4,2,4,2,1,2,1,3,1,2
27-Dec,15:59:05PM,16:00:05PM,±¯ÉË,3_2,li,2,4,4,4,2,4,4,2,4,2,1,2,1,3,1,2
